DateTime,Entries,UniqueIPs
1494302832,107,107
1494306441,109,109
1494310021,110,110
1494313643,108,108
1494317233,107,107
1494320840,104,104
1494324428,103,103
1494328043,101,101
1494331637,100,100
1494335239,100,100
1494338838,81,81
1494342438,76,76
1494346014,108,108
1494353220,110,110
1494356851,110,110
1494360446,106,106
1494364017,105,105
1494367630,102,102
1494371227,106,106
1494374869,106,106
1494378432,107,107
1494382022,107,107
1494385635,107,107
1494389238,104,104
1494392852,105,105
1494396423,96,96
1494400023,105,105
1494403634,103,103
1494407243,104,104
1494410829,101,101
1494414443,101,101
1494418020,109,109
1494421641,108,108
1494425248,108,108
1494428835,99,99
1494432438,105,105
1494436044,110,110
1494439642,109,109
1494443223,112,112
1494446839,98,98
1494450428,97,97
1494454028,107,107
1494457643,95,95
1494461267,107,107
1494468442,106,106
1494472045,106,106
1494475631,107,107
1494479255,108,108
1494482854,108,108
1494486450,108,108
1494490055,93,93
1494493630,92,92
1494497267,76,76
1494500852,81,81
1494504458,80,80
1494508023,78,78
1494511640,108,108
1494515246,109,109
1494522450,110,110
1494526053,105,105
1494529651,99,99
1494533227,106,106
1494537040,104,104
1494540626,109,109
1494544292,107,107
1494547659,107,107
1494551248,105,105
1494554834,108,108
1494558422,108,108
1494562026,109,109
1494569245,108,108
1494572839,107,107
1494576420,107,107
1494580062,109,109
1494583635,108,108
1494587263,104,104
1494590833,101,101
1494594462,101,101
1494598052,100,100
1494601649,99,99
1494605265,67,67
1494608852,68,68
1494612435,74,74
1494616031,105,105
1494619638,104,104
1494623242,105,105
1494630451,105,105
1494634069,107,107
1494637630,106,106
1494641224,107,107
1494644845,104,104
1494648426,87,87
1494652014,104,104
1494659214,96,96
1494662827,100,100
1494666411,85,85
1494670041,82,82
1494673609,102,102
1494677242,103,103
1494680833,102,102
1494684427,106,106
1494688018,106,106
1494691643,106,106
1494695236,106,106
1494698821,107,107
1494706052,106,106
1494709636,105,105
1494713239,81,81
1494716821,80,80
1494720481,84,84
1494724037,86,86
1494727608,100,100
1494731238,102,102
1494734838,100,100
1494738438,101,101
1494742017,86,86
1494745648,73,73
1494749236,71,71
1494752824,73,73
1494756441,78,78
1494760021,105,105
1494763624,107,107
1494767219,109,109
1494770841,107,107
1494774437,97,97
1494778035,66,66
1494781627,64,64
1494785240,69,69
1494788831,77,77
1494792442,84,84
1494796015,105,105
1494799643,105,105
1494803230,103,103
1494806839,108,108
1494814041,108,108
1494817617,106,106
1494821232,99,99
1494824820,81,81
1494828439,79,79
1494832008,99,99
1494835622,105,105
1494839224,104,104
1494842823,108,108
1494846392,105,105
1494850005,110,110
1494853622,109,109
1494857231,107,107
1494860826,101,101
1494864431,76,76
1494868018,99,99
1494871631,101,101
1494875201,106,106
1494882411,108,108
1494889623,106,106
1494893266,106,106
1494896794,107,107
1494900425,108,108
1494904047,105,105
1494907629,104,104
1494911217,88,88
1494914825,102,102
1494918422,100,100
1494922025,99,99
1494925621,102,102
1494929234,76,76
1494932830,70,70
1494936434,71,71
1494940027,64,64
1494943618,66,66
1494947222,73,73
1494950801,101,101
1494954431,105,105
1494958030,107,107
1494961622,105,105
1494965210,87,87
1494968817,78,78
1494972421,71,71
1494976026,71,71
1494979671,83,83
1494983230,90,90
1494986803,92,92
1494990445,102,102
1494994023,110,110
1494997607,111,111
1495001210,108,108
1495004805,110,110
1495008426,109,109
1495012030,90,90
1495015634,96,96
1495019220,77,77
1495022839,74,74
1495026410,77,77
1495030017,74,74
1495033620,74,74
1495037205,98,98
1495040824,99,99
1495044420,101,101
1495048030,101,101
1495051636,98,98
1495055235,98,98
1495058820,79,79
1495062437,67,67
1495066062,71,71
1495069647,103,103
1495073252,109,109
1495080444,108,108
1495084039,102,102
1495087647,93,93
1495091255,95,95
1495094835,74,74
1495098417,98,98
1495102026,107,107
1495105629,109,109
1495109254,107,107
1495112839,107,107
1495116442,108,108
1495120064,102,102
1495123652,102,102
1495127252,102,102
1495130847,98,98
1495134457,97,97
1495138077,92,92
1495141621,107,107
1495145268,102,102
1495148871,100,100
1495152477,110,110
1495156033,112,112
1495159631,113,113
1495163241,117,117
1495166853,115,115
1495170458,113,113
1495174055,112,112
1495177634,100,100
