DateTime,AddedIPs,RemovedIPs
1494353710,9,5
1494357309,10,5
1494360935,4,6
1494364486,3,2
1494368101,3,8
1494371703,4,16
1494375354,35,9
1494378909,4,5
1494382510,17,8
1494386100,9,32
1494389707,4,7
1494393334,2,1
1494396884,2,14
1494400480,12,10
1494404062,4,10
1494407697,7,8
1494411308,13,9
1494414906,12,23
1494418495,20,2
1494422097,8,3
1494425729,10,3
1494429314,3,12
1494432941,15,5
1494436541,1,2
1494440097,3,5
1494443685,4,10
1494447311,4,20
1494450909,6,10
1494454514,18,4
1494458119,10,14
1494461741,27,3
1494465298,8,2
1494468919,3,15
1494472517,12,21
1494476079,12,25
1494479723,9,7
1494483320,3,2
1494486909,7,5
1494490531,4,18
1494494104,5,14
1494497750,10,16
1494501319,7,5
1494504920,3,9
1494508485,7,6
1494512129,32,4
1494515724,3,4
1494519297,3,7
1494522903,7,6
1494526526,0,10
1494530119,11,9
1494533689,13,18
1494538191,8,13
1494541624,28,1
1494545505,5,8
1494548119,26,0
1494551728,5,3
1494555287,5,6
1494558894,5,26
1494562503,3,3
1494566108,1,5
1494569707,5,5
1494573292,4,10
1494576879,11,2
1494580546,3,4
1494584106,7,8
1494587734,2,11
1494591296,10,24
1494594951,4,9
1494598527,7,10
1494602119,18,9
1494605759,13,36
1494609315,15,2
1494612928,10,4
1494616500,33,1
1494620108,2,1
1494623695,6,5
1494627316,1,5
1494630897,4,10
1494634581,32,3
1494638110,11,9
1494641699,4,8
1494645323,5,24
1494648885,5,24
1494652460,22,4
1494656141,4,3
1494659688,3,6
1494663313,10,10
1494666888,6,21
1494670512,3,12
1494674102,28,2
1494677762,4,2
1494681327,6,4
1494684952,5,0
1494688502,1,6
1494692120,4,6
1494695714,10,2
1494699318,4,3
1494702905,5,2
1494706542,3,6
1494710090,0,6
1494713732,3,24
1494717285,2,4
1494720988,24,5
1494724492,11,7
1494728088,19,12
1494731717,8,21
1494735287,1,5
1494738911,5,4
1494742477,2,19
1494746115,4,18
1494749711,6,12
1494753294,15,7
1494756901,7,4
1494760481,28,6
1494764090,7,14
1494767689,12,8
1494771294,10,6
1494774885,5,11
1494778513,6,32
1494782116,5,16
1494785722,17,12
1494789312,18,3
1494792918,12,7
1494796474,23,2
1494800125,5,4
1494803690,0,6
1494807312,26,1
1494810911,2,9
1494814519,6,8
1494818083,8,27
1494821716,9,15
1494825288,16,23
1494828917,5,8
1494832488,26,3
1494836083,3,4
1494839718,10,11
1494843300,9,6
1494846873,6,6
1494850501,8,4
1494854113,0,3
1494857714,5,13
1494861333,9,11
1494864906,7,32
1494868496,29,1
1494872106,2,4
1494875702,11,3
1494879320,3,2
1494882862,7,9
1494886524,2,4
1494890120,5,8
1494893739,34,9
1494897256,18,5
1494900902,6,2
1494904506,5,30
1494908080,5,3
1494911665,6,24
1494915335,17,6
1494918882,0,3
1494922490,2,5
1494926081,10,5
1494929734,2,24
1494933298,4,8
1494936907,5,8
1494940481,2,20
1494944085,3,16
1494947688,10,6
1494951280,41,8
1494954914,10,4
1494958506,3,4
1494962129,5,2
1494965701,6,24
1494969272,16,15
1494972902,8,13
1494976474,9,9
1494980177,32,6
1494983688,13,2
1494987264,7,6
1494990945,11,18
1494994492,14,7
1494998084,7,14
1495001688,10,6
1495005314,8,6
1495008908,7,4
1495012483,1,23
1495016111,12,9
1495019696,5,26
1495023312,9,7
1495026862,4,14
1495030508,16,17
1495034079,20,2
1495037688,27,3
1495041269,5,1
1495044893,7,10
1495048498,4,12
1495052095,11,12
1495055705,4,9
1495059310,4,26
1495062914,6,24
1495066558,41,8
1495070146,37,7
1495073723,17,9
1495077323,12,26
1495080919,3,8
1495084506,7,7
1495088084,4,18
1495091759,4,15
1495095307,9,28
1495098874,40,6
1495102493,19,3
1495106101,4,3
1495109748,2,9
1495113302,10,7
1495116930,6,10
1495120510,6,5
1495124110,4,5
1495127795,11,18
1495131393,6,9
1495135027,5,10
1495138597,8,14
1495142109,30,11
1495145736,1,6
1495149335,4,7
1495152966,27,7
1495156503,11,8
1495160152,5,5
1495163721,13,26
1495167333,10,8
1495170942,7,6
1495174619,6,10
1495178126,6,28
1495181762,11,8
1495185373,15,19
1495188949,27,0
1495192481,9,4
1495196155,2,4
1495199716,3,5
1495203377,4,11
1495206949,5,24
1495210573,14,7
1495214089,23,13
1495217725,6,7
1495221351,2,7
1495224936,4,7
1495228499,15,23
1495232117,8,10
1495235704,16,2
1495239373,34,4
1495242919,8,11
1495246517,13,8
1495250123,4,16
1495253711,17,22
1495257329,3,3
1495260886,8,26
1495264508,8,5
1495268117,26,3
1495271713,6,3
1495275294,4,14
1495278925,9,4
1495282497,4,9
1495286122,9,3
1495289732,7,16
1495293315,13,8
1495296929,5,10
1495300512,13,8
1495304091,5,4
1495307706,5,10
1495311278,9,3
1495314901,2,15
1495318525,3,33
1495322140,13,5
1495325829,31,10
1495329307,21,8
1495332962,1,6
1495336503,9,31
1495340140,10,7
1495343772,9,22
1495347347,2,7
1495350936,25,10
1495354524,9,17
1495358116,12,15
1495361719,15,2
1495365319,9,13
1495368931,5,2
1495372553,3,16
1495376103,6,21
1495379738,5,13
1495383306,15,19
1495386928,6,14
1495390543,12,13
1495394103,15,6
1495397719,26,11
1495401301,25,1
1495404927,12,6
1495408537,0,7
1495413736,23,15
1495417205,9,9
1495419304,3,13
1495422901,21,27
1495426504,3,11
1495430133,10,19
1495433689,10,5
1495437327,10,29
1495440920,6,9
1495444496,37,5
1495448132,11,9
1495451708,3,9
1495455316,9,6
1495458905,3,38
1495462524,18,17
1495466137,15,9
1495469720,11,9
1495473329,11,8
1495476897,5,8
1495480522,4,10
1495484119,12,14
1495487737,9,13
1495491289,22,3
1495494925,13,11
1495498558,33,12
1495502070,18,4
1495505666,6,16
1495509310,5,24
1495512881,6,7
1495516461,6,25
1495520076,8,9
1495523703,34,4
1495527276,7,13
1495530890,8,13
1495534495,21,3
1495538107,3,19
1495541687,6,6
1495545269,6,9
1495548912,7,25
1495552529,12,7
1495556080,8,5
1495559704,9,13
1495563243,16,5
1495566893,4,12
1495570471,7,6
1495574087,14,10
1495577650,16,19
1495581278,22,4
1495584920,17,7
1495588475,6,4
1495592072,10,7
1495595646,7,52
1495599311,10,6
1495602854,6,16
1495606494,11,14
1495610092,12,8
1495613702,37,5
1495617268,10,2
1495620895,2,6
1495624466,6,4
1495628073,4,18
1495631874,4,22
1495635577,7,7
1495639140,14,11
1495642487,10,4
1495646075,7,9
1495649686,10,14
1495653240,3,17
1495656883,10,8
1495660516,15,7
1495664110,11,9
1495667692,8,9
1495672594,42,9
1495676119,11,3
1495680575,13,10
1495683402,1,18
1495687608,17,3
1495690914,2,2
1495694129,3,3
1495698242,5,5
1495701538,10,16
1495705062,8,7
1495708555,3,9
1495712254,20,2
1495716025,2,8
1495719151,6,4
1495721699,6,7
1495725305,14,7
1495728927,1,10
1495732501,5,14
1495736098,7,7
1495739697,10,23
1495743321,11,8
1495746911,4,16
1495750515,11,13
1495754125,9,20
