DateTime,Entries,UniqueIPs
1494393334,363,363
1494396884,351,351
1494400480,353,353
1494404062,347,347
1494407697,346,346
1494411308,350,350
1494414906,339,339
1494418495,357,357
1494422097,362,362
1494425729,369,369
1494429314,360,360
1494432941,370,370
1494436541,369,369
1494440097,367,367
1494443685,361,361
1494447311,345,345
1494450909,341,341
1494454514,355,355
1494458119,351,351
1494461741,375,375
1494465298,381,381
1494468919,369,369
1494472517,360,360
1494476079,347,347
1494479723,349,349
1494483320,350,350
1494486909,352,352
1494490531,338,338
1494494104,329,329
1494497750,323,323
1494501319,325,325
1494504920,319,319
1494508485,320,320
1494512129,348,348
1494515724,347,347
1494519297,343,343
1494522903,344,344
1494526526,334,334
1494530119,336,336
1494533689,331,331
1494538191,326,326
1494541624,353,353
1494545505,350,350
1494548119,376,376
1494551728,378,378
1494555287,377,377
1494558894,356,356
1494562503,356,356
1494566108,352,352
1494569707,352,352
1494573292,346,346
1494576879,355,355
1494580546,354,354
1494584106,353,353
1494587734,344,344
1494591296,330,330
1494594951,325,325
1494598527,322,322
1494602119,331,331
1494605759,308,308
1494609315,321,321
1494612928,327,327
1494616500,359,359
1494620108,360,360
1494623695,361,361
1494627316,357,357
1494630897,351,351
1494634581,380,380
1494638110,382,382
1494641699,378,378
1494645323,359,359
1494648885,340,340
1494652460,358,358
1494656141,359,359
1494659688,356,356
1494663313,356,356
1494666888,341,341
1494670512,332,332
1494674102,358,358
1494677762,360,360
1494681327,362,362
1494684952,367,367
1494688502,362,362
1494692120,360,360
1494695714,368,368
1494699318,369,369
1494702905,372,372
1494706542,369,369
1494710090,363,363
1494713732,342,342
1494717285,340,340
1494720988,359,359
1494724492,363,363
1494728088,370,370
1494731717,357,357
1494735287,353,353
1494738911,354,354
1494742477,337,337
1494746115,323,323
1494749711,317,317
1494753294,325,325
1494756901,328,328
1494760481,350,350
1494764090,343,343
1494767689,347,347
1494771294,351,351
1494774885,345,345
1494778513,319,319
1494782116,308,308
1494785722,313,313
1494789312,328,328
1494792918,333,333
1494796474,354,354
1494800125,355,355
1494803690,349,349
1494807312,374,374
1494810911,367,367
1494814519,365,365
1494818083,346,346
1494821716,340,340
1494825288,333,333
1494828917,330,330
1494832488,353,353
1494836083,352,352
1494839718,351,351
1494843300,354,354
1494846873,354,354
1494850501,358,358
1494854113,355,355
1494857714,347,347
1494861333,345,345
1494864906,320,320
