DateTime,AddedIPs,RemovedIPs
1493964484,1,2
1493968089,0,4
1493971690,1,1
1493975267,0,2
1493978866,3,1
1493982463,1,0
1493986085,0,1
1493989692,0,1
1493993277,0,2
1493996882,6,4
1494000486,1,1
1494004065,5,1
1494007700,1,0
1494011277,2,2
1494014878,4,0
1494018479,0,2
1494022072,1,1
1494025659,1,4
1494029273,3,2
1494032865,1,0
1494036467,0,4
1494040061,0,5
1494047282,0,5
1494050862,1,3
1494054458,3,1
1494058078,2,2
1494061630,2,0
1494065268,2,0
1494068857,0,2
1494072476,2,0
1494076061,0,2
1494079671,2,1
1494083260,1,0
1494097669,1,5
1494101265,2,1
1494104835,2,0
1494108474,2,0
1494115696,0,1
1494119252,0,4
1494122850,5,1
1494126456,1,1
1494137285,0,6
1494140874,3,0
1494144458,3,0
1494148053,1,0
1494155253,0,1
1494158856,2,1
1494169631,0,2
1494173270,3,0
1494176877,1,0
1494180465,0,2
1494184058,1,2
1494187647,2,2
1494191281,1,0
1494194865,1,1
1494198475,3,1
1494202107,0,1
1494205673,1,2
1494209285,0,1
1494212866,1,2
1494220088,1,3
1494223664,2,0
1494227271,2,2
1494230882,0,1
1494234479,2,0
1494238086,2,2
1494241667,0,3
1494245280,2,0
1494248880,1,3
1494252461,0,2
1494256070,4,0
1494263278,0,2
1494266854,3,0
1494270490,1,3
1494274105,1,0
1494277693,5,1
1494281259,1,1
1494288526,0,1
1494292099,1,7
1494295686,2,1
1494299268,1,1
1494302877,0,1
1494306482,5,1
1494310066,1,2
1494317283,2,1
1494320885,0,3
1494324478,0,1
1494328091,2,0
1494331682,5,0
1494342472,0,5
1494346060,3,4
1494349678,0,1
1494353267,2,0
1494356895,2,0
1494360490,2,1
1494364061,0,1
1494367681,0,2
1494371277,1,0
1494374905,0,4
1494378466,0,1
1494382061,7,2
1494385671,3,2
1494389274,1,0
1494396459,0,2
1494400063,1,3
1494407280,3,0
1494410867,3,0
1494414487,0,3
1494418058,2,0
1494421679,1,0
1494425281,3,1
1494428872,2,1
1494432476,0,2
1494436077,0,2
1494439678,2,2
1494443261,1,1
1494446876,1,2
1494450463,3,0
1494454066,1,0
1494461307,1,1
1494464883,0,1
1494468478,1,3
1494472079,1,0
1494475672,1,4
1494486485,2,0
1494490092,1,1
1494493669,1,2
1494500890,0,1
1494504495,1,4
1494508061,4,1
1494511678,1,1
1494518880,0,1
1494522485,1,2
1494526087,0,1
1494529689,5,0
1494533269,0,2
1494537088,1,0
1494540663,2,0
1494544331,1,4
1494547696,1,0
1494551284,2,1
1494554871,2,2
1494558457,1,1
1494562062,0,1
1494569285,0,1
1494572878,2,1
1494576458,1,0
1494583672,1,0
1494587296,0,3
1494590868,0,5
1494594495,1,0
1494598092,1,0
1494601684,1,2
1494605302,3,1
1494608890,4,1
1494612471,0,1
1494619675,2,0
1494623281,1,0
1494626879,1,0
1494630489,0,2
1494634110,5,0
1494637674,3,2
1494641268,0,2
1494644890,0,2
1494648463,0,2
1494652062,4,0
1494655680,2,0
1494662868,0,2
1494666456,4,4
1494670090,0,5
1494673657,6,0
1494677287,1,0
1494680875,2,1
1494688063,0,2
1494691689,2,2
1494695280,4,1
1494698864,1,1
1494702479,2,1
1494706098,0,3
1494709679,0,4
1494713289,2,2
1494716865,0,2
1494720515,0,1
1494724073,3,1
1494727644,0,3
1494731272,1,4
1494738472,2,2
1494742052,1,1
1494745681,1,2
1494749272,3,0
1494760057,0,2
1494763661,2,4
1494767252,4,0
1494770879,1,1
1494778071,0,1
1494781664,0,3
1494785274,2,1
