DateTime,Entries,UniqueIPs
1489482517,8,8
1489489748,7,7
1489493312,8,8
1489500530,7,7
1489504142,8,8
1489518521,9,9
1489536599,7,7
1489540117,8,8
1489543706,9,9
1489547357,8,8
1489565334,8,8
1489568949,7,7
1489572535,8,8
1489586969,6,6
1489594163,6,6
1489597746,5,5
1489601363,7,7
1489608565,7,7
1489623003,7,7
1489626580,8,8
1489630110,8,8
1489633765,9,9
1489637347,8,8
1489644554,9,9
1489651761,8,8
1489655339,6,6
1489658925,6,6
1489669763,5,5
1489673304,7,7
1489677036,9,9
1489680596,10,10
1489687791,9,9
1489691391,10,10
1489694952,9,9
1489702150,10,10
1489709364,9,9
1489716559,9,9
1489720135,10,10
1489723734,9,9
1489784926,8,8
1489788536,8,8
1489792131,10,10
1489802984,9,9
1489806588,8,8
1489810175,7,7
1489892983,6,6
1489936178,5,5
1489939786,6,6
1490037084,5,5
1490040562,6,6
1490044178,5,5
1490047995,6,6
1490055034,5,5
1490062169,6,6
1490105387,5,5
1490119780,6,6
1490234958,5,5
1490238562,6,6
1490321354,5,5
1490324962,6,6
1490418562,5,5
1490425777,6,6
1490443768,5,5
1490447389,6,6
1490458176,5,5
1490465429,6,6
1490490555,5,5
1490504963,6,6
1490519365,5,5
1490526566,6,6
1490540963,5,5
1490548166,4,4
1490551768,5,5
1490558961,6,6
1490605755,5,5
1490609337,6,6
1490616573,7,7
1490630958,6,6
1490638157,7,7
1490681359,6,6
1490692172,7,7
1490706556,6,6
1490710154,5,5
1490713779,7,7
1490738969,6,6
1490746483,7,7
1490778582,6,6
1490785808,7,7
1490789449,6,6
1490792974,7,7
1490832617,6,6
1490836164,7,7
1490839796,8,8
1490857924,7,7
1490861383,8,8
1490879370,7,7
1490886582,8,8
1490919020,9,9
1490933369,5,5
1490936967,6,6
1490940571,8,8
1490947776,9,9
1490965784,10,10
1490976572,9,9
1490980248,10,10
1491005409,9,9
1491012576,8,8
1491016193,9,9
1491019780,9,9
1491030588,10,10
1491055780,9,9
1491059378,10,10
1491092094,11,11
1491120557,10,10
1491124179,9,9
1491127788,11,11
1491149381,10,10
1491153002,9,9
1491156565,11,11
1491192579,10,10
1491196177,9,9
1491203357,10,10
1491210541,11,11
1491271764,10,10
1491289754,9,9
1491293348,9,9
1491296976,10,10
1491304164,9,9
1491307756,8,8
1491311344,9,9
1491340169,8,8
1491347614,9,9
1491355298,10,10
1491361767,9,9
1491368977,8,8
1491394157,7,7
1491401686,8,8
1491423226,9,9
1491437385,8,8
1491444568,7,7
1491448144,5,5
1491451760,7,7
1491458961,9,9
1491466161,8,8
1491523807,9,9
1491534560,8,8
1491620993,7,7
1491635356,8,8
1491664167,7,7
1491674969,8,8
1491703776,7,7
1491707397,7,7
1491721774,8,8
1491725376,7,7
1491728970,6,6
1491732587,7,7
1491736179,8,8
1491750573,5,5
1491754175,8,8
1491797397,7,7
1491800977,8,8
1491844168,7,7
1491851501,6,6
1491858573,8,8
1491880174,7,7
1491883789,8,8
1491894564,7,7
1491919779,6,6
1491926982,8,8
1491955981,10,10
1491966572,9,9
1491995372,8,8
1492013371,7,7
1492017042,8,8
1492070989,7,7
1492078162,6,6
1492089659,8,8
1492128682,9,9
1492164564,8,8
1492175347,9,9
1492218579,7,7
1492222159,9,9
1492236547,7,7
1492240169,8,8
1492243752,9,9
1492250945,8,8
1492258156,7,7
1492265350,9,9
1492301404,10,10
1492304941,11,11
1492319360,10,10
1492326578,9,9
1492330130,10,10
1492333734,11,11
1492344557,10,10
1492348153,11,11
1492366990,10,10
1492380570,8,8
1492384144,9,9
1492387800,14,14
1492391391,13,13
1492398574,13,13
1492409343,8,8
1492412954,12,12
1492420162,13,13
1492427372,12,12
1492434560,13,13
1492441753,11,11
1492448955,8,8
1492452578,9,9
1492456173,8,8
1492459765,13,13
1492470567,12,12
1492481378,13,13
1492488605,8,8
1492495796,13,13
1492502978,12,12
1492514037,12,12
1492528182,8,8
1492535450,11,11
1492546174,12,12
1492553395,11,11
1492556982,11,11
1492560600,12,12
1492567784,11,11
1492571382,11,11
1492589363,6,6
1492600185,9,9
1492603759,10,10
1492614583,6,6
1492618189,10,10
1492621784,11,11
1492647009,6,6
1492650573,10,10
1492664959,10,10
1492668559,6,6
1492672180,6,6
1492679365,11,11
1492686576,10,10
1492690190,11,11
1492708201,10,10
1492711766,11,11
1492715355,10,10
1492718965,10,10
1492726197,11,11
1492740569,6,6
1492744175,4,4
1492751381,9,9
1492794594,4,4
1492798172,9,9
1492816173,5,5
1492823381,6,6
1492852149,5,5
1492862977,6,6
1492906238,7,7
1492927762,6,6
1492934944,7,7
1492942133,6,6
1492945764,7,7
1492999763,6,6
1493003352,7,7
1493021354,6,6
1493024943,5,5
1493028569,4,4
1493032157,6,6
1493039347,7,7
1493075363,6,6
1493078997,7,7
1493111370,6,6
1493114980,5,5
1493122178,7,7
1493129383,6,6
1493136562,6,6
1493140187,7,7
1493165409,8,8
1493230168,7,7
1493237360,7,7
1493240972,8,8
1493251799,9,9
1493255383,7,7
1493273359,6,6
1493276988,7,7
1493327374,6,6
1493330975,7,7
1493348998,6,6
1493399380,5,5
1493410192,6,6
1493424622,5,5
1493431790,6,6
1493492972,5,5
1493496572,6,6
1493514571,5,5
1493518192,6,6
1493575759,5,5
1493593781,6,6
1493608176,6,6
1493611797,5,5
1493618988,6,6
1493636994,7,7
1493683854,6,6
1493687393,8,8
1493701772,7,7
1493705414,8,8
1493726981,7,7
1493730593,7,7
1493734191,6,6
1493737798,7,7
1493741384,8,8
1493755758,9,9
1493770238,8,8
1493773738,9,9
1493795358,8,8
1493802579,9,9
1493831344,7,7
1493834961,9,9
1493838566,8,8
1493842158,9,9
1493878167,7,7
1493881800,8,8
1493885809,9,9
1493918140,8,8
1493921850,9,9
1493986184,8,8
1493993370,9,9
1494000580,10,10
1494007795,9,9
1494029369,8,8
1494032961,9,9
1494036562,7,7
1494040155,8,8
1494068952,7,7
1494072570,7,7
1494079766,8,8
1494108568,6,6
1494112161,5,5
1494115791,6,6
1494119348,6,6
1494122944,8,8
1494126550,7,7
1494130151,8,8
