DateTime,AddedIPs,RemovedIPs
1494292152,4,1
1494295749,1,0
1494299332,0,1
1494302942,1,0
1494306549,0,2
1494310130,0,16
1494313748,10,0
1494317347,6,1
1494320948,4,2
1494328154,1,1
1494331747,2,0
1494335350,0,1
1494346125,0,6
1494349739,3,1
1494353331,2,0
1494356959,2,0
1494364124,1,0
1494371340,0,13
1494374970,3,2
1494378525,3,3
1494382129,7,4
1494385733,5,1
1494389337,3,1
1494392948,1,0
1494396522,0,1
1494400126,1,4
1494403731,1,11
1494407344,3,8
1494410935,9,3
1494414555,7,9
1494418121,7,1
1494421743,7,1
1494425354,6,1
1494428946,0,1
1494432540,0,1
1494439740,0,1
1494443323,0,9
1494446938,4,3
1494450526,1,7
1494454130,6,4
1494457740,8,1
1494461369,3,0
1494464947,0,1
1494468541,1,5
1494472143,9,5
1494475735,0,5
1494479356,4,2
1494482958,2,1
1494486548,4,3
1494490155,3,1
1494493732,0,7
1494497364,9,0
1494500954,2,0
1494508123,1,0
1494511741,0,1
1494515352,0,2
1494518943,1,7
1494522554,3,2
1494526150,0,4
1494529752,5,2
1494533335,3,11
1494537156,2,8
1494540855,21,0
1494544521,2,0
1494547760,1,0
1494554930,0,3
1494558520,1,6
1494562133,1,1
1494565745,1,5
1494569350,3,1
1494572941,1,6
1494576521,7,0
1494580162,1,4
1494583735,5,5
1494587359,1,4
1494590931,1,7
1494594565,2,9
1494598155,5,9
1494601749,18,4
1494605365,9,2
1494608954,8,0
1494623342,1,1
1494626943,0,4
1494630552,1,5
1494634178,5,3
1494637740,7,5
1494641331,1,4
1494644953,5,1
1494648526,2,3
1494652130,0,4
1494655743,2,1
1494659311,2,2
1494662933,7,1
1494666519,0,3
1494670154,0,1
1494673721,3,1
1494677350,0,1
1494680939,2,1
1494688126,0,2
1494691753,0,2
1494695343,6,0
1494698926,0,1
1494702541,1,1
1494706161,3,0
1494720578,0,2
1494724136,2,3
1494727708,2,5
1494731335,3,0
1494734937,1,0
1494738535,1,0
1494742115,0,1
1494745743,1,3
1494749335,2,7
1494752921,5,5
1494756539,5,2
1494760120,2,4
1494763724,1,8
1494767317,4,7
1494770943,9,2
1494774535,4,4
1494778134,3,0
1494781727,2,6
1494785337,8,11
1494788930,14,0
1494792544,1,1
1494796118,0,1
1494799743,0,1
1494803331,0,4
1494806940,1,1
1494810532,1,9
1494814163,2,7
1494817715,7,3
1494821332,7,5
1494824943,5,2
