DateTime,Entries,UniqueIPs
1494238149,119,119
1494241731,121,121
1494245343,121,121
1494248943,122,122
1494252525,121,121
1494259767,122,122
1494263341,119,119
1494266928,110,110
1494270552,113,113
1494274170,115,115
1494277758,119,119
1494281322,118,118
1494284950,116,116
1494288588,120,120
1494292152,123,123
1494295749,124,124
1494299332,123,123
1494302942,124,124
1494306549,122,122
1494310130,106,106
1494313748,116,116
1494317347,121,121
1494320948,123,123
1494328154,123,123
1494331747,125,125
1494335350,124,124
1494346125,118,118
1494349739,120,120
1494353331,122,122
1494356959,124,124
1494364124,125,125
1494371340,112,112
1494374970,113,113
1494378525,113,113
1494382129,116,116
1494385733,120,120
1494389337,122,122
1494392948,123,123
1494396522,122,122
1494400126,119,119
1494403731,109,109
1494407344,104,104
1494410935,110,110
1494414555,108,108
1494418121,114,114
1494421743,120,120
1494425354,125,125
1494428946,124,124
1494432540,123,123
1494439740,122,122
1494443323,113,113
1494446938,114,114
1494450526,108,108
1494454130,110,110
1494457740,117,117
1494461369,120,120
1494464947,119,119
1494468541,115,115
1494472143,119,119
1494475735,114,114
1494479356,116,116
1494482958,117,117
1494486548,118,118
1494490155,120,120
1494493732,113,113
1494497364,122,122
1494500954,124,124
1494508123,125,125
1494511741,124,124
1494515352,122,122
1494518943,116,116
1494522554,117,117
1494526150,113,113
1494529752,116,116
1494533335,108,108
1494537156,102,102
1494540855,123,123
1494544521,125,125
1494547760,126,126
1494554930,123,123
1494558520,118,118
1494562133,118,118
1494565745,114,114
1494569350,116,116
1494572941,111,111
1494576521,118,118
1494580162,115,115
1494583735,115,115
1494587359,112,112
1494590931,106,106
1494594565,99,99
1494598155,95,95
1494601749,109,109
1494605365,116,116
1494608954,124,124
1494623342,124,124
1494626943,120,120
1494630552,116,116
1494634178,118,118
1494637740,120,120
1494641331,117,117
1494644953,121,121
1494648526,120,120
1494652130,116,116
1494655743,117,117
1494659311,117,117
1494662933,123,123
1494666519,120,120
1494670154,119,119
1494673721,121,121
1494677350,120,120
1494680939,121,121
1494688126,119,119
1494691753,117,117
1494695343,123,123
1494698926,122,122
1494702541,122,122
1494706161,125,125
1494720578,123,123
1494724136,122,122
1494727708,119,119
1494731335,122,122
1494734937,123,123
1494738535,124,124
1494742115,123,123
1494745743,121,121
1494749335,116,116
1494752921,116,116
1494756539,119,119
1494760120,117,117
1494763724,110,110
1494767317,107,107
1494770943,114,114
1494774535,114,114
1494778134,117,117
1494781727,113,113
1494785337,110,110
1494788930,124,124
1494792544,124,124
1494796118,123,123
1494799743,122,122
1494803331,118,118
1494806940,118,118
1494810532,110,110
1494814163,105,105
1494817715,109,109
1494821332,111,111
1494824943,114,114
1494828542,114,114
1494832110,113,113
1494835719,112,112
1494839326,117,117
1494842923,121,121
1494846496,121,121
1494850109,120,120
1494853722,119,119
1494857331,112,112
1494860927,116,116
1494864531,120,120
1494868119,119,119
1494871728,117,117
1494875302,121,121
1494878936,119,119
1494882513,116,116
1494886126,113,113
1494889725,115,115
1494893365,110,110
1494896895,120,120
1494900526,123,123
1494904147,123,123
1494907731,123,123
1494911309,125,125
1494922124,124,124
1494925725,122,122
1494929333,123,123
1494932929,123,123
1494936529,121,121
1494940125,117,117
