DateTime,AddedIPs,RemovedIPs
1492427431,2,0
1492431026,2,1
1492438218,1,0
1492441822,0,2
1492445405,0,1
1492452635,0,1
1492456232,1,0
1492463412,0,1
1492467046,1,0
1492474253,23,1
1492477800,1,1
1492481428,0,2
1492485033,1,25
1492488671,2,1
1492492245,2,0
1492499425,0,3
1492506622,1,0
1492510259,4,0
1492521118,0,2
1492524654,0,2
1492535511,0,1
1492560656,19,0
1492571451,0,10
1492575039,0,1
1492596626,4,0
1492607442,0,4
1492611049,1,0
1492621848,0,1
1492647058,15,1
1492650627,1,0
1492657828,0,18
1492661440,0,1
1492693832,1,0
1492719010,0,1
1492726258,1,0
1492733478,15,0
1492737048,1,0
1492740630,0,7
1492744223,0,24
1492762216,1,0
1492783826,0,1
1492819868,14,0
1492830634,0,19
1492834242,0,1
1492855813,1,0
1492866638,0,1
1492870231,1,0
1492884621,0,1
1492899022,1,0
1492906292,15,0
1492913386,0,1
1492917017,0,15
1492920611,2,0
1492931413,0,1
1492935018,0,1
1492992641,16,0
1493003404,0,18
1493007010,0,1
1493010597,0,1
1493021410,2,0
1493035787,0,1
1493050188,0,1
1493064624,0,1
1493068204,1,0
1493071817,1,0
1493079041,15,0
1493086235,0,1
1493089825,0,11
1493093563,0,2
1493097008,1,0
1493125835,1,0
1493140251,0,1
1493147439,0,1
1493165461,10,0
1493172593,1,0
1493176217,0,15
1493190642,0,1
1493219402,1,0
1493237404,0,1
1493248239,1,0
1493251854,20,0
1493262618,0,15
1493266245,0,1
1493284237,0,1
1493287819,2,0
1493302240,0,1
1493305818,1,0
1493316646,0,1
1493338264,17,1
1493341871,1,0
1493345450,1,0
1493349059,0,12
1493352648,0,1
1493356259,0,1
1493359856,1,0
1493377859,1,0
1493381452,1,0
1493392272,0,1
1493395886,0,1
1493399459,1,0
1493406650,0,1
1493410268,1,0
1493413854,1,1
1493424680,25,0
1493428252,0,1
1493435441,0,12
1493439055,0,3
1493442652,1,0
1493457045,0,3
1493460652,1,0
1493464230,1,0
1493467837,1,0
1493475033,1,0
1493478662,1,1
1493482252,0,1
1493489454,0,1
1493493031,1,0
1493500234,0,1
1493507419,1,1
1493511055,18,0
1493521832,0,19
1493525430,0,1
1493557858,1,0
1493572218,0,2
1493579438,0,1
1493583058,2,0
1493586644,1,0
1493597464,23,1
1493601014,1,1
1493608231,0,16
1493611857,1,1
1493615448,0,1
1493619043,0,1
1493626272,1,0
1493633461,1,0
1493651428,0,1
1493658665,1,0
1493673037,0,1
1493683907,10,0
1493691051,0,1
1493694631,1,22
1493709007,0,1
1493716222,0,1
1493719827,2,0
1493730643,0,1
1493741435,0,1
1493745041,1,0
1493759450,1,0
1493770283,33,0
1493773778,2,1
1493781013,0,17
1493785649,0,2
1493842233,0,1
1493845816,1,0
1493856650,22,0
1493860231,2,0
1493863854,1,0
1493867438,0,18
1493871039,1,0
1493878223,0,1
1493890553,0,2
1493896500,1,0
1493904182,1,0
1493918269,0,1
1493928796,4,0
1493935791,1,4
1493943049,8,0
1493946631,3,0
1493953812,0,8
1493957482,0,2
1493961031,0,1
1493971846,0,1
1494025802,1,0
1494029439,32,0
1494033020,1,0
1494040209,0,36
1494043830,1,2
1494047433,0,1
1494054611,2,0
1494058253,1,1
1494068994,0,1
1494079830,1,0
1494094213,0,2
1494108637,1,0
1494115856,26,0
1494119403,1,1
1494123008,1,1
1494126617,0,27
1494130210,0,2
1494133824,1,1
1494137439,0,1
1494144601,1,0
1494148201,1,1
1494155405,1,0
1494159012,2,0
1494162625,0,1
1494166232,0,1
1494169794,1,1
1494173427,1,0
1494184209,1,2
1494187802,1,1
1494191426,1,0
1494195017,2,1
1494198627,0,1
1494202256,18,1
1494205830,1,0
1494209441,1,2
1494213004,1,8
1494216631,2,2
1494220246,0,1
1494223821,1,1
1494227420,0,1
1494231034,0,1
1494238232,0,1
1494241831,0,1
1494245439,1,0
1494252620,1,0
1494263425,1,1
1494267013,2,1
1494277844,0,1
1494281417,1,1
1494285047,0,1
1494288676,26,0
1494295824,1,2
1494299404,0,28
1494303025,0,2
1494306626,0,1
1494310206,2,2
1494313829,1,0
1494321034,1,1
1494324630,1,2
1494328241,1,0
1494331832,0,1
1494335444,0,1
1494339017,1,0
1494342617,1,1
1494346218,1,0
1494349827,0,1
1494353421,1,1
1494357042,1,1
1494360647,2,1
1494364213,1,0
1494371422,0,1
1494375061,21,1
1494382211,0,1
1494385823,0,25
1494389417,0,1
1494393032,0,1
1494396611,1,0
1494461441,12,0
1494465029,5,0
1494468632,1,2
1494472236,0,17
1494475820,1,7
1494479445,3,6
1494486627,0,1
1494490237,0,1
1494493822,2,1
1494504647,0,1
1494508210,0,1
1494515441,1,0
1494519039,1,0
1494533409,0,1
1494540991,0,1
1494547842,25,0
1494551437,2,0
1494558604,1,17
1494591019,0,1
1494601843,0,1
1494605461,1,0
1494612630,2,0
1494616216,0,1
1494619826,1,0
1494627034,0,1
1494634266,26,0
1494637830,0,1
1494641429,2,0
1494645042,0,14
1494652211,1,0
1494655839,0,2
1494670228,0,1
1494673801,0,1
1494677449,2,0
1494691845,0,1
1494702626,1,0
1494713435,0,1
1494717017,1,0
1494720678,15,0
1494724225,0,1
1494731435,0,9
1494735015,0,2
1494753008,1,0
1494763807,1,0
1494767407,0,1
1494778229,0,1
1494785435,2,0
1494792626,0,1
1494799838,1,1
1494807018,19,0
1494814245,1,1
1494817804,0,26
1494821419,1,0
1494828645,0,1
1494835806,0,1
1494843021,0,1
1494846588,1,0
1494861038,0,1
1494864629,0,1
1494868203,2,0
1494882597,0,1
1494886223,1,0
1494893450,28,1
1494900615,1,0
1494904234,1,21
1494907827,1,2
1494911399,0,1
1494915034,0,1
1494918605,0,1
1494922219,0,1
1494925813,1,0
1494929435,0,1
1494936629,1,0
1494940210,0,1
1494951014,1,1
1494961821,1,0
1494965405,0,1
1494976222,0,1
1494979883,9,0
1494983432,1,0
1494990641,0,13
1494997807,0,1
1495005000,0,1
1495015834,1,0
1495041010,1,0
1495055426,0,1
1495066265,18,0
1495069857,2,0
1495077052,0,18
1495080636,2,3
1495084247,1,0
1495087827,1,2
1495091461,0,1
1495095025,2,3
1495098593,2,0
1495102217,0,1
1495105827,1,0
1495109444,0,2
1495113023,2,1
1495116641,1,1
1495120245,0,1
1495123835,2,0
1495127467,0,2
1495131059,1,1
1495138279,2,0
1495145457,1,2
1495149059,0,1
1495152674,17,1
1495156218,1,0
1495159837,1,2
1495163439,0,30
1495167041,1,1
1495174249,1,1
1495177845,0,2
1495181456,2,0
1495185060,1,1
1495188636,1,0
1495192199,1,1
1495195845,0,1
1495199443,1,2
1495203078,0,1
1495206639,1,1
1495210255,2,0
1495213812,1,0
1495221056,1,1
1495224645,0,1
1495228209,0,1
1495231831,0,1
1495239067,19,0
1495242634,1,0
1495246223,2,1
1495249849,2,8
1495253444,0,4
1495257042,2,1
1495260631,0,4
1495264226,1,0
1495267826,3,2
1495271423,2,1
1495275020,2,0
1495278641,1,1
1495282227,1,3
1495285824,1,1
1495289438,1,1
1495293024,0,3
1495296644,2,0
1495300235,2,1
1495303814,1,1
1495307426,1,1
1495311003,1,0
1495314616,0,1
1495318239,2,2
1495321848,1,1
1495325517,14,1
1495329032,0,2
1495332665,0,2
1495336230,0,23
1495339859,0,1
1495365041,1,0
1495379447,0,2
1495383032,1,0
1495412277,10,0
1495422627,1,16
1495426240,0,1
1495437040,1,1
1495440640,1,1
1495444215,1,0
1495447848,1,0
1495451433,0,1
1495455020,1,0
1495458627,0,1
1495462239,2,1
1495469454,0,1
1495473028,1,0
1495476615,0,1
1495483818,1,0
1495487438,1,1
1495494631,1,0
1495498273,23,1
1495501797,1,1
1495509023,0,13
1495516209,1,1
1495519804,0,1
1495527011,1,0
1495530605,0,1
1495548622,0,2
1495552238,1,0
1495555806,1,0
1495584634,14,0
1495595397,0,17
1495599035,1,2
1495602594,1,0
1495606210,1,0
1495613413,0,1
1495620636,0,1
1495645792,1,0
1495656612,1,0
1495667424,1,0
1495671475,9,1
1495675181,2,0
1495679111,0,2
1495682365,1,14
1495689820,0,1
1495718112,0,1
1495721436,2,0
1495735810,0,1
1495757448,12,0
1495761003,1,0
1495764615,1,0
1495768205,0,21
1495771803,1,4
1495775409,1,1
1495789812,0,1
1495797018,1,0
1495804212,1,0
1495829397,1,0
1495833015,0,1
1495836608,0,1
1495843867,24,0
1495854620,0,10
1495861817,1,0
1495890606,0,1
1495901410,1,0
1495930833,14,1
1495941036,0,13
1495958997,0,1
1495966222,1,0
1496016677,6,0
1496020254,1,1
1496027466,0,9
1496031030,0,1
1496034648,0,1
1496081467,0,1
1496085043,1,0
1496103048,21,0
1496113844,0,24
1496117434,0,2
1496131844,0,2
1496135434,2,0
1496139057,1,0
1496149831,1,0
1496153455,0,2
1496157032,1,0
1496164228,2,1
1496167860,1,0
1496171423,2,2
1496178642,1,2
1496182233,0,3
1496189472,6,0
1496193026,3,1
1496196644,0,1
1496200235,0,12
