DateTime,Entries,UniqueIPs
1492367198,65,65
1492377011,64,64
1492387852,91,91
1492391443,92,92
1492395017,91,91
1492398621,69,69
1492402207,67,67
1492405835,67,67
1492427431,69,69
1492431026,70,70
1492438218,71,71
1492441822,69,69
1492445405,68,68
1492452635,67,67
1492456232,68,68
1492463412,67,67
1492467046,68,68
1492474253,90,90
1492477800,90,90
1492481428,88,88
1492485033,64,64
1492488671,65,65
1492492245,67,67
1492499425,64,64
1492506622,65,65
1492510259,69,69
1492521118,67,67
1492524654,65,65
1492535511,64,64
1492560656,83,83
1492571451,73,73
1492575039,72,72
1492596626,76,76
1492607442,72,72
1492611049,73,73
1492621848,72,72
1492647058,86,86
1492650627,87,87
1492657828,69,69
1492661440,68,68
1492693832,69,69
1492719010,68,68
1492726258,69,69
1492733478,84,84
1492737048,85,85
1492740630,78,78
1492744223,54,54
1492762216,55,55
1492783826,54,54
1492819868,68,68
1492830634,49,49
1492834242,48,48
1492855813,49,49
1492866638,48,48
1492870231,49,49
1492884621,48,48
1492899022,49,49
1492906292,64,64
1492913386,63,63
1492917017,48,48
1492920611,50,50
1492931413,49,49
1492935018,48,48
1492992641,64,64
1493003404,46,46
1493007010,45,45
1493010597,44,44
1493021410,46,46
1493035787,45,45
1493050188,44,44
1493064624,43,43
1493068204,44,44
1493071817,45,45
1493079041,60,60
1493086235,59,59
1493089825,48,48
1493093563,46,46
1493097008,47,47
1493125835,48,48
1493140251,47,47
1493147439,46,46
1493165461,56,56
1493172593,57,57
1493176217,42,42
1493190642,41,41
1493219402,42,42
1493237404,41,41
1493248239,42,42
1493251854,62,62
1493262618,47,47
1493266245,46,46
1493284237,45,45
1493287819,47,47
1493302240,46,46
1493305818,47,47
1493316646,46,46
1493338264,62,62
1493341871,63,63
1493345450,64,64
1493349059,52,52
1493352648,51,51
1493356259,50,50
1493359856,51,51
1493377859,52,52
1493381452,53,53
1493392272,52,52
1493395886,51,51
1493399459,52,52
1493406650,51,51
1493410268,52,52
1493413854,52,52
1493424680,77,77
1493428252,76,76
1493435441,64,64
1493439055,61,61
1493442652,62,62
1493457045,59,59
1493460652,60,60
1493464230,61,61
1493467837,62,62
1493475033,63,63
1493478662,63,63
1493482252,62,62
1493489454,61,61
1493493031,62,62
1493500234,61,61
1493507419,61,61
1493511055,79,79
1493521832,60,60
1493525430,59,59
1493557858,60,60
1493572218,58,58
1493579438,57,57
1493583058,59,59
1493586644,60,60
1493597464,82,82
1493601014,82,82
1493608231,66,66
1493611857,66,66
1493615448,65,65
1493619043,64,64
1493626272,65,65
1493633461,66,66
1493651428,65,65
1493658665,66,66
1493673037,65,65
1493683907,75,75
1493691051,74,74
1493694631,53,53
1493709007,52,52
1493716222,51,51
1493719827,53,53
1493730643,52,52
1493741435,51,51
1493745041,52,52
1493759450,53,53
1493770283,86,86
1493773778,87,87
1493781013,70,70
1493785649,68,68
1493842233,67,67
1493845816,68,68
1493856650,90,90
1493860231,92,92
1493863854,93,93
1493867438,75,75
1493871039,76,76
1493878223,75,75
1493890553,73,73
1493896500,74,74
1493904182,75,75
1493918269,74,74
1493928796,78,78
1493935791,75,75
1493943049,83,83
1493946631,86,86
1493953812,78,78
1493957482,76,76
