DateTime,AddedIPs,RemovedIPs
1491973299,1,1
1491980498,0,2
1491987702,0,1
1492005702,2,0
1492020101,0,1
1492030899,1,0
1492038101,1,0
1492045300,0,2
1492059701,1,1
1492070498,2,0
1492081301,1,0
1492084900,0,1
1492088627,0,1
1492095701,2,1
1492110100,1,1
1492124503,0,1
1492128105,1,1
1492135300,1,0
1492138900,3,0
1492142498,0,1
1492149701,0,1
1492153300,0,3
1492167698,1,0
1492174897,1,0
1492178497,1,0
1492182102,0,1
1492189297,0,1
1492192899,1,0
1492196496,2,0
1492207299,0,2
1492210902,0,1
1492214501,1,0
1492228900,0,1
1492236099,1,2
1492239699,2,0
1492243300,1,0
1492246902,1,0
1492250503,2,1
1492254099,0,2
1492257697,1,1
1492261303,1,1
1492264899,1,1
1492268501,1,0
1492272094,0,1
1492275703,0,1
1492279297,1,1
1492297301,0,1
1492300903,0,1
1492329693,1,0
1492333290,0,1
1492336893,1,0
1492344094,0,1
1492354892,2,0
1492358493,0,1
1492369355,0,2
1492372894,1,0
1492387293,1,0
1492394490,1,0
1492401693,2,2
1492405288,2,0
1492408893,0,1
1492412494,1,0
1492416093,0,1
1492419692,0,1
1492423296,1,0
1492426892,0,2
1492448490,1,1
1492462894,0,1
1492466493,2,0
1492480901,0,2
1492506100,1,0
1492516900,0,1
1492520524,0,1
1492524100,2,0
1492549299,0,1
1492578098,1,0
1492592502,0,1
1492603302,2,0
1492617700,0,1
1492628499,1,2
1492632100,1,0
1492639295,1,0
1492642903,1,1
1492646501,1,0
1492653704,0,1
1492657298,0,1
1492660903,0,1
1492664503,2,1
1492678897,1,1
1492682501,2,0
1492693297,0,1
1492704100,2,1
1492707702,0,1
1492711302,1,0
1492718503,0,2
1492722097,2,0
1492725701,0,1
1492729298,1,0
1492736504,0,1
1492740099,0,1
1492743704,0,1
1492747298,1,1
1492754499,2,0
1492761699,0,1
1492779697,1,1
1492786899,2,0
1492797698,1,0
1492801303,0,2
1492804895,0,1
1492812096,0,2
1492815698,1,0
1492819302,2,0
1492822895,1,0
1492833702,0,1
1492837297,0,1
1492866100,1,1
1492869699,1,0
1492876900,1,0
1492880500,0,1
1492891299,0,1
1492894895,1,0
1492898502,1,0
1492909292,0,1
1492912891,0,1
1492916495,0,1
1492934491,1,0
1492948892,0,1
1492959691,1,0
1492970492,0,1
1492984895,1,0
1492988491,1,0
1492992098,0,1
1492995690,1,0
1493002894,0,1
1493013692,0,1
1493017291,1,0
1493020892,1,0
1493024491,1,0
1493031694,0,1
1493035290,1,1
1493038892,1,2
1493049691,1,0
1493053290,0,1
1493064092,0,1
1493067690,2,0
1493082100,0,1
1493085697,0,1
1493092899,1,1
1493096501,1,0
1493100098,1,0
1493103701,1,0
1493107302,1,0
1493110899,0,1
1493114504,0,1
1493121702,0,2
1493139702,1,0
1493154097,1,1
1493168498,0,1
1493200900,1,1
1493204498,1,0
1493208100,2,0
1493211701,1,0
1493215299,0,1
1493218898,1,1
1493222501,0,3
1493226104,0,1
1493229695,1,0
1493233302,0,1
1493236900,1,0
1493251305,1,1
1493254903,1,0
1493269304,0,1
1493276504,0,1
1493283696,1,0
1493298102,0,1
1493305298,1,0
1493319703,1,1
1493323303,1,0
1493330503,3,0
1493344903,0,3
1493348501,1,1
1493352104,1,0
1493362904,0,1
1493366502,1,1
1493373699,2,0
1493380902,0,1
1493388101,0,2
1493402502,2,1
1493406102,1,0
1493413300,1,0
1493416899,0,1
1493424100,1,0
1493427699,0,2
1493438503,0,1
1493445700,1,0
1493449299,0,1
1493452901,1,0
1493460105,0,1
1493467303,1,0
1493488905,2,1
1493492501,1,0
1493496097,0,1
1493503302,0,2
1493506897,1,0
1493532100,1,0
1493535705,0,1
1493539302,0,1
1493542901,1,0
1493546497,0,1
1493557299,1,0
1493560904,0,1
1493571701,0,1
1493575303,2,0
1493589700,1,1
1493604099,0,1
1493607698,1,0
1493622103,0,1
1493636503,1,0
1493643700,0,1
1493650903,1,1
1493654501,1,0
1493665301,1,0
1493672504,0,1
1493679700,1,1
1493683302,0,1
1493690502,1,0
1493694097,2,0
1493704903,1,1
1493708502,0,2
1493730103,2,1
1493744503,0,2
1493758902,1,0
1493762501,1,0
1493769703,0,1
1493773296,1,1
1493776891,1,1
1493784283,1,0
1493791294,0,1
1493798491,1,0
1493812892,0,2
1493830892,1,0
1493845292,0,1
1493859701,1,0
