DateTime,Entries,UniqueIPs
1495626992,2591,2602
1495628451,2587,2598
1495629874,2581,2592
1495630718,2575,2586
1495631565,2571,2582
1495632253,2569,2580
1495633001,2565,2576
1495633701,2561,2572
1495634685,2557,2568
1495635383,2554,2565
1495636131,2548,2559
1495637105,2541,2552
1495638501,2519,2530
1495639945,2509,2520
1495640666,2504,2515
1495641379,2498,2509
1495643107,2490,2501
1495643770,2487,2498
1495644514,2485,2496
1495645500,2481,2492
1495646171,2477,2488
1495646956,2471,2482
1495647640,2468,2479
1495649079,2465,2476
1495649771,2463,2474
1495650837,2456,2467
1495651724,1813,1820
1495652515,1811,1818
1495653172,1808,1815
1495653860,1806,1813
1495654602,1802,1809
1495655308,1799,1806
1495656121,1797,1804
1495656745,1795,1802
1495657480,1794,1801
1495658914,1792,1799
1495659705,1791,1798
1495660383,1785,1792
1495661052,1831,1838
1495661793,1834,1841
1495662498,1835,1842
1495663349,1870,1877
1495664216,1868,1875
1495664896,1868,1875
1495665659,1868,1875
1495666337,1866,1873
1495667079,1864,1871
1495667776,1876,1883
1495668523,1873,1880
1495669483,1870,1877
1495670905,1874,1881
1495671618,1887,1894
1495672367,1881,1888
1495673047,1895,1902
1495673806,1931,1938
1495674493,1964,1971
1495675248,1959,1966
1495675950,1964,1971
1495676673,1966,1973
1495677380,1983,1990
1495678119,1971,1978
1495678814,1975,1982
1495679561,1957,1964
1495680246,1959,1966
1495680998,1963,1970
1495681698,1999,2006
1495682441,1999,2006
1495683148,2007,2014
1495683865,2014,2021
1495684572,2050,2057
1495685298,2062,2069
1495686039,2076,2083
1495686746,2087,2094
1495687470,2106,2113
1495688180,2135,2143
1495688920,2139,2147
1495689623,2144,2152
1495690363,2144,2152
1495691055,2156,2164
1495691790,2152,2160
1495692514,2151,2159
1495693969,2145,2153
1495695397,2144,2152
1495696097,2139,2147
1495696951,2135,2143
1495697841,2133,2141
1495698499,2130,2138
1495699309,2126,2134
1495699940,2122,2130
1495701413,2120,2128
1495702103,2119,2127
1495702899,2116,2124
1495703554,2114,2122
1495704252,2112,2120
1495705000,2106,2114
1495705713,2104,2112
1495706550,2103,2111
1495707404,2102,2110
1495708836,2100,2108
1495709537,2099,2107
1495710280,2097,2105
1495710980,2094,2102
1495712934,2092,2100
1495713672,2089,2097
1495714367,2088,2096
1495715053,2085,2093
1495715797,2083,2091
1495716507,2080,2088
1495717354,2077,2085
1495718209,2072,2080
1495718894,2071,2079
1495719630,2068,2076
1495720330,2066,2074
1495721782,2065,2073
1495722513,1194,1196
1495723950,1193,1195
1495734246,1192,1194
1495736671,1191,1193
1495738885,1190,1192
1495744822,1123,1125
1495751804,1122,1124
1495753294,1120,1122
1495753938,1119,1121
1495755379,1118,1120
1495756119,1116,1118
1495756894,1114,1116
1495758255,1112,1114
1495759000,1110,1112
1495759699,1109,1111
1495760545,1108,1110
1495761410,1107,1109
1495762369,1104,1106
1495763798,1098,1100
1495765235,1095,1097
1495766667,1087,1089
1495768131,1084,1086
1495769560,1073,1075
1495770998,1070,1072
1495771970,1058,1060
1495772655,1051,1053
1495773403,1043,1045
1495774105,1034,1036
1495774930,1030,1031
1495775820,1020,1021
1495776502,1013,1014
1495777240,1009,1010
1495777935,1001,1002
1495778678,996,997
1495779381,992,993
1495780115,989,990
1495780820,985,986
1495781562,977,978
1495782279,973,974
1495782976,965,966
1495783709,960,961
1495784421,959,960
1495785159,957,958
1495786374,952,953
1495787796,948,949
1495788504,947,948
1495789375,946,947
1495790212,942,943
1495790905,937,938
1495791630,935,936
1495792329,930,931
1495793074,928,929
1495794518,927,928
1495795953,921,922
1495797386,914,915
1495798124,909,910
1495799556,907,908
1495800520,906,907
1495801230,902,903
1495801969,942,943
1495802650,940,941
1495803390,939,940
1495804840,937,938
1495805573,933,934
1495806248,932,933
1495806994,930,931
1495808441,929,930
1495809147,927,928
1495810589,924,925
1495812043,917,918
1495813470,912,913
1495814899,910,911
1495816350,902,903
1495817779,900,901
1495818498,898,899
1495819237,896,897
1495820208,895,896
1495822335,894,895
1495823324,892,893
1495824023,890,891
1495824759,889,890
1495825718,885,886
1495827161,884,885
1495827931,882,883
1495828576,880,881
1495829299,874,875
1495830043,872,873
1495830746,868,869
1495832926,867,868
1495834362,865,866
1495835056,864,865
1495835793,862,863
1495837246,861,862
1495838668,860,861
1495839376,858,859
1495840100,855,856
1495840843,854,855
1495841550,851,852
1495842973,935,936
1495844421,934,935
1495845865,933,934
1495846577,932,933
1495847301,930,931
1495848036,929,930
1495848741,930,931
1495850902,997,997
1495851636,999,999
1495852333,1031,1031
1495853071,1139,1139
1495853772,1165,1165
1495854520,1172,1172
1495855225,1188,1188
1495855945,1212,1212
1495856664,1229,1229
1495857373,1231,1231
1495858099,1267,1267
1495858843,1291,1291
1495859566,1332,1332
1495860268,1362,1362
1495860969,1398,1398
1495861693,1438,1438
1495862440,1463,1463
1495863134,1487,1488
1495863865,1496,1497
1495864584,1593,1594
1495865305,1613,1614
1495866037,1645,1646
1495866748,1679,1680
1495867473,1698,1699
1495868176,1703,1704
1495868892,1706,1707
1495869640,1728,1730
1495870343,1754,1756
1495871772,1753,1755
1495875380,1752,1754
1495876131,1751,1753
1495876813,1750,1752
1495877557,1749,1751
1495878998,1748,1750
1495881135,1747,1749
1495886187,1745,1747
1495887635,1365,1367
1495889065,1364,1366
1495902044,1363,1365
1495909229,1362,1364
1495912606,1361,1363
1495917866,1360,1362
1495922205,1359,1361
1495925540,1358,1360
1495928435,1271,1273
1495935157,1269,1271
1495936601,1267,1269
1495938743,1266,1268
1495939476,1263,1265
1495940176,1262,1264
1495941629,1259,1261
1495942347,1256,1258
1495943068,1253,1255
1495944501,1252,1254
1495945244,1250,1252
1495946668,1249,1251
1495947377,1240,1242
1495948119,1233,1235
1495949807,1229,1231
1495950503,1227,1229
1495951296,1222,1224
1495951950,1220,1222
1495952652,1214,1216
1495953395,1210,1212
1495954143,1201,1203
1495954916,1194,1196
1495955560,1188,1190
1495956254,1185,1187
1495956996,1179,1181
1495957696,1174,1176
1495958501,1172,1174
1495959138,1168,1170
1495959873,1164,1166
1495960572,1162,1164
1495961314,1155,1157
1495962088,1150,1152
1495962762,1149,1151
1495963450,1145,1147
1495964191,1142,1144
1495965751,1138,1140
1495966359,1136,1138
1495967051,1134,1136
1495967793,1131,1133
1495968501,1128,1130
1495969301,1125,1127
1495969932,1122,1124
1495970687,1120,1122
1495971378,1119,1121
1495972121,1110,1112
1495972919,1108,1110
1495973554,1102,1104
1495974248,1101,1103
1495974990,1098,1100
1495976551,1097,1099
1495977396,1092,1094
1495978122,1088,1090
1495978828,1085,1087
1495979533,1082,1084
1495980275,1081,1083
1495980981,1078,1080
1495982416,1076,1078
1495983159,1073,1075
1495983877,1068,1070
1495984583,1064,1066
1495985320,1063,1065
1495986028,1060,1062
1495986755,1057,1059
1495988711,1052,1054
1495989408,1051,1053
1495990366,1047,1049
1495991335,1043,1045
1495992753,1042,1044
1495994557,1036,1038
1495995403,1033,1035
1495997047,1030,1032
1495997795,1029,1031
1495998493,1025,1027
1496000203,1023,1025
1496000893,1020,1022
1496001805,1015,1017
1496002589,1011,1013
1496003288,1009,1011
1496004039,1007,1009
1496006201,1006,1008
1496006890,1005,1007
1496007637,1003,1005
1496008331,1002,1004
1496009082,1000,1002
1496010061,999,1001
1496010746,997,999
1496011452,994,996
1496012187,992,994
1496013641,991,993
1496015067,989,991
1496015777,987,989
1496017246,984,986
1496017945,982,984
1496019383,981,983
1496020849,977,979
1496023724,974,976
1496025157,973,975
1496026601,970,972
1496027302,968,970
1496028769,965,967
1496030188,964,966
1496031642,963,965
1496033067,962,964
1496033777,961,963
1496034510,958,960
1496035230,957,959
1496036665,956,958
1496037383,955,957
1496038090,954,956
1496038838,953,955
1496039546,950,952
1496040272,949,951
1496040970,948,950
1496042441,947,949
1496043148,946,948
1496044570,944,946
1496045322,943,945
1496046017,941,943
1496046764,940,942
1496048197,939,941
1496049673,942,944
1496051064,940,942
1496051775,939,941
1496052516,942,944
1496053212,938,940
1496053971,936,938
1496054647,934,936
1496055386,933,935
1496056124,932,934
1496056828,934,936
1496057570,932,934
1496058246,929,931
1496058994,928,930
1496059745,927,929
1496062597,926,928
1496063298,925,927
1496064035,925,927
1496064738,925,927
1496065468,924,926
1496066177,924,926
1496067607,924,926
1496068370,925,927
1496069050,924,925
1496069803,923,924
1496072183,922,923
1496073686,923,924
1496074351,924,925
1496075808,923,924
1496076505,922,923
1496077335,924,925
1496077944,925,926
1496079380,924,925
1496080896,925,926
1496082251,924,925
1496084509,922,923
1496085135,921,922
1496085872,918,919
1496086612,917,918
1496087328,917,918
1496088819,920,921
1496089727,919,920
1496090444,917,918
1496091765,917,918
1496092605,918,919
1496094525,917,918
1496096651,915,916
1496097415,913,914
1496099323,912,913
1496100009,912,914
1496102199,909,911
1496102899,910,912
1496103614,909,911
1496104354,907,909
1496105795,906,908
1496107942,908,910
1496110117,906,908
1496110819,904,906
1496111565,903,905
1496113697,902,904
1496114437,901,903
1496115143,905,907
1496115868,903,905
1496117292,901,903
1496118049,900,902
1496120169,899,901
1496120891,896,898
1496121641,894,896
1496123066,891,893
1496123785,891,893
1496125943,890,892
1496127380,889,891
1496128100,889,891
1496130271,888,890
1496131733,883,885
1496133140,883,885
1496133858,879,881
1496134571,880,882
1496135291,878,880
1496136031,878,880
1496136763,876,878
1496137453,878,880
1496138183,876,878
1496139633,875,877
1496140346,877,879
1496141072,876,878
1496141778,877,879
1496142519,882,884
1496143223,881,883
1496143954,880,882
1496144648,878,880
1496146147,875,877
1496146827,874,876
1496148981,875,877
1496150437,874,876
1496152597,874,876
1496153323,872,874
1496154024,869,871
1496155448,870,872
1496156191,869,871
1496156902,1002,1004
1496157620,1009,1011
1496159051,1008,1010
1496159791,1009,1011
1496160490,1008,1010
1496162658,1007,1009
1496163372,1004,1006
1496164119,1001,1003
1496164808,999,1001
1496165549,998,1000
1496166247,1075,1077
1496166994,1099,1101
1496167711,1164,1166
1496168413,1267,1269
1496169156,1271,1273
1496169846,1345,1347
1496170588,1370,1372
1496171311,1372,1374
