DateTime,Entries,UniqueIPs
1495495951,2073,2073
1495496664,2137,2137
1495497372,2144,2144
1495498106,2140,2140
1495498837,2159,2159
1495499540,2153,2153
1495500265,2180,2180
1495500976,2186,2186
1495501728,2188,2188
1495502413,2236,2236
1495503156,2233,2233
1495503848,2230,2230
1495504600,2236,2236
1495505299,2239,2239
1495506038,2247,2247
1495506745,2238,2238
1495507466,2247,2247
1495508169,2260,2260
1495508900,2270,2270
1495509650,2290,2290
1495510350,2296,2296
1495511064,2301,2301
1495511773,2298,2298
1495512527,2303,2303
1495513213,2306,2306
1495513964,2296,2296
1495514645,2301,2301
1495515388,2299,2299
1495516090,2293,2293
1495516844,2301,2301
1495517546,2297,2297
1495518278,2330,2330
1495518971,2337,2337
1495519717,2341,2341
1495520410,2329,2329
1495521159,2329,2329
1495521850,2332,2332
1495522596,2359,2359
1495523298,2347,2347
1495524039,2331,2331
1495524744,2321,2321
1495525473,2316,2316
1495526526,2295,2295
1495527144,2287,2287
1495527882,2284,2284
1495528577,2164,2164
1495529324,2149,2149
1495530099,2142,2142
1495530764,2135,2135
1495531453,2134,2134
1495532191,2131,2131
1495532894,2127,2127
1495533746,2121,2121
1495534591,2114,2114
1495536032,2112,2112
1495536737,2103,2103
1495537495,2094,2094
1495538182,2091,2091
1495538920,2084,2084
1495539888,2081,2081
1495540569,2077,2077
1495541302,2075,2075
1495542050,2073,2073
1495542747,2071,2071
1495543466,2062,2062
1495544892,2055,2055
1495545645,2051,2051
1495546373,2049,2049
1495547072,2045,2045
1495547778,2041,2041
1495548528,2037,2037
1495549210,2034,2034
1495549973,2027,2027
1495550646,2023,2023
1495551388,2020,2020
1495552090,2006,2006
1495552852,1996,1996
1495553541,1990,1990
1495554265,1986,1986
1495554977,1981,1981
1495555700,1975,1975
1495556429,1969,1969
1495557140,1965,1965
1495557864,1962,1962
1495558585,1959,1959
1495559326,1955,1955
1495560025,1949,1949
1495560762,1942,1942
1495561451,1937,1937
1495562923,1934,1934
1495563889,1932,1932
1495564571,1923,1923
1495565315,1919,1919
1495566094,1069,1069
1495566765,1132,1132
1495567458,1133,1133
1495568197,1129,1129
1495568895,1127,1127
1495569700,1124,1124
1495570333,1120,1120
1495571076,1116,1116
1495571778,1139,1139
1495572518,1186,1186
1495573311,1197,1197
1495573964,1214,1214
1495574653,1238,1238
1495575642,1238,1238
