DateTime,Entries,UniqueIPs
1496092120,23891,24003
1496092811,23891,24003
1496093572,23888,24000
1496094529,23884,23996
1496095298,23888,24000
1496095965,23887,23999
1496096655,23888,24000
1496097419,23888,24000
1496098373,23891,24003
1496099327,23891,24003
1496100012,23902,24014
1496100766,23901,24013
1496101455,23902,24014
1496102202,23902,24014
1496102903,23901,24013
1496103617,23904,24016
1496104358,23900,24012
1496105049,23907,24019
1496105798,23904,24016
1496106507,23905,24017
1496107256,23902,24014
1496107946,23904,24016
1496108667,23897,24009
1496109374,23904,24016
1496110121,23905,24017
1496110822,23912,24024
1496111568,23912,24024
1496112253,23916,24028
1496113002,23915,24027
1496113701,23920,24032
1496114440,23915,24027
1496115147,23917,24029
1496115872,23916,24028
1496116573,23919,24031
1496117295,23923,24035
1496118052,23923,24035
1496118750,23925,24037
1496119470,23921,24033
1496120172,23928,24040
1496120894,23932,24044
1496121644,23927,24039
1496122346,23929,24041
1496123069,23932,24044
1496123789,23931,24043
1496124495,23933,24045
1496125233,23938,24050
1496125947,23940,24052
1496126671,23942,24054
1496127383,23949,24061
1496128104,23950,24062
1496128835,23955,24067
1496129555,23956,24068
1496130275,23959,24071
1496130973,23963,24075
1496131736,23965,24077
1496132412,23971,24083
1496133143,23973,24085
1496133861,23980,24092
1496134574,23982,24094
1496135294,23981,24093
1496136034,23987,24099
1496136766,23988,24100
1496137457,23991,24103
1496138186,23990,24102
1496138893,23998,24110
1496139636,23995,24107
1496140349,23998,24110
1496141075,24000,24112
1496141781,24002,24114
1496142522,24009,24121
1496143227,24014,24126
1496143957,24013,24125
1496144651,24015,24127
1496145391,24018,24130
1496146151,24025,24137
1496146831,24018,24130
1496147566,24019,24131
1496148250,24021,24133
1496148985,24023,24135
1496149718,24019,24131
1496150441,24023,24135
1496151151,24022,24134
1496151864,24024,24136
1496152601,24029,24141
1496153327,24029,24141
1496154028,24029,24141
1496154753,24028,24140
1496155451,24027,24139
1496156194,24032,24144
1496156906,24034,24146
1496157624,24041,24153
1496158362,24041,24153
1496159054,24044,24156
1496159795,24047,24159
1496160493,24045,24157
1496161235,24044,24156
1496161943,24048,24160
1496162662,24050,24162
1496163375,24050,24162
1496164122,24057,24169
1496164811,24057,24169
1496165553,24058,24170
1496166250,24063,24175
1496166997,24059,24171
1496167714,24067,24179
1496168416,24067,24179
1496169160,24067,24180
1496169849,24070,24183
1496170591,24068,24181
1496171314,24069,24182
1496172042,24070,24183
1496172758,24071,24184
1496173454,24070,24183
1496174194,24074,24187
1496174898,24079,24192
1496175634,24075,24188
1496176364,24080,24193
1496177050,24078,24191
1496177883,24075,24188
1496178501,24078,24191
1496179232,24076,24189
1496179950,24072,24185
1496180664,24063,24176
1496181379,24065,24178
1496182123,24058,24171
1496182875,24054,24167
1496183554,24056,24169
1496184266,24059,24172
1496184979,24061,24174
1496185722,24061,24174
1496186413,24065,24178
1496187153,24061,24174
1496187850,24066,24179
1496188597,24066,24179
1496189295,24069,24182
1496190037,24062,24175
1496190748,24067,24180
1496191462,24058,24170
1496192173,24059,24171
1496192915,24058,24170
1496193621,24057,24169
1496194395,24059,24171
1496195050,24063,24175
1496195812,24059,24171
1496196527,24062,24174
1496197273,24070,24182
1496197949,24067,24179
1496198666,24071,24183
1496199714,24077,24189
1496200358,24078,24190
1496201073,24079,24191
1496201804,24080,24192
1496202510,24083,24195
1496203294,24082,24194
1496203956,24084,24196
1496204660,24084,24196
1496205391,24086,24198
1496206104,24088,24200
1496206954,24090,24202
1496207801,24090,24202
1496208498,24091,24203
1496209228,24091,24203
1496209933,24094,24206
1496210671,24091,24203
1496211379,24090,24202
1496212112,24091,24203
1496212816,24095,24207
1496213550,24092,24204
1496214270,24094,24207
1496214982,24095,24208
1496215714,24097,24210
1496216416,24101,24214
1496217149,24103,24216
1496217877,24096,24209
1496218587,24102,24216
1496219319,24100,24214
1496220017,24102,24216
1496220766,24104,24218
1496221465,24098,24212
1496222207,24097,24211
1496222921,24100,24214
1496223626,24099,24213
1496224341,24099,24213
1496225071,24100,24214
1496225775,24097,24211
1496226503,24100,24214
1496227227,24102,24216
1496227949,24101,24215
1496228679,24099,24212
1496229387,24095,24208
1496230113,24094,24207
1496230817,24095,24208
1496231544,24084,24197
1496232271,24085,24198
1496232980,24086,24199
1496233701,24088,24201
1496234426,24085,24198
1496235412,24087,24200
1496236099,24090,24203
1496236838,24094,24207
1496237552,24098,24211
1496238263,24096,24209
1496238973,24092,24205
1496239715,24092,24205
1496240422,24092,24205
1496241165,24094,24207
1496241849,24099,24212
1496242594,24094,24207
1496243329,24092,24205
1496244036,24097,24210
1496244746,24100,24213
1496245454,24101,24214
1496246195,24097,24210
1496246900,24100,24214
1496247630,24100,24214
1496248341,24097,24211
1496249072,24099,24213
1496250133,24102,24216
1496250740,24099,24213
1496251473,24105,24219
1496252180,24105,24218
1496252924,24101,24214
1496253688,24102,24215
1496254347,24102,24215
1496255321,24102,24215
1496256014,24105,24218
1496256763,24106,24219
1496257726,24101,24214
1496258417,24105,24218
1496259281,24099,24212
1496260118,24106,24219
1496260888,24104,24217
1496261559,24104,24217
1496262261,24101,24214
1496263121,24107,24220
1496263988,24105,24218
1496264914,24103,24216
1496265615,24101,24213
1496266358,24100,24212
1496267064,24102,24214
1496267786,24103,24215
1496268613,24098,24210
1496269486,24098,24210
1496270186,24092,24204
1496270918,24096,24208
1496271694,24099,24211
1496272356,24097,24209
1496273072,24097,24209
1496273775,24098,24210
1496274510,24103,24215
1496275334,24104,24216
1496276213,24108,24220
1496276893,24113,24225
1496277636,24118,24230
1496278355,24114,24226
1496279324,24117,24229
1496280023,24115,24227
1496280760,24116,24228
1496281451,24112,24224
1496282184,24123,24235
1496282901,24126,24238
1496283628,24128,24240
1496284345,24125,24237
