DateTime,Entries,UniqueIPs
1495629877,5732,5732
1495630721,5671,5671
1495631568,5723,5723
1495632256,5729,5729
1495633004,5655,5655
1495633705,5745,5745
1495634688,5732,5732
1495635386,5750,5750
1495636134,5728,5728
1495637108,5740,5740
1495637780,5665,5665
1495638504,5686,5686
1495639241,5683,5683
1495639948,5701,5701
1495640669,5708,5708
1495641382,5637,5637
1495642098,5685,5685
1495643114,5711,5711
1495643773,5742,5742
1495644517,5700,5700
1495645503,5804,5804
1495646175,5764,5764
1495646959,5736,5736
1495647643,5728,5728
1495648347,5760,5760
1495649082,5747,5747
1495649774,5746,5746
1495650841,5719,5719
1495651727,5766,5766
1495652518,5783,5783
1495653175,5763,5763
1495653863,5758,5758
1495654605,5751,5751
1495655311,5829,5829
1495656124,5773,5773
1495656748,5738,5738
1495657483,5780,5780
1495658176,5817,5817
1495658917,5745,5745
1495659708,5732,5732
1495660387,5764,5764
1495661055,5793,5793
1495661796,5822,5822
1495662501,5743,5743
1495663353,5787,5787
1495664219,5785,5785
1495664899,5779,5779
1495665662,5801,5801
1495666340,5789,5789
1495667083,5726,5726
1495667779,5757,5757
1495668526,5796,5796
1495669486,5778,5778
1495670181,5766,5766
1495670909,5779,5779
1495671622,5769,5769
1495672370,5728,5728
1495673051,5758,5758
1495673809,5759,5759
1495674496,5762,5762
1495675251,5786,5786
1495675953,5761,5761
1495676676,5706,5706
1495677384,5713,5713
1495678122,5683,5683
1495678817,5719,5719
1495679565,5748,5748
1495680249,5712,5712
1495681001,5748,5748
1495681702,5754,5754
1495682445,5670,5670
1495683151,5711,5711
1495683868,5690,5690
1495684576,5712,5712
1495685301,5722,5722
1495686042,5737,5737
1495686749,5721,5721
1495687473,5753,5753
1495688183,5723,5723
1495688923,5729,5729
1495689627,5688,5688
1495690367,5752,5752
1495691058,5787,5787
1495691794,5795,5795
1495692517,5787,5787
1495693227,5791,5791
1495693972,5795,5795
1495694649,5764,5764
1495695400,5808,5808
1495696100,5794,5794
1495696955,5754,5754
1495697844,5799,5799
1495698502,5743,5743
1495699312,5744,5744
1495699943,5769,5769
1495700685,5774,5774
1495701416,5784,5784
1495702106,5759,5759
1495702902,5820,5820
1495703558,5818,5818
1495704255,5769,5769
1495705003,5774,5774
1495705716,5776,5776
1495706553,5815,5815
1495707407,5808,5808
1495708099,5707,5707
1495708839,5784,5784
1495709540,5783,5783
1495710283,5775,5775
1495710984,5817,5817
1495711725,5644,5644
1495712937,5771,5771
1495713676,5731,5731
1495714371,5784,5784
1495715057,5790,5790
1495715800,5708,5708
1495716510,5749,5749
1495717358,5759,5759
1495718212,5691,5691
1495718897,5763,5763
1495719633,5772,5772
1495720333,5794,5794
1495721088,5801,5801
1495721786,5822,5822
1495722516,5840,5840
