DateTime,Entries,UniqueIPs
1495412901,8882,8882
1495413930,8881,8881
1495415121,8884,8884
1495416030,8899,8899
1495417064,8901,8901
1495417902,8902,8902
1495418725,8903,8903
1495419587,8905,8905
1495420491,8902,8902
1495421380,8907,8907
1495422923,8907,8907
1495424541,8906,8906
1495426457,8906,8906
1495428331,8908,8908
1495429822,8906,8906
1495430899,8910,8910
1495431737,8911,8911
1495432581,8912,8912
1495433379,8909,8909
1495434187,8910,8910
1495435608,8914,8914
1495436756,8909,8909
1495438042,8911,8911
1495442273,8918,8918
1495443098,8922,8922
1495443926,8922,8922
1495444465,8926,8926
1495445500,8928,8928
1495447827,8934,8934
1495449754,8941,8941
1495451122,8946,8946
1495452007,8948,8948
1495453356,8944,8944
1495454191,8943,8943
1495455256,8940,8940
1495456986,8936,8936
1495458166,8936,8936
1495459252,8939,8939
1495460425,8935,8935
1495461918,8939,8939
1495464215,8938,8938
1495465837,8940,8940
1495467326,8919,8919
1495468216,8921,8921
1495470540,8903,8903
1495471368,8896,8896
1495472398,8896,8896
1495473321,8900,8900
1495474234,8902,8902
1495475334,8905,8905
1495476621,8900,8900
1495477625,8901,8901
1495478550,8903,8903
1495479752,8907,8907
1495480463,8909,8909
1495481390,8910,8910
1495482328,8912,8912
1495483147,8975,8975
1495484082,8973,8973
1495485032,8968,8968
1495485927,8970,8970
1495487034,8968,8968
1495488585,8974,8974
1495489523,8979,8979
1495490724,8978,8978
1495492224,8975,8975
1495494329,8971,8971
1495495222,8975,8975
1495496124,8972,8972
1495498217,8974,8974
1495499430,8978,8978
1495500148,8978,8978
1495500993,8979,8979
1495501823,8979,8979
1495502900,8981,8981
1495503929,8979,8979
1495505126,8974,8974
1495506030,8976,8976
1495506917,8976,8976
1495507825,8979,8979
1495508722,8976,8976
1495509629,8978,8978
1495510517,8977,8977
1495512623,8977,8977
1495513828,8977,8977
1495514732,8976,8976
1495515855,8975,8975
1495516829,8976,8976
1495518022,8976,8976
1495518977,8979,8979
1495519825,8980,8980
1495520901,8983,8983
1495521938,8976,8976
1495523504,8967,8967
1495524628,8964,8964
1495525354,8965,8965
1495526177,8969,8969
1495527027,8970,8970
1495528228,8970,8970
1495529788,8973,8973
1495530624,8971,8971
1495531556,8970,8970
1495532539,8965,8965
1495533701,8961,8961
1495534530,8961,8961
1495535430,8957,8957
1495536139,8955,8955
1495538058,8938,8938
1495538906,8940,8940
1495539930,8934,8934
1495541680,8935,8935
1495543353,8933,8933
1495544450,8929,8929
1495545332,8930,8930
1495546228,8930,8930
1495547062,8933,8933
1495548502,8933,8933
1495549828,8931,8931
1495550731,8933,8933
1495551383,8935,8935
1495552458,8931,8931
1495553515,8930,8930
1495554327,8928,8928
1495555246,8928,8928
1495556130,8932,8932
1495557023,8934,8934
1495557931,8940,8940
1495559095,8942,8942
1495560501,8945,8945
1495561526,8947,8947
1495563024,8943,8943
1495564227,8948,8948
1495565485,8949,8949
1495567015,8918,8918
1495567831,8910,8910
1495570225,8875,8875
1495571719,8861,8861
1495573823,8852,8852
1495575024,8825,8825
1495575927,8788,8788
1495577127,8785,8785
1495577932,8769,8769
1495579223,8742,8742
1495580123,8697,8697
1495581261,8700,8700
1495582227,8709,8709
1495583127,8718,8718
1495583783,8725,8725
1495584627,8724,8724
1495585539,8737,8737
1495588529,8740,8740
1495589381,8741,8741
1495590142,8745,8745
1495591147,8741,8741
1495592126,8748,8748
1495593022,8751,8751
1495593920,8758,8758
1495595116,8754,8754
1495596962,8719,8719
1495597816,8725,8725
1495598720,8721,8721
1495599258,8725,8725
1495600298,8732,8732
1495601416,8737,8737
1495602327,8737,8737
1495603228,8746,8746
1495604118,8735,8735
1495606224,8735,8735
1495608029,8728,8728
1495608928,8729,8729
1495609761,8728,8728
1495611023,8715,8715
1495611925,8724,8724
1495613129,8730,8730
1495614028,8733,8733
1495615226,8731,8731
1495616139,8731,8731
1495617025,8729,8729
1495617929,8730,8730
1495618944,8726,8726
1495620299,8723,8723
1495621232,8726,8726
1495621700,8730,8730
1495622525,8730,8730
1495623376,8737,8737
1495624372,8740,8740
1495625425,8742,8742
1495626336,8752,8752
1495627481,8750,8750
1495628358,8754,8754
1495629290,8753,8753
