DateTime,Entries,UniqueIPs
1495927806,36843,36843
1495928527,36816,36816
1495929905,36804,36804
1495930806,36913,36913
1495932126,36685,36685
1495932965,36774,36774
1495933805,36686,36686
1495934705,36808,36808
1495935517,36651,36651
1495936505,36761,36761
1495937516,36591,36591
1495938605,36481,36481
1495939505,36530,36530
1495940164,36610,36610
1495941005,36569,36569
1495942421,36500,36500
1495943405,36619,36619
1495944605,36538,36538
1495945504,36647,36647
1495946529,36571,36571
1495947365,36660,36660
1495948445,36583,36583
1495949405,36517,36517
1495950305,36632,36632
1495952045,36605,36605
1495953006,36529,36529
1495953905,36637,36637
1495956028,36600,36600
1495956907,36443,36443
1495959005,36444,36444
1495960197,36335,36335
1495961108,36357,36357
1495962215,36300,36300
1495963205,36435,36435
1495963685,36494,36494
1495964526,36294,36294
1495966445,36184,36184
1495967407,35922,35922
1495968308,36592,36592
1495969507,36393,36393
1495970411,36504,36504
1495972505,36426,36426
1495973645,36302,36302
1495974588,36201,36201
1495975528,36237,36237
1495976709,36272,36272
1495977606,36378,36378
1495978406,36280,36280
1495978925,36353,36353
1495980034,36274,36274
1495980886,36385,36385
1495981812,36268,36268
1495982705,36393,36393
1495984231,36371,36371
1495985405,36269,36269
1495986257,36376,36376
1495987108,36204,36204
1495987990,36309,36309
1495989306,36276,36276
1495990332,36414,36414
1495991203,36241,36241
1495992606,36182,36182
1495993473,36265,36265
1495994709,36264,36264
1495996506,36274,36274
1495998605,36273,36273
1496000105,36193,36193
1496000920,36214,36214
1496001969,36173,36173
1496002805,36259,36259
1496003705,36193,36193
1496004127,36230,36230
1496006045,36253,36253
1496007005,36162,36162
1496007905,36163,36163
1496008845,36120,36120
1496009645,36207,36207
1496010591,36113,36113
1496011444,36237,36237
1496012706,36177,36177
1496013605,36272,36272
1496016177,36052,36052
1496017205,36148,36148
1496018315,36035,36035
1496019470,36165,36165
1496020506,36035,36035
1496021285,36161,36161
1496022304,35987,35987
1496023254,35930,35930
1496024364,36089,36089
1496025398,36000,36000
1496027105,35966,35966
1496027645,36039,36039
1496028736,36008,36008
1496030705,36037,36037
1496031605,36169,36169
1496032505,36041,36041
1496033376,36103,36103
1496034305,36039,36039
1496034845,36114,36114
1496035809,35993,35993
1496036705,36117,36117
1496037652,35965,35965
1496038506,36067,36067
1496039406,35950,35950
1496040306,35991,35991
1496041455,35968,35968
1496042405,36103,36103
1496044505,36053,36053
1496046606,35998,35998
1496047505,36123,36123
1496049245,36058,36058
1496050206,35935,35935
1496050926,36019,36019
1496052209,35924,35924
1496053206,36056,36056
1496054526,35910,35910
1496055474,36037,36037
1496056445,36013,36013
1496057406,35872,35872
1496058305,35887,35887
1496059505,35909,35909
1496060405,36025,36025
1496061307,35887,35887
1496062505,36040,36040
1496063404,35915,35915
1496065325,35959,35959
1496067245,35902,35902
1496068085,36008,36008
1496068974,35834,35834
1496070340,35696,35696
1496071919,35591,35591
1496073005,35728,35728
1496073905,35542,35542
1496074805,35647,35647
1496076126,35532,35532
1496077505,35456,35456
1496078405,35576,35576
1496078885,35634,35634
1496079725,35465,35465
1496080566,35552,35552
1496081405,35394,35394
1496082606,35330,35330
1496083513,35428,35428
1496084692,35371,35371
1496085505,35458,35458
1496087705,35482,35482
1496088605,35331,35331
1496089805,35241,35241
1496090705,35359,35359
1496091511,35227,35227
1496092505,35312,35312
1496093411,35337,35337
1496094125,35354,35354
1496094964,35478,35478
1496095805,35414,35414
1496097006,35384,35384
1496097885,35493,35493
1496099645,35470,35470
1496100457,35567,35567
1496101505,35481,35481
1496102559,35409,35409
1496103444,35494,35494
1496104811,35432,35432
1496106277,35371,35371
1496107205,35462,35462
1496108406,35383,35383
1496109905,35328,35328
1496110805,35442,35442
1496112905,35506,35506
1496113805,35357,35357
1496114933,35479,35479
1496115725,35361,35361
1496116565,35449,35449
1496117406,35310,35310
1496118605,35226,35226
1496119506,35305,35305
1496120704,35218,35218
1496121605,35313,35313
1496123705,35315,35315
1496124606,35228,35228
1496126182,35223,35223
1496127312,35375,35375
1496128446,35307,35307
1496129406,35214,35214
1496130305,35345,35345
1496131140,35235,35235
1496132106,35364,35364
1496133018,35255,35255
1496133906,35260,35260
1496134837,35182,35182
1496135706,35291,35291
1496136502,35399,35399
1496137442,35270,35270
1496138268,35395,35395
1496139312,34750,34750
1496140234,34650,34650
1496141136,34745,34745
1496142181,34619,34619
1496143033,34712,34712
1496143855,34645,34645
1496144733,34766,34766
1496145769,34672,34672
1496146805,34866,34866
1496147785,34768,34768
1496148606,34851,34851
1496149505,34701,34701
1496150401,34797,34797
1496150885,34843,34843
1496151906,34760,34760
1496153106,34792,34792
1496154006,34903,34903
1496154908,34799,34799
1496157030,34877,34877
1496158085,35016,35016
1496158928,34921,34921
1496159858,35017,35017
1496160876,34936,34936
1496161685,35026,35026
1496164760,34922,34922
1496165722,34963,34963
1496168108,35016,35016
1496169629,35128,35128
1496173167,35013,35013
1496174072,35242,35242
1496175005,35115,35115
1496175884,35220,35220
1496176829,35126,35126
1496178305,35083,35083
1496179165,35193,35193
1496180052,35113,35113
1496181634,35021,35021
1496182446,35120,35120
1496183293,35223,35223
1496184143,35127,35127
1496185518,35049,35049
1496186420,35151,35151
1496187887,35123,35123
1496188992,35065,35065
1496190020,35179,35179
1496192605,34972,34972
1496195183,35106,35106
1496196305,35082,35082
1496196859,35143,35143
1496198304,35073,35073
1496199319,35195,35195
1496200204,35030,35030
1496201298,35169,35169
1496202322,35067,35067
1496203619,34945,34945
1496204885,35103,35103
1496205905,35029,35029
1496207110,34942,34942
1496208005,35101,35101
1496208485,35169,35169
1496209329,35067,35067
1496210715,34993,34993
1496213655,35016,35016
1496218206,34850,34850
1496219087,35001,35001
1496220012,34900,34900
1496220923,35027,35027
1496221806,34888,34888
1496222726,34985,34985
1496223758,34890,34890
1496224606,35030,35030
1496225646,34944,34944
1496228165,34915,34915
1496229005,34849,34849
1496229865,34972,34972
1496230683,34837,34837
