DateTime,Entries,UniqueIPs
1495623374,15000,15000
1495624370,14898,14898
1495625420,14821,14821
1495626334,14927,14927
1495627479,14796,14796
1495628352,14874,14874
1495629287,14697,14697
1495630215,14786,14786
1495631419,14632,14632
1495633343,14652,14652
1495634255,14717,14717
1495635333,14613,14613
1495636222,14487,14487
1495636944,14533,14533
1495638319,14491,14491
1495639224,14567,14567
1495640418,14619,14619
1495642240,14787,14787
1495643539,14840,14840
1495646417,14969,14969
1495647737,14951,14951
1495649121,14960,14960
1495650026,15025,15025
1495650963,14970,14970
1495651825,15024,15024
1495652721,14993,14993
1495653588,15039,15039
1495654522,15078,15078
1495655442,15144,15144
1495656323,15188,15188
1495657228,15245,15245
1495657703,15259,15259
1495658537,15290,15290
1495659645,15328,15328
1495660459,15371,15371
1495661417,15338,15338
1495662138,15374,15374
1495663517,15373,15373
1495664426,15444,15444
1495665744,15515,15515
1495667654,15618,15618
1495668624,15673,15673
1495669522,15728,15728
1495670179,15767,15767
1495671254,15823,15823
1495672219,15873,15873
1495672945,15919,15919
1495674318,15988,15988
1495675151,16035,16035
1495676419,16045,16045
1495677473,16093,16093
1495678523,16126,16126
1495679421,16148,16148
1495680316,16185,16185
1495681661,16206,16206
1495683317,16212,16212
1495684840,16248,16248
1495685723,16293,16293
1495686623,16285,16285
1495687523,16341,16341
1495688719,16339,16339
1495689622,16387,16387
1495690095,16408,16408
1495690938,16447,16447
1495692171,16510,16510
1495693223,16580,16580
1495694423,16660,16660
1495695319,16703,16703
1495696222,16756,16756
1495697423,16837,16837
1495698322,16874,16874
1495699522,16918,16918
1495700430,16946,16946
1495701256,16983,16983
1495703376,17125,17125
1495704496,17189,17189
1495705521,17199,17199
1495706723,17258,17258
1495707265,17296,17296
1495708224,17327,17327
1495709125,17371,17371
1495709782,17408,17408
1495710624,17412,17412
1495711718,17499,17499
1495712716,17602,17602
1495713919,17759,17759
1495714458,17851,17851
1495715421,17841,17841
1495716490,17940,17940
1495717398,17921,17921
1495719092,17953,17953
1495719925,18036,18036
1495722635,18056,18056
1495723339,18187,18187
1495724445,18200,18200
1495725321,18280,18280
1495726224,18363,18363
1495727119,18428,18428
1495728617,18547,18547
1495729477,18625,18625
1495730538,18615,18615
1495732037,18689,18689
1495733421,18782,18782
1495734735,18875,18875
1495736010,18923,18923
1495737023,18877,18877
1495738520,18913,18913
1495740622,18906,18906
1495741338,18930,18930
1495743263,18987,18987
1495744093,19005,19005
1495744970,19008,19008
1495745785,19068,19068
1495746864,19085,19085
1495747833,19111,19111
1495748719,19170,19170
1495749379,19214,19214
1495750174,19199,19199
1495751141,19235,19235
1495752018,19269,19269
1495753515,19315,19315
1495754420,19353,19353
1495755737,19352,19352
1495757118,19356,19356
1495758028,19423,19423
1495759347,19511,19511
1495761026,19573,19573
1495762223,19587,19587
1495762936,19623,19623
1495764320,19643,19643
1495764855,19680,19680
1495765824,19668,19668
1495766721,19716,19716
