DateTime,Entries,UniqueIPs
1495908339,15933,15933
1495909508,16027,16027
1495910539,15919,15919
1495911916,15867,15867
1495912813,15923,15923
1495913711,15848,15848
1495914133,15845,15845
1495915513,15861,15861
1495916414,15938,15938
1495917621,15861,15861
1495919412,15876,15876
1495920491,15947,15947
1495921514,15854,15854
1495923613,15907,15907
1495924494,15833,15833
1495924935,15801,15801
1495925773,15875,15875
1495926614,15851,15851
1495927814,15824,15824
1495928534,15819,15819
1495929916,15829,15829
1495930816,15891,15891
1495932135,15760,15760
1495932972,15809,15809
1495933814,15755,15755
1495934711,15824,15824
1495935523,15741,15741
1495936512,15799,15799
1495937522,15735,15735
1495938613,15687,15687
1495939513,15705,15705
1495940171,15748,15748
1495941013,15733,15733
1495942433,15684,15684
1495943416,15750,15750
1495944614,15707,15707
1495945511,15770,15770
1495946538,15718,15718
1495947372,15768,15768
1495948451,15722,15722
1495949414,15685,15685
1495950319,15761,15761
1495951491,15706,15706
1495952052,15748,15748
1495953014,15700,15700
1495953917,15774,15774
1495956035,15786,15786
1495956914,15697,15697
1495959012,15716,15716
1495960212,15679,15679
1495961123,15691,15691
1495962226,15648,15648
1495963218,15719,15719
1495963692,15754,15754
1495964539,15580,15580
1495966453,15556,15556
1495967419,15487,15487
1495968324,16100,16100
1495969517,16044,16044
1495970422,16098,16098
1495972517,16116,16116
1495973652,16069,16069
1495974595,16037,16037
1495975542,16050,16050
1495976723,16074,16074
1495977613,16125,16125
1495978414,16081,16081
1495978937,16113,16113
1495980042,16074,16074
1495980894,16126,16126
1495981821,16055,16055
1495982713,16119,16119
1495984239,16106,16106
1495985417,16084,16084
1495986266,16145,16145
1495987116,16094,16094
1495988004,16156,16156
1495989313,16148,16148
1495990345,16233,16233
1495991210,16190,16190
1495992613,16169,16169
1495993480,16220,16220
1495994722,16181,16181
1495996514,16198,16198
1495998613,16224,16224
1496000118,16207,16207
1496000927,16237,16237
1496001979,16220,16220
1496002815,16278,16278
1496003716,16233,16233
1496004139,16258,16258
1496006051,16269,16269
1496007012,16205,16205
1496007914,16233,16233
1496008855,16208,16208
1496009653,16258,16258
1496010598,16220,16220
1496011455,16294,16294
1496012715,16262,16262
1496013611,16323,16323
1496016183,16177,16177
1496017212,16236,16236
1496018322,16172,16172
1496019477,16258,16258
1496020516,16163,16163
1496021294,16202,16202
1496022311,16052,16052
1496023267,15970,15970
1496024371,16098,16098
1496025405,16005,16005
1496027114,15917,15917
1496027652,15947,15947
1496028746,15897,15897
1496030713,15869,15869
1496031617,15920,15920
1496032521,15834,15834
1496033383,15831,15831
1496034313,15776,15776
1496034852,15811,15811
1496035819,15729,15729
1496036720,15790,15790
1496037660,15700,15700
1496038516,15745,15745
1496039418,15652,15652
1496040318,15659,15659
1496041468,15649,15649
1496042414,15718,15718
1496044512,15644,15644
1496046613,15589,15589
1496047520,15650,15650
1496048676,15557,15557
1496049253,15590,15590
1496050221,15513,15513
1496050933,15556,15556
1496052227,15517,15517
1496053216,15579,15579
1496054543,15500,15500
1496055482,15569,15569
1496056455,15554,15554
1496057413,15482,15482
1496058315,15479,15479
1496059518,15482,15482
1496060412,15536,15536
1496061314,15474,15474
1496062513,15551,15551
1496063414,15467,15467
1496065331,15495,15495
1496067253,15471,15471
1496068094,15524,15524
1496068981,15449,15449
1496070353,15384,15384
1496071926,15359,15359
1496073014,15441,15441
1496073912,15370,15370
1496074815,15430,15430
1496076134,15390,15390
1496077514,15396,15396
1496078414,15475,15475
1496078892,15513,15513
1496079735,15454,15454
1496080575,15514,15514
1496081415,15428,15428
1496082614,15411,15411
1496083525,15453,15453
1496084699,15437,15437
1496085513,15492,15492
1496087715,15518,15518
1496088618,15430,15430
1496089815,15398,15398
1496090716,15464,15464
1496091523,15398,15398
1496092517,15445,15445
1496093419,15389,15389
1496094132,15399,15399
1496094973,15463,15463
1496095813,15421,15421
1496097013,15404,15404
1496097892,15471,15471
1496099655,15457,15457
1496100463,15518,15518
1496101513,15481,15481
1496102567,15455,15455
1496103451,15500,15500
1496104820,15471,15471
1496106284,15447,15447
1496107217,15506,15506
1496108418,15458,15458
1496109914,15435,15435
1496110813,15486,15486
1496112914,15530,15530
