DateTime,Entries,UniqueIPs
1493548252,144,144
1493549287,147,147
1493556224,148,148
1493559777,147,147
1493560849,146,146
1493563398,147,147
1493564211,148,148
1493573848,149,149
1493577330,149,149
1493579461,148,148
1493584250,149,149
1493590278,147,147
1493594073,147,147
1493596770,146,146
1493598634,145,145
1493609841,143,143
1493612141,141,141
1493617234,139,139
1493621143,142,142
1493623149,141,141
1493634640,140,140
1493642739,141,141
1493647147,140,140
1493649187,139,139
1493652033,140,140
1493665844,140,140
1493667042,139,139
1493672714,140,140
1493678559,139,139
1493685641,140,140
1493690507,141,141
1493696552,142,142
1493698468,143,143
1493705672,142,142
1493708748,141,141
1493712345,142,142
1493716627,143,143
1493723445,144,144
1493725337,143,143
1493730641,142,142
1493731530,143,143
1493732441,142,142
1493738145,143,143
1493738910,144,144
1493739840,142,142
1493745889,143,143
1493746843,143,143
1493753666,142,142
1493754166,141,141
1493756452,141,141
1493762542,140,140
1493772046,141,141
1493779233,142,142
1493790169,144,144
1493798151,145,145
1493805591,144,144
1493811030,142,142
1493811931,141,141
1493822067,142,142
1493832021,143,143
1493834743,142,142
1493835640,143,143
1493840561,144,144
1493852747,143,143
1493855850,148,148
1493856934,149,149
1493857836,153,153
1493859814,154,154
1493865938,153,153
1493876121,152,152
1493878190,153,153
1493880182,153,153
1493881541,151,151
1493883288,148,148
1493891650,147,147
1493897430,146,146
1493901358,145,145
1493903726,154,154
1493911832,153,153
1493927752,154,154
1493931962,153,153
1493955034,153,153
1493957146,152,152
1493959083,150,150
1493962104,151,151
1493962970,155,155
1493964336,156,156
1493968464,154,154
1493975735,155,155
1493980528,154,154
1493991028,153,153
1493993079,152,152
1493999838,153,153
1494005819,152,152
1494027261,151,151
1494028521,152,152
1494031379,153,153
1494033650,154,154
1494041429,153,153
1494045655,152,152
1494047468,151,151
1494050784,153,153
1494056276,152,152
1494061836,153,153
1494072491,149,149
1494084640,150,150
1494087344,151,151
1494092265,150,150
1494098197,151,151
1494099778,146,146
1494102052,147,147
1494104091,148,148
1494111595,147,147
1494119738,148,148
1494120676,147,147
1494126926,146,146
1494132027,146,146
1494136581,144,144
1494137733,145,145
1494157229,146,146
1494163898,146,146
1494166859,147,147
1494186926,148,148
1494194134,149,149
1494194961,148,148
1494198942,146,146
1494202222,144,144
1494212061,143,143
1494223830,142,142
1494224701,143,143
1494229571,145,145
1494230851,145,145
1494246633,146,146
1494248726,146,146
1494250531,147,147
1494252382,148,148
1494254544,149,149
1494259824,150,150
1494263132,151,151
1494265534,150,150
1494271828,149,149
1494282931,149,149
1494287737,150,150
1494288876,149,149
1494301777,150,150
1494309540,149,149
1494318908,150,150
1494329723,149,149
1494331155,148,148
1494336634,148,148
1494340228,150,150
1494344122,151,151
1494350231,152,152
1494364463,151,151
1494367913,150,150
1494393026,149,149
1494396055,148,148
1494416556,149,149
1494417748,151,151
1494420339,151,151
1494426038,152,152
1494430230,151,151
1494432336,150,150
1494436533,151,151
1494439824,152,152
1494445107,151,151
1494454535,152,152
1494455432,151,151
1494459029,150,150
1494463128,149,149
1494472461,148,148
1494480322,149,149
1494481234,151,151
1494491435,150,150
1494498926,149,149
1494500465,148,148
1494502950,147,147
1494507575,146,146
1494511146,145,145
1494514653,147,147
1494518534,147,147
1494521861,148,148
1494528156,146,146
1494531029,145,145
1494531761,146,146
1494533139,143,143
1494535242,142,142
1494540280,141,141
1494553130,140,140
1494555029,139,139
1494558843,138,138
1494560558,137,137
1494563729,136,136
1494565263,135,135
1494567033,126,126
1494567762,125,125
