DateTime,Entries,UniqueIPs
1495869005,11296,11296
1495869604,11273,11273
1495870203,11257,11257
1495870806,11224,11224
1495871403,11208,11208
1495872004,11189,11189
1495872604,11211,11211
1495873204,11188,11188
1495873507,11128,11128
1495874106,11090,11090
1495874704,11078,11078
1495875305,11054,11054
1495875903,11043,11043
1495876504,11037,11037
1495877104,11034,11034
1495877705,11012,11012
1495878305,11001,11001
1495878903,10985,10985
1495879506,10956,10956
1495880104,10964,10964
1495880704,10985,10985
1495881304,10998,10998
1495881905,10968,10968
1495882504,10965,10965
1495882806,10931,10931
1495883404,10910,10910
1495884005,10865,10865
1495884604,10873,10873
1495885203,10865,10865
1495885804,10861,10861
1495886403,10855,10855
1495887004,10858,10858
1495887603,10866,10866
1495888203,10865,10865
1495888505,10873,10873
1495889105,10862,10862
1495889703,10886,10886
1495890005,10863,10863
1495890606,10820,10820
1495891204,10797,10797
1495891802,10807,10807
1495892107,10773,10773
1495892703,10757,10757
1495893005,10750,10750
1495893603,10749,10749
1495894205,10721,10721
1495894802,10723,10723
1495895105,10692,10692
1495895706,10649,10649
1495896304,10684,10684
1495896903,10653,10653
1495897507,10600,10600
1495898104,10554,10554
1495898703,10549,10549
1495899005,10616,10616
1495899611,10537,10537
1495900207,10506,10506
1495900803,10568,10568
1495901105,10563,10563
1495901703,10568,10568
1495902304,10562,10562
1495902903,10558,10558
1495903503,10586,10586
1495904105,10600,10600
1495904705,10572,10572
1495905304,10572,10572
1495905902,10564,10564
1495906807,10513,10513
1495907405,10479,10479
1495908005,10451,10451
1495908603,10464,10464
1495909203,10465,10465
1495909804,10465,10465
1495910402,10477,10477
1495911003,10518,10518
1495911605,10584,10584
1495912203,10606,10606
1495912506,10557,10557
1495913405,10580,10580
1495914003,10585,10585
1495914603,10583,10583
1495915204,10587,10587
1495915803,10565,10565
1495916402,10554,10554
1495917003,10563,10563
1495917605,10549,10549
1495918206,10494,10494
1495918806,10490,10490
1495919402,10501,10501
1495919704,10490,10490
1495920303,10484,10484
1495920903,10488,10488
1495921503,10507,10507
1495922105,10515,10515
1495922704,10506,10506
1495923303,10505,10505
1495923904,10501,10501
1495924206,10499,10499
1495924814,10460,10460
1495925404,10452,10452
1495926007,10424,10424
1495926603,10428,10428
1495927203,10420,10420
1495927506,10389,10389
1495928104,10372,10372
1495928703,10366,10366
1495929305,10341,10341
1495929904,10314,10314
1495930505,10259,10259
1495931103,10258,10258
1495931703,10259,10259
1495932304,10283,10283
1495932903,10275,10275
1495933505,10251,10251
1495934105,10232,10232
1495934706,10214,10214
1495935303,10207,10207
1495935904,10205,10205
1495936501,10248,10248
1495936803,10243,10243
1495937404,10239,10239
1495938003,10236,10236
1495938603,10236,10236
1495939203,10229,10229
1495939505,10217,10217
1495940103,10253,10253
1495940705,10243,10243
1495941303,10251,10251
1495941606,10235,10235
1495942204,10342,10342
1495942804,10341,10341
1495943106,10322,10322
1495943704,10307,10307
1495944303,10298,10298
1495944604,10272,10272
1495945204,10281,10281
1495945804,10278,10278
1495946404,10278,10278
1495947004,10277,10277
1495947605,10253,10253
1495948203,10277,10277
1495948804,10272,10272
1495949705,10264,10264
1495950304,10256,10256
1495950904,10286,10286
1495951505,10261,10261
1495952105,10207,10207
1495952702,10204,10204
1495953004,10201,10201
1495953603,10184,10184
1495953905,10169,10169
1495954503,10155,10155
1495955104,10185,10185
1495955705,10157,10157
1495956304,10160,10160
1495956903,10160,10160
1495957504,10152,10152
1495958102,10141,10141
1495958404,10137,10137
1495959005,10102,10102
1495959603,10099,10099
1495960204,10123,10123
1495960804,10142,10142
1495961106,10129,10129
1495961703,10122,10122
1495962005,10137,10137
1495962604,10216,10216
1495963204,10196,10196
1495963804,10186,10186
1495964403,10178,10178
