DateTime,Entries,UniqueIPs
1493456885,7024,7024
1493462645,7011,7011
1493469124,7020,7020
1493475124,7033,7033
1493477045,7050,7050
1493485226,7034,7034
1493492885,7023,7023
1493498644,7012,7012
1493506323,6998,6998
1493510165,7005,7005
1493515924,6985,6985
1493519764,6996,6996
1493521684,6972,6972
1493525523,6969,6969
1493533204,6978,6978
1493538964,6996,6996
1493546885,7013,7013
1493552644,7009,7009
1493556964,7009,7009
1493562724,7025,7025
1493572803,7019,7019
1493578814,6999,6999
1493584563,6991,6991
1493588405,6981,6981
1493594163,6952,6952
1493598245,6969,6969
1493602085,6958,6958
1493609764,6969,6969
1493613605,6967,6967
1493621284,6999,6999
1493627043,7001,7001
1493630884,7006,7006
1493636644,7016,7016
1493644324,7044,7044
1493650084,7072,7072
1493655844,7073,7073
1493665684,7070,7070
1493671445,7055,7055
1493679364,7032,7032
1493687284,7027,7027
1493693044,7035,7035
1493698803,7063,7063
1493704564,7088,7088
1493712485,7110,7110
1493720165,7116,7116
1493724005,7123,7123
1493730013,7117,7117
1493735763,7152,7152
1493739844,7131,7131
1493743923,7137,7137
1493747764,7136,7136
1493753524,7135,7135
1493761204,7141,7141
1493765043,7124,7124
1493769132,7105,7105
1493777044,7088,7088
1493784725,7027,7027
1493792643,7082,7082
1493798426,7064,7064
1493806323,7060,7060
1493812085,7069,7069
1493815924,7089,7089
1493825523,7100,7100
1493827683,7105,7105
1493835365,7118,7118
1493839204,7126,7126
1493843044,7120,7120
1493846884,7129,7129
1493853124,7091,7091
1493860804,7083,7083
1493864887,7083,7083
1493870644,7069,7069
1493876646,7066,7066
1493880484,7088,7088
1493882405,7090,7090
1493888165,7105,7105
1493895843,7131,7131
1493903764,7135,7135
1493907604,7137,7137
1493913615,7182,7182
1493921284,7170,7170
1493928964,7157,7157
1493932803,7146,7146
1493938564,7092,7092
1493946243,7109,7109
1493953924,7099,7099
1493959924,7103,7103
1493965685,7106,7106
1493969524,7100,7100
1493975284,7107,7107
1493981043,7116,7116
1493985123,7110,7110
1493990885,7107,7107
1493996886,7095,7095
1494004805,7103,7103
1494010565,7136,7136
1494018485,7112,7112
1494022572,7093,7093
1494026414,7080,7080
1494032170,7075,7075
1494037924,7083,7083
1494041764,7076,7076
1494043685,7070,7070
1494049444,7067,7067
1494053284,7095,7095
1494060965,7097,7097
1494064824,7110,7110
1494068643,7119,7119
1494076564,7127,7127
1494082324,7114,7114
1494088084,7125,7125
1494091924,7133,7133
1494099844,7117,7117
1494101765,7121,7121
1494105604,7116,7116
1494111614,7078,7078
1494119284,7066,7066
1494126963,7058,7058
1494132724,7052,7052
1494134644,7049,7049
1494140644,7072,7072
1494144484,7082,7082
1494152164,7091,7091
1494157923,7099,7099
1494165619,7110,7110
1494173524,7130,7130
1494177363,7137,7137
1494181204,7134,7134
1494186965,7149,7149
1494194885,7126,7126
1494200883,7096,7096
1494202805,7092,7092
1494208565,7062,7062
1494214324,7041,7041
1494222483,7038,7038
1494228244,7066,7066
1494232084,7082,7082
1494241924,7103,7103
1494249605,7107,7107
1494255365,7098,7098
1494261365,7096,7096
1494267124,7114,7114
1494272885,7124,7124
1494280566,7087,7087
1494284414,7031,7031
1494290165,7038,7038
1494292084,7017,7017
1494297844,7001,7001
1494305523,7001,7001
1494307446,6990,6990
1494313219,7023,7023
1494318965,7025,7025
1494322804,7033,7033
1494328564,7033,7033
1494334325,7037,7037
1494338654,7044,7044
1494344405,7057,7057
1494348483,7060,7060
1494354243,7081,7081
1494360028,7072,7072
1494365763,7081,7081
1494367683,7064,7064
1494373444,7010,7010
1494383046,7007,7007
1494388816,7002,7002
1494392883,7000,7000
1494400804,7031,7031
1494406563,7039,7039
