DateTime,Entries,UniqueIPs
1494960022,1269,1291
1494961966,1283,1305
1494963870,1295,1317
1494965791,1302,1323
1494967719,1298,1320
1494969614,1279,1301
1494971548,1262,1284
1494973458,1256,1279
1494975379,1238,1260
1494977303,1229,1250
1494979302,1225,1245
1494981150,1219,1239
1494983075,1212,1230
1494984990,1203,1219
1494986922,1198,1212
1494988842,1208,1222
1494992668,1182,1194
1494994611,1170,1183
1494998435,1129,1142
1495000384,1132,1144
1495002277,1126,1139
1495004191,1112,1125
1495006123,1150,1163
1495008138,1143,1155
1495009974,1122,1136
1495011875,1128,1142
1495013799,1116,1131
1495015692,1119,1133
1495017612,1119,1133
1495019545,1118,1132
1495021484,1116,1131
1495023376,1108,1123
1495025575,1100,1116
1495027729,1111,1124
1495031561,1103,1115
1495033483,1102,1116
1495035401,1099,1113
1495037318,1088,1102
1495039216,1091,1106
1495041163,1092,1107
1495043231,1092,1108
1495045252,1099,1116
1495049075,1087,1104
1495050989,1086,1103
1495052930,1077,1094
1495054913,1057,1074
1495057010,1046,1063
1495059206,1059,1077
1495061052,1054,1071
1495062984,1071,1089
1495066851,1063,1081
1495070677,1071,1090
1495072596,1075,1094
1495074771,1082,1101
1495076682,1083,1102
1495079098,1084,1103
1495080991,1117,1137
1495082909,1124,1142
1495084835,1153,1171
1495086767,1150,1167
1495088657,1149,1166
1495090588,1151,1170
1495092538,1108,1126
1495094534,1138,1158
1495096371,1142,1162
1495098278,1113,1132
1495102122,1079,1097
1495104041,1067,1085
1495105967,1079,1097
1495107872,1098,1117
1495109803,1076,1094
1495111717,1093,1111
1495115555,1061,1079
1495121321,1028,1044
1495123334,1031,1047
1495125166,1027,1043
1495127084,1019,1035
1495129001,1019,1035
1495131170,1022,1038
1495134987,1021,1036
1495136909,1015,1030
1495138837,1021,1038
1495140755,1039,1057
1495144947,1056,1074
1495146756,1054,1074
1495148698,1063,1083
1495150603,1064,1084
1495152505,1081,1102
1495154443,1090,1111
1495156357,1110,1131
1495158272,1110,1132
1495162126,1092,1113
1495164057,1089,1110
1495165993,1081,1103
1495167858,1066,1089
1495169782,1061,1083
1495171727,1051,1072
1495173889,1050,1070
1495175783,1047,1067
1495177697,1033,1055
1495179618,1020,1041
1495181549,1010,1031
1495183446,1002,1023
1495185378,997,1017
1495187305,1017,1038
1495189233,1015,1034
1495191159,1020,1039
1495193322,997,1017
1495195320,998,1019
1495197143,992,1013
1495199074,998,1021
1495200987,1025,1048
1495202922,1030,1053
1495204832,1053,1076
1495208667,1048,1070
1495210578,1057,1078
1495212500,1056,1076
1495214442,1054,1073
1495216360,1052,1072
1495218254,1041,1061
1495220195,1050,1070
1495222109,1049,1069
1495224100,1050,1070
1495225968,1056,1075
1495227874,1040,1059
1495229788,1058,1077
1495231727,1032,1051
1495233631,1036,1054
1495235542,1021,1037
1495237464,1015,1031
1495239395,1023,1039
1495241323,1015,1031
1495243234,1005,1021
1495245163,989,1004
1495249351,988,1002
1495253072,960,972
1495254993,958,970
1495256902,964,978
1495258818,966,981
1495260766,970,985
1495262659,971,986
1495264576,979,992
1495266773,979,991
1495268675,979,991
1495270592,990,1002
1495272517,993,1005
1495274527,992,1005
1495276346,1006,1019
1495278530,1028,1041
1495280430,1030,1043
1495282347,1022,1035
1495284252,1025,1040
1495288384,995,1009
1495290270,988,1003
1495294117,995,1010
1495296104,994,1009
1495297968,986,1001
1495299891,990,1005
1495303700,981,997
1495305639,984,1000
1495307585,990,1006
1495309467,1012,1029
1495311385,1030,1047
1495313319,1036,1054
1495315237,1041,1059
1495317158,1049,1069
1495319062,1057,1078
1495320975,1051,1072
1495322895,1071,1093
1495324933,1078,1100
1495326771,1088,1111
1495328680,1097,1119
1495330594,1112,1134
1495334443,1113,1135
1495336359,1107,1129
1495338268,1131,1153
1495340225,1138,1159
1495342118,1133,1154
1495344036,1115,1134
1495345965,1105,1124
1495349803,1079,1099
1495351719,1069,1091
1495353724,1081,1104
1495355560,1077,1100
1495357481,1064,1087
1495359389,1056,1079
1495361301,1061,1084
1495363212,1072,1095
1495365141,1056,1077
1495367048,1058,1079
1495368997,1069,1090
1495370917,1067,1088
1495372843,1089,1110
1495374774,1114,1136
1495376677,1083,1105
1495378604,1107,1129
1495380523,1093,1115
1495382544,1095,1117
1495384358,1103,1125
1495388190,1083,1105
1495390096,1093,1115
1495392045,1085,1106
1495394042,1073,1094
1495396133,1041,1062
1495398016,1029,1050
1495399934,1016,1036
1495404809,1006,1024
1495407429,991,1008
1495409597,989,1005
