DateTime,AddedIPs,RemovedIPs
1495123334,40,50
1495125166,20,42
1495127084,16,18
1495129001,17,19
1495131170,22,19
1495134987,15,23
1495136909,14,14
1495138837,23,15
1495140755,65,22
1495144947,62,59
1495146756,54,62
1495148698,41,50
1495150603,51,43
1495152505,40,47
1495154443,56,44
1495156357,47,53
1495158272,54,46
1495162126,51,60
1495164057,60,53
1495165993,45,59
1495167858,47,43
1495169782,37,49
1495171727,52,39
1495173889,48,45
1495175783,44,54
1495177697,45,43
1495179618,41,47
1495181549,50,37
1495183446,40,55
1495185378,43,39
1495187305,42,36
1495189233,44,49
1495191159,34,39
1495193322,41,30
1495195320,41,46
1495197143,36,44
1495199074,41,28
1495200987,47,48
1495202922,41,44
1495204832,49,46
1495208667,41,47
1495210578,48,42
1495212500,21,52
1495214442,19,22
1495216360,19,17
1495218254,8,23
1495220195,21,8
1495222109,20,19
1495224100,19,19
1495225968,36,18
1495227874,40,31
1495229788,40,44
1495231727,25,40
1495233631,48,25
1495235542,22,44
1495237464,35,24
1495239395,47,35
1495241323,35,41
1495243234,32,36
1495245163,32,33
1495249351,48,35
1495253072,43,40
1495254993,35,48
1495256902,55,42
1495258818,51,54
1495260766,54,48
1495262659,46,48
1495264576,57,52
1495266773,39,57
1495268675,50,37
1495270592,56,54
1495272517,49,56
1495274527,47,43
1495276346,42,46
1495278530,54,39
1495280430,42,63
1495282347,44,38
1495284252,42,41
1495288384,51,45
1495290270,48,55
1495294117,56,50
1495296104,49,55
1495297968,34,50
1495299891,30,34
1495303700,25,30
1495305639,20,27
1495307585,53,18
1495309467,50,45
1495311385,41,55
1495313319,46,37
1495315237,46,50
1495317158,45,40
1495319062,43,47
1495320975,46,45
1495322895,53,39
1495324933,44,58
1495326771,57,48
1495328680,48,46
1495330594,44,64
1495334443,47,39
1495336359,37,43
1495338268,47,39
1495340225,52,52
1495342118,16,54
1495344036,17,16
1495345965,46,17
1495349803,50,41
1495351719,48,48
1495353724,52,49
1495355560,49,51
1495357481,39,46
1495359389,27,44
1495361301,47,22
1495363212,44,53
1495365141,46,39
1495367048,43,46
1495368997,44,44
1495370917,34,45
1495372843,51,37
1495374774,53,52
1495376677,44,49
1495378604,48,43
1495380523,43,50
1495382544,46,45
1495384358,20,45
1495388190,32,22
1495390096,20,34
1495392045,13,23
1495394042,17,14
1495396133,8,16
1495398016,19,9
1495399934,27,15
1495404809,54,23
1495407429,35,51
1495409597,50,34
1495411758,34,37
1495413637,51,49
1495415557,50,46
1495417472,46,50
1495419403,41,52
1495421324,42,40
1495423235,51,44
1495425164,47,50
1495427061,52,46
1495428998,46,50
1495430926,50,51
1495432960,37,49
1495434770,44,31
1495436681,49,47
1495438601,35,55
1495440527,29,33
1495442446,32,28
1495444371,46,32
1495446269,32,45
1495448221,40,34
1495450128,45,38
1495453974,44,51
1495455887,47,41
1495457795,49,47
1495459727,35,50
1495461745,41,38
1495463569,27,39
1495465724,38,27
1495467613,25,34
1495469816,31,27
1495471719,31,36
1495473648,27,31
1495475563,25,24
1495477460,14,27
1495479381,10,15
1495481295,10,10
1495483317,17,9
1495485161,46,14
1495487076,14,49
1495488996,34,14
1495491191,37,27
1495493078,45,35
1495494988,60,48
1495496902,36,56
1495498835,44,41
1495500771,37,45
1495502680,41,33
1495504599,28,41
1495506517,42,26
1495508536,49,42
1495512525,49,45
1495514441,53,52
1495516365,40,55
1495518273,35,42
1495520205,36,33
1495522128,45,37
1495524037,38,43
1495525977,23,39
1495527881,47,25
1495529793,51,46
1495531716,46,54
1495533744,38,45
1495535565,45,41
1495537484,54,43
1495539395,18,59
1495541300,43,17
1495543221,51,37
1495545166,27,48
1495547071,40,30
1495549008,46,40
1495550932,35,50
1495552850,45,34
1495556657,27,41
1495558583,24,36
1495560497,25,22
1495562533,24,27
1495564374,13,25
1495566287,19,13
1495568196,45,16
1495570130,21,41
1495572038,39,22
1495573962,47,41
1495578014,48,45
1495579963,29,44
1495581873,45,31
1495583801,41,46
1495585723,46,42
1495587732,30,45
1495589545,43,31
1495591476,32,43
1495593391,42,32
1495595323,26,43
1495597235,45,24
1495599158,51,44
1495601070,33,47
1495604902,55,39
1495606848,53,54
1495608774,50,47
1495610679,52,56
1495612594,41,50
1495614526,49,46
1495616544,49,48
1495618363,46,49
1495620283,56,44
1495622197,40,55
1495624123,49,42
1495627959,44,48
1495629873,39,42
1495631777,47,41
1495633700,48,45
1495635663,51,49
1495637593,28,52
1495639462,46,31
1495641378,23,44
1495643585,15,24
1495645499,10,14
1495647381,16,16
1495649570,19,15
1495651722,23,19
1495653656,21,22
1495655568,22,21
1495657479,19,22
1495659394,33,16
1495661317,44,27
1495663348,27,46
1495665168,44,32
1495667078,45,35
1495669031,34,49
1495670904,58,39
1495672842,40,58
1495674768,36,37
1495676671,47,34
1495678613,44,42
1495680535,58,50
1495682440,48,51
1495684396,43,54
1495686260,49,43
1495688178,49,47
1495690097,43,51
1495692137,44,38
1495693967,40,49
1495695882,51,42
1495697840,48,53
1495699756,29,46
1495703786,43,35
1495705711,39,38
1495707644,42,38
1495709536,43,40
1495711457,32,46
1495713404,33,30
1495715322,40,33
1495717353,43,40
1495719169,36,38
1495721084,41,40
1495723000,37,38
1495724934,47,43
1495726851,49,47
1495728765,40,50
1495730671,19,44
1495732623,36,17
1495734521,24,36
1495736420,21,27
1495738345,16,21
1495740260,20,15
1495742196,28,21
1495744116,46,20
1495746167,18,49
1495747969,18,16
1495750298,24,20
1495752251,46,22
1495754203,55,43
1495756117,41,53
1495758042,64,41
1495759954,45,66
1495761876,52,48
1495763796,42,54
1495765721,60,42
1495769558,40,60
1495771478,38,36
1495773402,49,37
1495775323,57,48
1495777238,41,59
1495779153,38,45
1495781065,31,37
1495782974,40,32
1495784897,36,37
1495786840,48,35
1495788751,51,47
1495790670,50,51
1495792596,35,53
1495794517,49,35
1495796503,51,50
1495798610,45,51
1495802438,55,46
1495804369,49,51
1495806246,50,49
1495810110,44,51
1495812042,57,43
1495813949,24,63
1495815846,50,21
1495817777,46,51
1495819718,44,45
1495821692,52,45
1495823538,51,44
1495825347,35,53
1495827158,25,37
1495829082,50,23
1495830990,37,52
1495832924,31,40
1495834834,42,30
1495836876,42,39
1495838906,53,42
1495840842,53,52
1495842758,48,55
1495844934,49,49
1495846935,55,47
1495848739,38,54
1495850673,41,34
1495852599,54,48
1495854518,42,46
1495856414,41,46
1495858352,44,43
1495860266,51,41
1495862174,47,55
1495864372,39,49
1495868175,48,41
1495870117,45,46
1495872145,47,46
1495874199,50,44
1495876130,40,47
1495878030,46,41
1495879957,52,50
1495881865,54,52
1495883793,43,49
1495885712,54,44
1495887633,45,52
1495889550,45,46
1495891457,52,46
1495895310,48,52
1495897312,38,49
1495899158,49,36
1495901076,38,50
1495903001,33,43
1495906848,40,33
1495908741,13,43
1495910691,17,14
1495912605,22,17
1495914522,25,22
1495916448,37,22
1495918367,41,32
1495920278,37,41
1495922204,34,40
1495924102,33,31
1495926158,46,33
1495927963,55,45
1495929883,43,52
1495931803,49,44
1495933729,39,51
1495935643,31,42
1495937571,42,33
1495939475,45,39
1495941387,51,49
1495943296,37,43
1495945242,38,39
1495947162,45,36
1495949075,54,52
1495950980,32,50
1495952921,37,33
1495954914,49,35
1495956742,42,51
1495960845,48,40
1495962761,47,52
1495964671,52,43
1495966855,37,50
1495970685,47,37
1495972600,41,49
1495974524,52,46
1495978367,53,54
1495982198,47,47
1495984100,45,45
1495986027,43,44
1495987944,34,50
1495989871,30,35
1495991800,33,31
1495993970,27,32
1495995872,14,26
1495997794,17,19
1495999718,20,14
1496001804,17,21
1496003773,41,17
1496005719,30,33
1496007635,31,33
1496009635,48,28
1496011450,41,45
1496013380,40,46
1496017244,41,36
1496019164,43,41
1496021061,39,46
1496022976,39,39
1496024901,44,35
1496026898,43,43
