DateTime,Entries,UniqueIPs
1494915379,70,70
1494917296,67,67
1494921407,69,69
1494923322,60,60
1494925327,59,59
1494927160,68,68
1494929095,55,55
1494930999,53,53
1494932903,54,54
1494934815,53,53
1494936748,51,51
1494938671,54,54
1494940604,43,43
1494942521,48,48
1494944441,53,53
1494946363,56,56
1494948532,44,44
1494950524,50,50
1494952375,30,30
1494954280,22,22
1494956203,26,26
1494958103,22,22
1494960022,18,18
1494961966,32,32
1494963870,30,30
1494965791,49,49
1494967719,46,46
1494969614,39,39
1494971548,27,27
1494973458,49,49
1494975379,17,17
1494977303,34,34
1494979302,32,32
1494981150,25,25
1494983075,33,33
1494984990,40,40
1494986922,53,53
1494988842,57,57
1494992668,55,55
1494994611,56,56
1494998435,61,61
1495000384,60,60
1495002277,63,63
1495004191,62,62
1495006123,68,68
1495008138,54,54
1495009974,45,45
1495011875,63,63
1495013799,54,54
1495015692,56,56
1495017612,50,50
1495019545,55,55
1495021484,56,56
1495023376,36,36
1495025575,42,42
1495027729,55,55
1495031561,52,52
1495033483,54,54
1495035401,37,37
1495037318,28,28
1495039216,26,26
1495041163,24,24
1495043231,14,14
1495045252,18,18
1495049075,21,21
1495050989,22,22
1495052930,44,44
1495054913,21,21
1495057010,24,24
1495059206,53,53
1495061052,32,32
1495062984,44,44
1495066851,44,44
1495070677,59,59
1495072596,49,49
1495074771,66,66
1495076682,68,68
1495079098,52,52
1495080991,62,62
1495082909,60,60
1495084835,59,59
1495086767,56,56
1495088657,61,61
1495090588,57,57
1495092538,58,58
1495094534,60,60
1495096371,51,51
1495098278,58,58
1495102122,41,41
1495104041,30,30
1495105967,68,68
1495107872,43,43
1495109803,55,55
1495111717,53,53
1495115555,41,41
1495121321,59,59
1495123334,49,49
1495125166,27,27
1495127084,25,25
1495129001,23,23
1495131170,26,26
1495134987,18,18
1495136909,18,18
1495138837,26,26
1495140755,69,69
1495144947,72,72
1495146756,64,64
1495148698,55,55
1495150603,63,63
1495152505,56,56
1495154443,68,68
1495156357,62,62
1495158272,70,70
1495162126,61,61
1495164057,68,68
1495165993,54,54
1495167858,58,58
1495169782,46,46
1495171727,59,59
1495173889,62,62
1495175783,52,52
1495177697,54,54
1495179618,48,48
1495181549,61,61
1495183446,46,46
1495185378,50,50
1495187305,56,56
1495189233,51,51
1495191159,46,46
1495193322,57,57
1495195320,52,52
1495197143,44,44
1495199074,57,57
1495200987,56,56
1495202922,53,53
1495204832,56,56
1495208667,50,50
1495210578,56,56
1495212500,25,25
1495214442,22,22
1495216360,24,24
1495218254,9,9
1495220195,22,22
1495222109,23,23
1495224100,23,23
1495225968,41,41
1495227874,50,50
1495229788,46,46
1495231727,31,31
1495233631,54,54
1495235542,32,32
1495237464,43,43
1495239395,55,55
1495241323,49,49
1495243234,45,45
1495245163,44,44
1495249351,57,57
1495253072,60,60
1495254993,47,47
1495256902,60,60
1495258818,57,57
1495260766,63,63
1495262659,61,61
1495264576,66,66
1495266773,48,48
1495268675,61,61
1495270592,63,63
1495272517,56,56
1495274527,60,60
1495276346,56,56
1495278530,71,71
1495280430,50,50
1495282347,56,56
1495284252,57,57
1495288384,63,63
1495290270,56,56
1495294117,62,62
1495296104,56,56
1495297968,40,40
1495299891,36,36
1495303700,31,31
1495305639,24,24
1495307585,59,59
1495309467,64,64
1495311385,50,50
1495313319,59,59
1495315237,55,55
1495317158,60,60
1495319062,56,56
1495320975,57,57
1495322895,71,71
1495324933,57,57
1495326771,66,66
1495328680,68,68
1495330594,48,48
1495334443,56,56
1495336359,50,50
1495338268,58,58
1495340225,58,58
