DateTime,AddedIPs,RemovedIPs
1490494620,49,913
1490505443,66,0
1490516226,35,0
1490527020,41,0
1490537776,164,0
1490548576,121,0
1490559375,122,0
1490570176,157,0
1490580993,33,1287
1490589312,84,0
1490595403,4,0
1490610404,89,0
1490619229,28,0
1490627893,171,0
1490638672,109,0
1490649475,142,0
1490660301,148,1141
1490675807,45,0
1490681797,33,0
1490692615,69,0
1490710693,264,0
1490721472,133,0
1490732275,134,0
1490743076,149,0
1490750210,49,904
1490768266,57,0
1490778989,78,0
1490797075,169,0
1490807875,137,0
1490818678,134,0
1490829498,147,0
1490836540,43,1033
1490851126,87,0
1490868984,81,0
1490887095,256,0
1490897896,126,0
1490908693,129,0
1490915898,89,0
1490926534,43,717
1490937492,59,0
1490948207,42,0
1490966798,63,0
1490977089,168,0
1490987887,144,0
1490998688,113,0
1491006603,101,813
1491024977,315,3
1491035773,80,0
1491046279,181,0
1491056479,96,0
1491067051,177,0
1491077856,125,0
1491088655,156,0
1491095728,51,730
1491104667,58,0
1491111267,6,0
1491122293,126,0
1491133110,101,0
1491142660,160,0
1491153449,143,0
1491164252,159,0
1491175048,109,0
1491185745,97,1059
1491194321,39,0
1491204860,70,0
1491215781,78,0
1491225484,270,0
1491236246,147,0
1491247056,142,0
1491257853,139,0
1491268529,98,810
1491277623,52,9
1491288128,61,0
1491298195,80,0
1491308178,89,0
1491319078,218,0
1491329874,189,0
1491340664,184,0
1491351593,155,625
1491366091,48,0
1491373226,45,0
1491380259,74,0
1491389060,24,0
1491398493,118,0
1491409053,145,0
1491419849,128,0
1491430652,123,0
1491437952,104,751
1491452390,86,0
1491460641,30,0
1491466589,30,0
1491475342,46,0
1491485192,61,0
1491495384,222,0
1491506185,143,0
1491516985,145,0
1491524641,51,641
1491535031,45,0
1491545869,66,0
1491556635,17,0
1491567439,73,0
1491578187,248,0
1491589139,85,0
1491599787,176,0
1491610644,119,749
1491632285,87,0
1491643128,58,0
1491654033,75,0
1491664587,221,0
1491675386,136,0
1491686187,158,0
1491697019,161,1022
1491718538,97,0
1491729330,30,0
1491740233,64,0
1491750987,270,0
1491761787,153,0
1491772588,167,0
1491783444,198,1539
1491794407,62,0
1491805087,52,0
1491815830,125,0
1491826746,37,0
1491837389,319,0
1491848187,162,0
1491858988,175,0
1491869879,178,834
1491880655,60,0
1491891514,41,0
1491902138,70,0
1491913066,137,0
1491923789,258,0
1491934588,175,0
1491945388,160,0
1491956317,172,736
1491977823,70,2
1491988642,50,0
1491999330,77,0
1492010189,241,0
1492020988,186,0
1492031789,175,0
1492038989,153,0
1492049829,71,857
1492057930,78,0
1492068405,108,0
1492086272,59,0
1492107512,327,1
1492118309,184,0
1492125515,106,0
1492134046,53,719
1492150744,51,1
1492166286,113,0
1492176831,49,0
1492186696,237,0
1492197490,126,0
1492208291,180,0
1492215536,105,702
1492234303,106,0
1492245147,77,0
1492255924,159,0
1492266209,184,0
1492276686,234,0
1492287480,181,0
1492298277,162,0
1492305434,53,791
1492314340,77,0
1492324831,43,0
1492335502,45,0
1492345832,71,0
1492355885,273,0
1492366677,132,0
1492377476,145,0
1492384677,103,0
1492393990,54,1084
1492403945,114,0
1492410853,17,0
1492417806,60,0
1492424917,67,0
1492432340,51,0
1492442283,192,0
1492453075,130,0
