DateTime,Entries,UniqueIPs
1490483776,17056,17056
1490494620,16192,16192
1490505443,16258,16258
1490516226,16293,16293
1490527020,16334,16334
1490537776,16498,16498
1490548576,16619,16619
1490559375,16741,16741
1490570176,16898,16898
1490580993,15644,15644
1490589312,15728,15728
1490595403,15732,15732
1490610404,15821,15821
1490619229,15849,15849
1490627893,16020,16020
1490638672,16129,16129
1490649475,16271,16271
1490660301,15278,15278
1490675807,15323,15323
1490681797,15356,15356
1490692615,15425,15425
1490710693,15689,15689
1490721472,15822,15822
1490732275,15956,15956
1490743076,16105,16105
1490750210,15250,15250
1490768266,15307,15307
1490778989,15385,15385
1490797075,15554,15554
1490807875,15691,15691
1490818678,15825,15825
1490829498,15972,15972
1490836540,14982,14982
1490851126,15069,15069
1490868984,15150,15150
1490887095,15406,15406
1490897896,15532,15532
1490908693,15661,15661
1490915898,15750,15750
1490926534,15076,15076
1490937492,15135,15135
1490948207,15177,15177
1490966798,15240,15240
1490977089,15408,15408
1490987887,15552,15552
1490998688,15665,15665
1491006603,14953,14953
1491024977,15265,15265
1491035773,15345,15345
1491046279,15526,15526
1491056479,15622,15622
1491067051,15799,15799
1491077856,15924,15924
1491088655,16080,16080
1491095728,15401,15401
1491104667,15459,15459
1491111267,15465,15465
1491122293,15591,15591
1491133110,15692,15692
1491142660,15852,15852
1491153449,15995,15995
1491164252,16154,16154
1491175048,16263,16263
1491185745,15301,15301
1491194321,15340,15340
1491204860,15410,15410
1491215781,15488,15488
1491225484,15758,15758
1491236246,15905,15905
1491247056,16047,16047
1491257853,16186,16186
1491268529,15474,15474
1491277623,15517,15517
1491288128,15578,15578
1491298195,15658,15658
1491308178,15747,15747
1491319078,15965,15965
1491329874,16154,16154
1491340664,16338,16338
1491351593,15868,15868
1491366091,15916,15916
1491373226,15961,15961
1491380259,16035,16035
1491389060,16059,16059
1491398493,16177,16177
1491409053,16322,16322
1491419849,16450,16450
1491430652,16573,16573
1491437952,15926,15926
1491452390,16012,16012
1491460641,16042,16042
1491466589,16072,16072
1491475342,16118,16118
1491485192,16179,16179
1491495384,16401,16401
1491506185,16544,16544
1491516985,16689,16689
1491524641,16099,16099
1491535031,16144,16144
1491545869,16210,16210
1491556635,16227,16227
1491567439,16300,16300
1491578187,16548,16548
1491589139,16633,16633
1491599787,16809,16809
1491610644,16179,16179
1491632285,16266,16266
1491643128,16324,16324
1491654033,16399,16399
1491664587,16620,16620
1491675386,16756,16756
1491686187,16914,16914
1491697019,16053,16053
1491718538,16150,16150
1491729330,16180,16180
1491740233,16244,16244
1491750987,16514,16514
1491761787,16667,16667
1491772588,16834,16834
1491783444,15493,15493
1491794407,15555,15555
1491805087,15607,15607
1491815830,15732,15732
1491826746,15769,15769
1491837389,16088,16088
1491848187,16250,16250
1491858988,16425,16425
1491869879,15769,15769
1491880655,15829,15829
1491891514,15870,15870
1491902138,15940,15940
1491913066,16077,16077
1491923789,16335,16335
1491934588,16510,16510
1491945388,16670,16670
1491956317,16106,16106
1491977823,16174,16174
1491988642,16224,16224
1491999330,16301,16301
1492010189,16542,16542
1492020988,16728,16728
1492031789,16903,16903
1492038989,17056,17056
1492049829,16270,16270
1492057930,16348,16348
1492068405,16456,16456
1492086272,16515,16515
1492107512,16841,16841
