DateTime,Entries,UniqueIPs
1495469830,2540,2540
1495470879,2545,2545
1495471953,2551,2551
1495472894,2554,2554
1495473855,2553,2553
1495474833,2560,2560
1495475773,2559,2559
1495476791,2562,2562
1495477713,2562,2562
1495478790,2565,2565
1495479729,2561,2561
1495480836,2561,2561
1495481779,2560,2560
1495482738,2566,2566
1495483715,2571,2571
1495484655,2571,2571
1495485620,2570,2570
1495486592,2572,2572
1495487565,2569,2569
1495488510,2571,2571
1495489479,2566,2566
1495490540,2564,2564
1495491657,2573,2573
1495492614,2572,2572
1495493554,2586,2586
1495494513,2588,2588
1495495462,2594,2594
1495496421,2590,2590
1495497380,2595,2595
1495498355,2597,2597
1495499323,2594,2594
1495500278,2596,2596
1495501311,2602,2602
1495502426,2607,2607
1495503380,2609,2609
1495504334,2606,2606
1495505311,2609,2609
1495506262,2609,2609
1495507221,2606,2606
1495508181,2604,2604
1495509163,2605,2605
1495510112,2604,2604
1495511077,2597,2597
1495512113,2601,2601
1495513224,2594,2594
1495514175,2605,2605
1495515140,2615,2615
1495516102,2615,2615
1495517057,2621,2621
1495518023,2630,2630
1495518982,2624,2624
1495519948,2633,2633
1495520673,2633,2633
1495520903,2633,2633
1495521635,2633,2633
1495521860,2628,2628
1495522606,2628,2628
1495522888,2645,2645
1495523559,2645,2645
1495524048,2650,2650
1495524521,2650,2650
1495525007,2658,2658
1495525483,2658,2658
1495525980,2662,2662
1495526536,2662,2662
1495526919,2656,2656
1495527616,2656,2656
1495527893,2655,2655
1495528588,2655,2655
1495528837,2644,2644
1495529539,2644,2644
1495529796,2643,2643
1495530495,2643,2643
1495531467,2638,2638
1495532421,2644,2644
1495533375,2642,2642
1495534346,2631,2631
1495535309,2638,2638
1495536249,2646,2646
1495537299,2653,2653
1495538448,2654,2654
1495539401,2656,2656
1495540363,2660,2660
1495541313,2659,2659
1495542254,2666,2666
1495543227,2663,2663
1495544183,2662,2662
1495545172,2665,2665
1495546118,2663,2663
1495547085,2665,2665
1495548132,2662,2662
1495549222,2664,2664
1495550176,2661,2661
1495551139,2663,2663
1495552102,2662,2662
1495553057,2657,2657
1495554014,2660,2660
1495554989,2660,2660
1495555956,2665,2665
1495556948,2663,2663
1495557976,2666,2666
1495558906,2666,2666
1495560036,2666,2666
1495561011,2666,2666
1495561944,2661,2661
1495562935,2672,2672
1495563902,2673,2673
1495564841,2669,2669
1495565791,2667,2667
1495566778,2668,2668
1495567711,2676,2676
1495568668,2681,2681
1495569712,2689,2689
1495570820,2694,2694
1495571790,2696,2696
1495572744,2691,2691
1495573704,2698,2698
1495574666,2713,2713
1495575655,2715,2715
1495576597,2717,2717
1495577547,2717,2717
