DateTime,Entries,UniqueIPs
1495657224,19427,19808
1495658183,19433,19814
1495659139,19434,19815
1495660094,19432,19813
1495661063,19436,19816
1495662021,19443,19823
1495662971,19448,19828
1495664226,19443,19822
1495665171,19451,19830
1495666123,19453,19832
1495667089,19460,19839
1495668055,19460,19839
1495669034,19456,19835
1495669957,19455,19834
1495670915,19461,19840
1495671880,19454,19832
1495672845,19453,19831
1495673816,19457,19836
1495674771,19461,19840
1495675716,19456,19835
1495676683,19462,19842
1495677743,19471,19851
1495678824,19477,19857
1495679781,19475,19855
1495680733,19479,19859
1495681709,19480,19860
1495682653,19482,19862
1495683623,19486,19866
1495684583,19491,19871
1495685561,19482,19862
1495686511,19473,19853
1495687479,19468,19848
1495688511,19469,19849
1495689633,19482,19862
1495690577,19482,19862
1495691543,19483,19865
1495692524,19482,19865
1495693472,19494,19878
1495694449,19502,19886
1495695407,19508,19892
1495696356,19511,19895
1495697333,19514,19898
1495698268,19520,19904
1495699319,19521,19905
1495700411,19523,19907
1495701423,19527,19911
1495702351,19541,19925
1495703308,19547,19933
1495704262,19543,19929
1495705212,19549,19936
1495706172,19547,19934
1495707133,19553,19940
1495708106,19555,19942
1495709047,19562,19949
1495710089,19566,19954
1495710991,19568,19956
1495711941,19578,19967
1495712945,19579,19968
1495713891,19579,19967
1495714849,19580,19969
1495715808,19580,19969
1495716773,19584,19973
1495717723,19587,19975
1495718667,19595,19983
1495719640,19598,19986
1495720597,19580,19967
1495721550,19509,19893
1495722524,19479,19862
1495723470,19463,19846
1495724500,19446,19828
1495725403,19450,19832
1495726368,19426,19804
1495727324,19432,19810
1495728283,19415,19793
1495729253,19407,19785
1495730190,19412,19790
1495731158,19404,19780
1495732231,19399,19769
1495733291,19393,19761
1495734257,19390,19758
1495735318,19383,19751
1495736423,19385,19753
1495737391,19372,19740
1495738348,19373,19742
1495739294,19373,19742
1495740274,19363,19731
1495741254,19356,19724
1495742198,19354,19722
1495743160,19355,19722
1495744127,19351,19718
1495745076,19358,19725
1495746178,19362,19729
1495747212,19363,19730
1495748172,19361,19728
1495749150,19366,19733
1495750310,19367,19734
1495751326,19368,19735
1495752253,19368,19735
1495753304,19369,19736
1495754206,19370,19738
1495755159,19361,19729
1495756129,19368,19736
1495757077,19366,19734
1495758044,19366,19734
1495759010,19366,19734
1495759957,19361,19729
1495760921,19364,19732
1495761879,19368,19736
1495762831,19371,19740
1495763808,19376,19745
1495764755,19376,19746
1495765724,19379,19750
1495766678,19378,19749
1495767698,19380,19751
1495768604,19382,19753
1495769570,19382,19753
1495770550,19384,19755
1495771481,19385,19756
1495772432,19394,19766
1495773413,19384,19756
1495774357,19385,19757
1495775327,19387,19759
1495776273,19390,19762
1495777251,19396,19767
1495778198,19394,19765
1495779156,19396,19767
1495780126,19407,19778
1495781068,19402,19773
1495782063,19404,19775
1495782986,19405,19775
1495783950,19403,19773
1495784900,19407,19777
1495786386,19400,19769
1495787322,19404,19773
1495788280,19398,19767
1495789385,19394,19764
1495790415,19394,19764
1495791389,19394,19764
1495792340,19391,19761
1495793302,19385,19755
1495794255,19385,19755
1495795225,19377,19747
1495796180,19375,19745
1495797156,19377,19748
1495798135,19374,19745
1495799068,19372,19743
1495800121,19364,19735
1495801240,19366,19736
1495802171,19354,19724
1495803140,19350,19720
1495804100,19347,19717
1495805150,19343,19713
1495806258,19341,19711
1495807289,19341,19711
1495808192,19327,19697
1495809157,19326,19696
1495810112,19324,19694
1495811076,19327,19697
1495812053,19326,19696
1495813012,19323,19693
1495813953,19327,19697
1495814908,19326,19696
1495815850,19333,19703
1495816821,19330,19700
1495817788,19321,19691
1495818761,19309,19678
1495819721,19290,19658
1495820677,19261,19628
1495821706,19255,19621
1495822817,19250,19616
1495823800,19235,19601
1495824769,19232,19598
1495825729,19217,19582
1495826665,19206,19570
1495827631,19208,19572
1495828586,19201,19564
1495829572,19192,19555
1495830508,19186,19549
1495831480,19185,19549
1495832513,19180,19543
1495833633,19162,19525
1495834582,19154,19517
1495835534,19155,19518
1495836509,19149,19512
1495837453,19149,19512
1495838412,19148,19511
1495839387,19132,19496
1495840357,19129,19492
1495841311,19122,19485
1495842274,19124,19487
1495843309,19120,19483
1495844431,19118,19481
1495845403,19116,19479
1495846353,19115,19479
1495847311,19113,19477
1495848260,19114,19478
1495849218,19114,19478
