DateTime,Entries,UniqueIPs
1495465296,529,529
1495466436,526,526
1495467403,530,530
1495468368,536,536
1495469828,540,540
1495470876,545,545
1495471951,551,551
1495472892,554,554
1495473853,553,553
1495474831,560,560
1495475771,559,559
1495476789,562,562
1495477711,562,562
1495478787,565,565
1495479727,561,561
1495480834,561,561
1495481777,560,560
1495482735,566,566
1495483713,571,571
1495484653,571,571
1495485617,570,570
1495486589,572,572
1495487562,569,569
1495488508,571,571
1495489477,566,566
1495490538,564,564
1495491654,573,573
1495492612,572,572
1495493552,586,586
1495494511,588,588
1495495460,594,594
1495496419,590,590
1495497378,595,595
1495498352,597,597
1495499321,594,594
1495500276,596,596
1495501309,602,602
1495502423,607,607
1495503378,609,609
1495504332,606,606
1495505309,609,609
1495506260,609,609
1495507219,606,606
1495508178,604,604
1495509160,605,605
1495510110,604,604
1495511074,597,597
1495512112,601,601
1495513222,594,594
1495514172,605,605
1495515137,615,615
1495516100,615,615
1495517054,621,621
1495518021,630,630
1495518980,624,624
1495519948,633,633
1495520903,633,633
1495521860,628,628
1495522888,645,645
1495524048,650,650
1495525007,658,658
1495525980,662,662
1495526919,656,656
1495527893,655,655
1495528837,644,644
1495529796,643,643
1495531465,638,638
1495532419,644,644
1495533373,642,642
1495534343,631,631
1495535307,638,638
1495536247,646,646
1495537297,653,653
1495538446,654,654
1495539399,656,656
1495540361,660,660
1495541311,659,659
1495542252,666,666
1495543224,663,663
1495544181,662,662
1495545170,665,665
1495546116,663,663
1495547082,665,665
1495548130,662,662
1495549220,664,664
1495550173,661,661
1495551137,663,663
1495552100,662,662
1495553054,657,657
1495554012,660,660
1495554987,660,660
1495555954,665,665
1495556945,663,663
1495557974,666,666
1495558904,666,666
1495560034,666,666
1495561009,666,666
1495561942,661,661
1495562933,672,672
1495563900,673,673
1495564838,669,669
1495565788,667,667
1495566775,668,668
1495567709,676,676
1495568666,681,681
1495569710,689,689
1495570818,694,694
1495571787,696,696
1495572742,691,691
1495573701,698,698
1495574664,713,713
1495575653,715,715
1495576595,717,717
1495577544,717,717
1495578497,716,716
1495579467,713,713
1495580497,718,718
1495581404,714,714
1495582385,717,717
1495583327,712,712
1495584278,711,711
1495585241,713,713
1495586197,714,714
1495587172,711,711
1495588108,717,717
1495589057,718,718
1495590017,715,715
1495590992,714,714
1495591953,716,716
1495592909,718,718
1495593880,716,716
1495594909,715,715
1495596023,715,715
1495596979,712,712
1495597936,723,723
1495598913,722,722
1495599858,716,716
1495600818,709,709
1495601787,698,698
1495602758,690,690
1495603729,685,685
1495604675,689,689
1495605703,683,683
1495606860,681,681
1495607790,679,679
1495608777,675,675
1495609866,675,675
1495610902,675,675
1495611847,674,674
1495612900,674,674
1495614048,674,674
1495614998,672,672
1495615954,668,668
1495616930,670,670
1495617872,668,668
1495618832,659,659
1495619800,661,661
1495620762,662,662
1495621710,657,657
1495622679,648,648
1495623711,652,652
1495624834,653,653
1495625772,651,651
1495626730,637,637
1495627708,631,631
1495628658,635,635
1495629611,638,638
1495630728,631,631
1495631781,631,631
1495632749,618,618
1495633711,620,620
1495634695,618,618
1495635665,610,610
1495637115,603,603
1495638096,602,602
1495639248,599,599
1495640194,589,589
1495641162,583,583
1495642105,583,583
1495643122,590,590
1495644039,584,584
1495645086,581,581
1495646182,578,578
1495647166,568,568
1495648118,567,567
1495649088,556,556
1495650043,552,552
1495651249,542,542
1495652191,541,541
1495653181,536,536
1495654116,532,532
1495655068,522,522
1495656135,518,518
1495657224,509,509
1495658183,512,512
1495659139,502,502
1495660094,487,487
1495661063,488,488
1495662021,489,489
1495662971,488,488
1495664226,483,483
1495665171,477,477
1495666123,478,478
1495667089,482,482
1495668055,480,480
1495669034,477,477
1495669957,478,478
1495670915,477,477
1495671880,474,474
1495672845,472,472
1495673816,475,475
1495674771,470,470
1495675716,468,468
1495676683,469,469
1495677743,475,475
1495678824,474,474
1495679781,471,471
1495680733,475,475
1495681709,475,475
1495682653,471,471
1495683623,463,463
1495684583,463,463
1495685561,458,458
1495686511,457,457
1495687479,455,455
1495688511,448,448
1495689633,456,456
1495690577,457,457
1495691543,461,461
1495692524,460,460
1495693472,467,467
1495694449,473,473
1495695407,478,478
1495696356,476,476
1495697333,482,482
1495698268,482,482
1495699319,483,483
1495700411,480,480
1495701423,486,486
1495702351,497,497
1495703308,504,504
1495704262,508,508
1495705212,507,507
1495706172,505,505
1495707133,511,511
1495708106,513,513
1495709047,513,513
1495710089,521,521
1495710991,523,523
1495711941,531,531
1495712945,529,529
1495713891,532,532
1495714849,537,537
1495715808,535,535
1495716773,537,537
1495717723,544,544
1495718667,552,552
1495719640,550,550
1495720597,549,549
1495721550,545,545
1495722524,555,555
1495723470,557,557
1495724500,560,560
1495725403,555,555
1495726368,560,560
1495727324,566,566
1495728283,559,559
1495729253,553,553
1495730190,550,550
1495731158,559,559
1495732231,557,557
1495733291,562,562
1495734257,565,565
1495735318,560,560
1495736423,563,563
1495737391,555,555
1495738348,561,561
1495739294,562,562
1495740274,563,563
1495741254,558,558
1495742198,555,555
1495743160,561,561
1495744127,562,562
1495745076,567,567
1495746178,563,563
1495747212,568,568
1495748172,560,560
1495749150,558,558
1495750310,557,557
1495751326,552,552
1495752253,555,555
1495753304,554,554
1495754206,556,556
1495755159,543,543
1495756129,548,548
1495757077,540,540
1495758044,540,540
1495759010,541,541
1495759957,542,542
1495760921,544,544
1495761879,547,547
1495762831,551,551
1495763808,553,553
1495764755,555,555
1495765724,554,554
1495766678,557,557
1495767698,556,556
1495768604,553,553
1495769570,555,555
1495770550,553,553
1495771481,555,555
1495772432,561,561
1495773413,554,554
1495774357,540,540
1495775327,538,538
1495776273,530,530
1495777251,531,531
1495778198,534,534
1495779156,520,520
1495780126,520,520
1495781068,517,517
1495782063,510,510
1495782986,509,509
1495783950,502,502
1495784900,501,501
1495786386,490,490
1495787322,481,481
1495788280,477,477
1495789385,469,469
1495790415,466,466
1495791389,460,460
1495792340,459,459
1495793302,457,457
1495794255,454,454
1495795225,449,449
1495796180,449,449
1495797156,451,451
1495798135,450,450
1495799068,451,451
1495800121,442,442
1495801240,436,436
1495802171,431,431
1495803140,427,427
1495804100,419,419
