DateTime,Entries,UniqueIPs
1495458495,4993,5357
1495459462,4988,5354
1495460415,4997,5366
1495461373,4981,5350
1495462343,4986,5358
1495463301,4994,5365
1495464250,4990,5361
1495465299,4992,5366
1495466439,5016,5390
1495467405,5006,5382
1495468371,5002,5380
1495469830,4988,5363
1495470879,5003,5378
1495471953,4989,5365
1495472894,4991,5368
1495473855,4988,5367
1495474833,4990,5370
1495475773,4986,5370
1495476791,5005,5393
1495477713,5005,5394
1495478790,4996,5387
1495479729,4993,5387
1495480836,4988,5380
1495481779,4981,5374
1495482738,4966,5359
1495483715,5007,5402
1495484655,4997,5394
1495485620,5010,5412
1495486592,5009,5412
1495487565,4994,5398
1495488510,4931,5323
1495489479,4947,5341
1495490540,4972,5370
1495491657,4927,5325
1495492614,4937,5339
1495493554,4965,5370
1495494513,4967,5376
1495495462,4950,5361
1495496421,4912,5320
1495497380,4927,5337
1495498355,4929,5333
1495499323,4931,5325
1495500278,4932,5320
1495501311,4941,5327
1495502426,4953,5333
1495503380,4950,5329
1495504334,4948,5327
1495505311,4950,5320
1495506262,4948,5315
1495507221,4965,5328
1495508181,4956,5319
1495509163,4956,5323
1495510112,4957,5321
1495511077,4941,5301
1495512113,4963,5325
1495513224,5020,5384
1495514175,5018,5379
1495515140,5038,5403
1495516102,5051,5414
1495517057,5060,5421
1495518023,5079,5441
1495518982,5078,5437
1495520673,5091,5441
1495521635,5104,5458
1495522606,5103,5455
1495523559,5110,5460
1495524521,5097,5449
1495525483,5105,5457
1495526536,5127,5477
1495527616,5143,5492
1495528588,5164,5510
1495529539,5165,5511
1495530495,5188,5531
1495531467,5207,5552
1495532421,5210,5552
1495533375,5198,5538
1495534346,5249,5591
1495535309,5253,5594
1495536249,5262,5610
1495537299,5259,5608
1495538448,5261,5610
1495539401,5256,5604
1495540363,5260,5606
1495541313,5243,5589
1495542254,5260,5605
1495543227,5248,5594
1495544183,5244,5591
1495545172,5254,5601
1495546118,5246,5590
1495547085,5254,5597
1495548132,5242,5588
1495549222,5239,5584
1495550176,5240,5588
1495551139,5242,5589
1495552102,5240,5587
1495553057,5239,5583
1495554014,5235,5580
1495554989,5221,5562
1495555956,5239,5581
1495556948,5246,5587
1495557976,5241,5580
1495558906,5237,5577
1495560036,5253,5595
1495561011,5232,5569
1495561944,5240,5575
1495562935,5209,5539
1495563902,5216,5543
1495564841,5226,5553
1495565791,5215,5544
1495566778,5208,5539
1495567711,5211,5540
1495568668,5210,5540
1495569712,5202,5532
1495570820,5221,5550
1495571790,5209,5536
1495572744,5207,5532
1495573704,5206,5532
1495574666,5197,5522
1495575655,5190,5512
1495576597,5173,5492
1495577547,5160,5479
1495578499,5161,5481
1495579469,5136,5458
1495580499,5122,5445
1495581406,5118,5443
1495582388,5116,5439
1495583329,5123,5449
1495584280,5109,5436
1495585243,5113,5444
1495586199,5102,5432
1495587174,5092,5420
1495588110,5083,5408
1495589059,5083,5402
1495590019,5061,5376
1495590994,5062,5376
1495591956,5066,5381
1495592911,5061,5381
1495593883,5064,5384
1495594911,5068,5386
1495596025,5068,5387
1495596981,5057,5373
1495597938,5052,5368
1495598915,5046,5360
1495599860,5043,5356
1495600820,5035,5347
1495601789,5025,5333
1495602760,5041,5348
1495603731,5023,5326
1495604677,5028,5333
1495605704,5005,5306
1495606862,5034,5335
1495607791,5026,5327
1495608779,5040,5339
1495609868,5075,5376
1495610904,5066,5369
1495611850,5055,5357
1495612901,5036,5336
1495614051,5027,5331
1495615000,5022,5329
1495615956,5019,5325
1495616932,5023,5326
1495617874,5026,5331
1495618834,5039,5343
1495619801,5022,5327
1495620763,5005,5309
1495621712,4975,5283
1495622681,4965,5271
1495623713,4932,5237
1495624836,4953,5259
1495625774,4951,5255
1495626732,4928,5237
1495627710,4925,5234
1495628660,4899,5202
1495629614,4931,5236
1495630730,4916,5222
1495631783,4920,5229
1495632752,4921,5229
1495633713,4885,5194
1495634697,4881,5190
1495635667,4878,5187
1495637117,4878,5185
1495638098,4891,5194
1495639251,4903,5208
1495640196,4900,5202
1495641165,4891,5190
1495642107,4889,5191
1495643123,4883,5185
1495644041,4872,5173
1495645088,4862,5162
1495646184,4871,5173
1495647169,4888,5192
1495648120,4875,5176
1495649090,4892,5194
1495650045,4900,5202
1495651251,4858,5160
1495652193,4865,5167
1495653183,4861,5165
