DateTime,Entries,UniqueIPs
1462834811,5682,5682
1462878491,5684,5684
1462922177,5688,5688
1462965849,5690,5690
1463009530,5696,5696
1463053209,5702,5702
1463096890,5703,5703
1463140568,5707,5707
1463227929,5709,5709
1463271611,5711,5711
1463337367,5712,5712
1463381048,5714,5714
1463424731,5720,5720
1463468409,5721,5721
1463512089,5724,5724
1463555770,5727,5727
1463599459,5728,5728
1463643130,5729,5729
1463686810,5734,5734
1463730734,5737,5737
1463774409,5740,5740
1463818090,5743,5743
1463861768,5744,5744
1463905449,5746,5746
1463949128,5747,5747
1463992810,5752,5752
1464036488,5753,5753
1464080170,5764,5764
1464123850,5768,5768
1464167529,5772,5772
1464211208,5776,5776
1464255129,5778,5778
1464298810,5781,5781
1464342490,5785,5785
1464386177,5787,5787
1464429910,5789,5789
1464473768,5791,5791
1464517450,5796,5796
1464561129,5802,5802
1464604809,5803,5803
1464648489,5805,5805
1464692170,5808,5808
1464735850,5812,5812
1464779531,5814,5814
1464823209,5816,5816
1464866891,5821,5821
1464910569,5825,5825
1464954247,5828,5828
1464997930,5832,5832
1465041609,5835,5835
1465128968,5839,5839
1465172650,5841,5841
1465216331,5843,5843
1465260012,5848,5848
1465303689,5851,5851
1465347368,5853,5853
1465391048,5854,5854
1465434730,5858,5858
1465478417,5860,5860
1465522089,5865,5865
1465565768,5870,5870
1465653129,5873,5873
1465696811,5876,5876
1465740488,5877,5877
1465784170,5880,5880
1465827848,5886,5886
1465871530,5887,5887
1465915451,5890,5890
1465959129,5892,5892
1466002818,5893,5893
1466090168,5894,5894
1466133849,5899,5899
1466177529,5904,5904
1466221208,5905,5905
1466264890,5908,5908
1466308569,5913,5913
1466352250,5916,5916
1466395928,5917,5917
1466483293,5922,5922
1466526969,5927,5927
1466570648,5929,5929
1466614330,5931,5931
1466658008,5935,5935
1466745368,5939,5939
1466789050,5940,5940
1466832728,5942,5942
1466920099,5943,5943
1466963816,5945,5945
1467007451,5948,5948
1467051129,5950,5950
1467094813,5956,5956
1467138489,5958,5958
1467225850,5959,5959
1467269529,5960,5960
1467356889,5966,5966
1467400568,5968,5968
1467444249,5971,5971
1467487931,5972,5972
1467575289,5974,5974
1467618968,5975,5975
1467706568,5977,5977
1467750248,5980,5980
1467837609,5982,5982
1467881289,5984,5984
1467968649,5986,5986
1468012328,5988,5988
1468099688,5989,5989
1468143369,5992,5992
1468187048,5993,5993
1468230728,5995,5995
1468274411,5998,5998
1468318091,6002,6002
1468361771,6003,6003
1468405450,6006,6006
1468449128,6007,6007
1468492808,6010,6010
1468536489,6012,6012
1468580168,6013,6013
1468667529,6015,6015
1468711210,6017,6017
1468754889,6018,6018
1468798568,6020,6020
1468842251,6022,6022
1468885929,6024,6024
1468929611,6025,6025
1468973529,6029,6029
1469017222,6030,6030
1469061131,6033,6033
1469104811,6034,6034
1469148488,6036,6036
1469192168,6038,6038
1469279531,6043,6043
1469323209,6044,6044
1469410568,6045,6045
1469454248,6050,6050
1469497928,6052,6052
1469628968,6054,6054
1469672650,6057,6057
1469716328,6060,6060
1469760010,6063,6063
1469803688,6066,6066
1469847378,6067,6067
1469891051,6069,6069
1469934729,6071,6071
1470065769,6073,6073
1470109448,6076,6076
1470153128,6078,6078
1470196810,6079,6079
1470240488,6082,6082
1470284170,6085,6085
1470327857,6090,6090
1470371531,6093,6093
1470415208,6096,6096
1470458894,6097,6097
1470502571,6098,6098
1470546256,6102,6102
1470589928,6104,6104
1470633611,6106,6106
1470677288,6108,6108
1470720969,6110,6110
1470808328,6112,6112
1470895691,6113,6113
1470939369,6114,6114
1470983049,6116,6116
1471157778,6118,6118
1471201450,6121,6121
1471245128,6125,6125
1471288809,6130,6130
1471332489,6132,6132
1471376170,6134,6134
1471419848,6136,6136
1471463531,6137,6137
1471507213,6141,6141
1471550891,6142,6142
1471594567,6147,6147
1471638251,6150,6150
1471681938,6152,6152
1471725608,6154,6154
1471769289,6156,6156
1471900330,6159,6159
1471944008,6160,6160
1471987690,6161,6161
1472031368,6162,6162
1472075050,6165,6165
1472118730,6170,6170
1472206091,6175,6175
1472249770,6178,6178
1472293448,6179,6179
1472337128,6182,6182
1472380811,6187,6187
1472424488,6190,6190
1472468169,6192,6192
1472511851,6194,6194
1472555539,6197,6197
1472599215,6198,6198
1472642889,6201,6201
1472686576,6204,6204
1472730248,6205,6205
1472773929,6206,6206
1472817617,6207,6207
1472861530,6213,6213
1472905218,6215,6215
1472948892,6217,6217
1472992811,6218,6218
1473036492,6219,6219
1473080168,6221,6221
1473123849,6223,6223
1473167528,6224,6224
1473298819,6229,6229
1473342488,6232,6232
1473430091,6236,6236
1473473768,6238,6238
1473517452,6240,6240
1473561129,6241,6241
1473648490,6243,6243
1473692170,6245,6245
1473779533,6246,6246
1473823210,6247,6247
1473866890,6251,6251
1473998171,6252,6252
1474042091,6254,6254
1474085768,6256,6256
1474173142,6257,6257
1474216808,6259,6259
1474260488,6261,6261
1481984410,6274,6274
1482028090,6275,6275
1482071768,6276,6276
1482115450,6277,6277
1482159369,6280,6280
1482203050,6283,6283
1482246729,6284,6284
1482290410,6286,6286
1482421449,6288,6288
1482465130,6293,6293
1482552491,6294,6294
1482727209,6296,6296
1482814568,6297,6297
1482858494,6298,6298
1482902181,6299,6299
1482945849,6300,6300
1482989543,6307,6307
1483033208,6309,6309
1483076888,6313,6313
1483120569,6317,6317
1483207930,6319,6319
1483295289,6320,6320
1483338970,6321,6321
1483382649,6323,6323
1483426329,6324,6324
1483513692,6327,6327
1483557371,6331,6331
1483601049,6336,6336
1483644730,6339,6339
1483688411,6345,6345
1483776018,6346,6346
1483819692,6350,6350
1483863608,6355,6355
1483907528,6356,6356
1483951209,6360,6360
1483994890,6365,6365
1484038568,6367,6367
1484082249,6370,6370
1484125931,6373,6373
1484169609,6375,6375
1484213289,6377,6377
1484257209,6379,6379
1484344567,6385,6385
1484388251,6386,6386
1484431928,6387,6387
1484475609,6389,6389
1484519288,6394,6394
1484562968,6395,6395
1484606650,6405,6405
1484650330,6407,6407
1484694020,6415,6415
1484781369,6419,6419
1484825051,6422,6422
1484868728,6425,6425
1484912420,6427,6427
1484956330,6429,6429
1485000008,6431,6431
1485043692,6433,6433
1485087368,6435,6435
1485131050,6437,6437
1485174734,6441,6441
1485218409,6444,6444
1485262091,6446,6446
1485305769,6451,6451
1485349691,6452,6452
1485393608,6454,6454
1485481209,6455,6455
1485524888,6457,6457
1485568573,6458,6458
1485612490,6459,6459
1485700329,6461,6461
1485744010,6462,6462
1485787688,6464,6464
1485831368,6465,6465
1485875049,6469,6469
1485918728,6473,6473
1485962410,6474,6474
1486006089,6476,6476
1486049777,6477,6477
1486093449,6481,6481
1486137129,6483,6483
1486180816,6488,6488
1486224490,6489,6489
1486268410,6490,6490
1486312088,6492,6492
1486355783,6496,6496
1486443128,6497,6497
1486486815,6499,6499
1486530728,6502,6502
1486574648,6503,6503
1486618328,6504,6504
1486662011,6508,6508
1486705688,6510,6510
1486749369,6512,6512
1486836729,6514,6514
1486880410,6518,6518
1486924089,6520,6520
1487011448,6524,6524
1487055128,6526,6526
1487098811,6527,6527
1487142493,6529,6529
1487186170,6532,6532
1487229849,6535,6535
1487273530,6538,6538
1487317209,6542,6542
1487360888,6543,6543
1487404593,6544,6544
1487448247,6546,6546
1487579289,6547,6547
1487622968,6548,6548
1487666888,6551,6551
1487710569,6552,6552
1487754249,6553,6553
1487797934,6554,6554
1487841632,6557,6557
1487885288,6562,6562
1487928968,6564,6564
1487972650,6565,6565
1488016328,6566,6566
1488060017,6567,6567
1488103691,6569,6569
1488147375,6571,6571
1488191049,6576,6576
1488234727,6578,6578
1488278410,6581,6581
1488322087,6583,6583
1488365769,6588,6588
1488409449,6591,6591
1488453128,6593,6593
1488496812,6596,6596
1488540489,6599,6599
1488584649,6602,6602
1488628330,6606,6606
1488672013,6609,6609
1488759368,6610,6610
1488803050,6612,6612
1488890413,6613,6613
1488977769,6614,6614
1489021451,6615,6615
1489065129,6617,6617
1489108822,6618,6618
1489152490,6619,6619
1489283528,6623,6623
1489327212,6627,6627
1489370889,6630,6630
1489414569,6633,6633
1489458249,6637,6637
1489545610,6638,6638
1489589289,6640,6640
1489632969,6642,6642
1489676649,6644,6644
1489720328,6647,6647
1489764017,6649,6649
1489807688,6650,6650
1489851368,6653,6653
1489895049,6654,6654
1489938729,6657,6657
1489982421,6658,6658
1490069768,6660,6660
1490113448,6661,6661
1490157132,6664,6664
1490200812,6669,6669
1490244488,6674,6674
1490288171,6679,6679
1490332089,6685,6685
1490375768,6691,6691
1490419449,6697,6697
1490463381,6699,6699
1490507054,6703,6703
1490638093,6705,6705
1490725449,6712,6712
1490769129,6716,6716
1490812818,6718,6718
1490856488,6720,6720
1490900168,6724,6724
1490944091,6728,6728
1490987768,6730,6730
1491075127,6733,6733
1491118810,6735,6735
1491162488,6737,6737
1491250090,6738,6738
1491337469,6742,6742
1491381128,6743,6743
1491424809,6744,6744
1491468488,6748,6748
1491512169,6749,6749
1491556090,6750,6750
1491599767,6751,6751
1491643449,6754,6754
1491687131,6755,6755
1491730826,6757,6757
1491774490,6759,6759
1491818189,6762,6762
1491905528,6766,6766
1491949208,6768,6768
1491992889,6771,6771
1492036568,6772,6772
1492080248,6778,6778
1492123930,6783,6783
1492211530,6784,6784
1492255228,6786,6786
1492298888,6788,6788
1492342568,6789,6789
1492429928,6792,6792
1492473621,6794,6794
1492517289,6797,6797
1492560968,6798,6798
1492604652,6800,6800
1492648329,6803,6803
1492692008,6805,6805
1492735688,6810,6810
1492779369,6811,6811
1492823533,6814,6814
1492867207,6815,6815
1492954811,6816,6816
1492998488,6818,6818
