DateTime,AddedIPs,RemovedIPs
1486004404,0,1
1486076405,1,0
1486080004,1,0
1486094405,0,1
1486159205,0,1
1486177205,0,1
1486180804,1,2
1486184405,0,1
1486227604,1,1
1486234804,0,2
1486249204,0,1
1486263605,1,0
1486278005,0,1
1486324804,0,1
1486332004,0,1
1486335605,1,0
1486396804,2,0
1486400405,5,0
1486404004,1,0
1486411204,3,0
1486414805,2,0
1486418405,2,0
1486422005,1,0
1486425604,2,0
1486429205,1,0
1486436405,1,3
1486440005,0,1
1486450805,1,0
1486483205,0,1
1486486805,1,0
1486497605,0,1
1486526404,0,1
1486569605,1,0
1486666806,1,0
1486677604,0,1
1486695604,0,2
1486699205,1,0
1486706404,2,0
1486717204,1,0
1486742404,1,0
1486753205,1,0
1486760405,1,0
1486764005,1,0
1486785605,0,1
1486814405,1,0
1486857605,2,0
1486861205,0,1
1486904405,1,0
1486908005,0,2
1486911605,0,1
1486944005,1,1
1486951204,0,1
1487001605,0,1
1487041205,0,1
1487063543,1,0
1487077274,1,0
1487116806,1,0
1487239205,1,0
1487271605,0,1
1487282405,0,1
1487293205,0,1
1487311205,1,0
1487314805,1,0
1487318406,0,1
1487343605,0,1
1487354405,1,0
1487358006,1,0
1487365205,2,0
1487440806,0,1
1487455205,1,0
1487458806,1,0
1487462405,0,1
1487466005,1,0
1487498405,0,1
1487509206,0,1
1487520006,1,1
1487523606,1,0
1487527206,2,0
1487534405,1,0
1487538006,1,1
1487545206,0,3
1487548806,1,2
1487552406,2,0
1487556007,1,1
1487559606,0,1
1487563205,1,1
1487566805,1,2
1487570405,0,2
1487574006,0,2
1487577605,0,2
1487581205,0,1
1487592006,2,0
1487595605,1,0
1487606405,1,0
1487610006,1,0
1487628006,1,0
1487631607,1,0
1487638807,1,0
1487642407,1,1
1487653206,3,0
1487656807,4,0
1487710807,0,1
1487714406,0,1
1487757606,1,0
1487800807,1,0
1487818805,1,0
1487822406,1,0
1487829606,1,0
1487833207,1,0
1487844008,0,1
1487851208,0,1
1487905209,1,0
1487952009,0,1
1487984409,0,1
1487988010,0,1
1487998809,2,0
1488016809,0,1
1488031209,1,0
1488060008,0,1
1488124807,1,0
1488128407,0,1
1488146408,0,2
1488178805,0,1
1488182407,1,0
1488186006,0,1
1488207608,0,1
1488211208,0,1
1488218408,1,0
1488236408,0,1
1488247208,1,1
1488268808,1,0
1488276008,1,0
1488283207,0,1
1488290408,0,4
