DateTime,AddedIPs,RemovedIPs
1494061276,5,3
1494064825,0,3
1494068438,1,11
1494075645,0,1
1494079265,1,1
1494082857,2,1
1494086461,2,1
1494090067,0,1
1494093659,1,1
1494097269,1,1
1494100865,0,3
1494104465,2,0
1494108069,1,2
1494111669,2,1
1494115270,5,3
1494118871,1,2
1494122471,2,2
1494126071,1,3
1494129672,1,0
1494133273,1,1
1494136872,0,1
1494140473,1,0
1494144073,0,1
1494151275,17,1
1494154873,0,1
1494158473,0,1
1494162071,0,1
1494165672,0,2
1494169274,3,2
1494172875,3,0
1494176475,4,2
1494180074,0,1
1494183677,0,1
1494187274,2,0
1494190874,2,2
1494194474,2,2
1494198076,2,4
1494201682,4,7
1494205281,0,1
1494208881,1,1
1494212481,12,0
1494216082,6,0
1494219681,2,0
1494223280,2,1
1494226879,1,1
1494230478,0,2
1494241280,1,1
1494244880,2,0
1494248480,0,2
1494252079,0,4
1494255679,1,3
1494259278,3,1
1494262879,2,1
1494266478,3,0
1494270079,0,2
1494273680,0,1
1494277278,2,0
1494280878,2,1
1494284477,3,1
1494288079,1,0
1494291676,2,1
1494295278,0,1
1494298877,0,2
1494302477,1,1
1494306079,4,2
1494309677,2,2
1494313274,1,2
1494316877,0,1
1494320478,0,2
1494324077,0,2
1494327678,1,2
1494331278,3,0
1494334876,3,1
1494338477,2,2
1494342079,1,0
1494349278,1,1
1494352878,1,0
1494356477,2,1
1494360079,1,0
1494363688,0,2
1494367278,2,2
1494370877,1,13
1494374477,3,12
1494378078,0,1
1494381677,1,0
1494385277,2,0
1494388876,0,2
1494399676,1,2
1494403276,1,0
1494406875,1,1
1494414074,2,0
1494417675,0,1
1494421274,1,0
1494424876,0,1
1494428476,2,2
1494432075,2,1
1494435676,1,2
1494439275,2,2
1494442875,0,1
1494446477,2,1
1494450075,1,0
1494453677,4,1
1494457275,0,1
1494460877,4,1
1494464476,1,1
1494468075,0,2
1494471673,2,1
1494475276,3,0
1494478875,0,1
1494486076,0,1
1494489675,0,1
1494493276,3,0
1494496876,1,1
1494504076,0,2
1494507676,3,1
1494511278,0,1
1494514880,5,1
1494518482,2,2
1494522077,1,0
1494525675,2,1
1494529276,2,1
1494536480,0,2
1494540079,4,1
1494547279,4,2
1494550878,1,0
1494554476,0,1
1494558036,1,3
1494561633,3,2
1494576044,1,0
1494579632,2,0
1494586829,1,0
1494590428,2,1
1494594027,0,3
1494597632,3,1
1494601253,1,2
1494612025,2,3
1494615646,0,2
1494619248,1,5
1494622826,0,2
1494626441,0,1
1494630025,1,0
1494633625,2,1
1494644453,1,0
1494648025,2,0
1494662428,1,0
1494666026,0,2
1494669630,1,2
1494676826,0,1
1494680427,1,0
1494684026,1,3
1494687627,3,0
1494694826,2,0
1494702034,2,1
1494705626,2,2
1494709227,2,1
1494712827,1,3
1494716427,2,1
1494720026,3,2
1494727227,2,1
1494730830,0,1
1494734426,0,1
1494738032,1,2
1494741636,0,1
1494745226,0,3
1494748828,0,1
1494752426,2,1
1494756026,0,18
1494766826,1,0
1494770425,1,0
1494774025,1,0
1494777626,2,0
1494781225,2,4
1494784825,0,3
1494792024,1,1
1494799225,0,1
1494802827,0,2
1494806426,5,3
1494810033,3,2
1494813625,0,2
1494817226,1,0
1494820827,1,2
1494824428,1,0
1494828027,0,3
1494831628,1,0
1494838829,1,0
1494842434,0,2
1494846028,1,0
1494849627,1,2
1494856827,2,2
1494860432,1,2
1494867633,0,5
1494871226,0,4
1494874828,0,2
1494878426,0,6
1494882026,3,3
1494885627,1,1
1494889227,3,1
1494892828,1,0
1494896427,0,1
1494903637,0,1
1494907228,0,1
1494910826,0,2
1494914426,0,2
1494918026,0,1
1494921626,0,1
1494925227,0,1
1494928825,2,0
1494932426,0,2
1494936027,2,2
1494939626,1,1
1494943231,0,2
1494946826,2,3
1494950426,2,1
1494954026,2,1
1494957630,3,0
1494964828,0,1
1494968428,2,1
1494972027,4,3
1494975627,2,1
1494979235,2,2
1494982838,2,0
1494986426,1,0
1494997229,0,1
1495000830,1,0
1495004442,2,0
1495008028,0,2
1495018828,2,1
1495022433,1,1
1495026041,3,1
1495029628,0,3
1495033228,1,1
1495036827,1,1
1495040428,2,2
1495044037,4,1
1495054828,0,2
1495058426,3,1
1495062028,10,0
1495065627,7,1
1495069228,2,4
1495076427,1,1
1495080027,0,1
1495083629,0,1
1495087227,0,1
1495098044,1,3
1495101635,2,1
1495105227,1,1
1495108831,1,2
1495112428,1,3
1495116030,1,0
1495119627,2,2
1495123230,0,2
1495126827,2,0
1495130427,1,1
1495134027,1,2
1495137627,0,2
1495141227,1,0
1495144837,1,1
1495152035,1,2
1495155627,1,3
1495159227,0,2
1495162826,1,1
1495166427,1,1
1495177227,3,1
1495180826,0,1
1495188027,0,1
1495191626,1,0
1495195227,1,1
1495198832,0,1
1495202429,1,3
1495206028,1,0
1495209629,3,0
1495213228,1,1
1495216828,1,0
1495220427,3,1
1495224027,1,0
1495227628,1,1
1495231234,3,0
1495234828,1,2
1495238428,0,3
1495242026,2,2
1495245627,2,0
1495249227,0,1
1495252827,0,2
1495256429,1,0
1495260032,2,0
1495263627,1,1
1495267232,0,2
1495270827,0,1
1495274427,1,2
1495281627,0,1
1495292427,1,3
1495296029,0,2
1495303228,1,1
1495306826,0,2
1495310427,1,1
1495314027,1,3
1495317627,1,1
1495321227,3,3
1495328427,2,1
1495332028,2,1
1495335628,6,6
1495342828,0,1
1495346427,1,3
1495350027,0,1
1495357227,1,4
1495360826,1,0
1495364427,1,1
1495368026,1,0
1495371637,1,2
1495375227,0,2
1495378827,1,4
1495382436,2,3
1495386027,3,3
1495393228,1,1
1495396829,0,1
1495400427,0,1
1495404026,4,2
1495407627,3,0
1495411230,19,1
1495414828,2,2
1495422029,1,0
1495429229,0,2
1495436427,0,1
1495440030,1,3
1495443639,2,5
1495450827,2,0
1495454427,4,0
1495458028,1,0
1495461627,0,3
1495465228,3,1
1495468827,0,2
1495472428,1,1
1495476027,0,1
1495479627,2,0
1495483226,1,0
1495486828,2,0
1495490427,1,1
1495494028,3,3
1495497628,1,3
1495501228,1,1
1495504827,3,0
1495508427,1,0
1495512028,1,0
1495519244,1,0
1495526429,0,1
1495530049,1,1
1495533628,0,2
1495540826,2,0
1495544428,0,2
1495548027,0,1
1495551629,2,1
1495555229,4,0
1495562428,0,2
1495569627,4,1
1495573228,2,1
1495576847,2,2
1495580427,4,0
1495587629,2,5
1495602028,2,3
1495605628,0,1
1495609229,1,1
1495612830,2,0
1495620028,1,0
1495623630,1,1
1495627229,2,0
1495630828,0,2
1495634428,0,1
1495638030,1,0
1495641634,1,1
1495645236,1,0
1495648829,1,3
1495652430,2,1
1495656029,1,1
1495659629,4,0
1495663228,3,1
1495666831,1,1
1495670429,4,1
1495674029,7,9
1495677628,1,1
1495681230,4,0
1495684829,3,0
1495688429,1,0
1495695647,1,0
1495699229,0,1
1495702831,2,1
1495706429,1,1
1495710054,1,0
1495713629,9,1
1495717234,1,0
1495720832,2,0
1495724450,3,2
1495728039,0,1
1495731630,1,1
1495735231,4,0
1495738831,2,2
1495742449,1,1
1495746030,0,1
1495749632,1,1
1495753229,2,5
1495756829,3,1
1495760430,3,0
1495764049,1,2
1495767629,7,2
1495771248,0,1
1495774831,0,1
1495782032,0,1
1495789229,2,1
1495803652,1,1
1495807230,1,2
1495810830,1,2
1495825746,0,2
1495828887,5,10
1495832485,5,1
1495836084,4,1
1495839683,2,4
1495843283,1,1
1495846881,2,2
1495850483,10,0
1495854076,2,0
1495857678,0,1
1495868479,0,1
1495875682,1,0
1495886467,1,0
1495890068,4,1
1495893664,0,1
1495900862,3,1
1495904459,1,0
1495908063,3,2
1495911659,0,3
1495915269,1,3
1495918849,1,1
1495922446,4,2
1495926047,0,3
1495929639,1,1
1495933238,2,0
1495936846,1,1
1495940439,0,4
1495944042,2,1
1495947636,0,1
1495951232,0,1
1495958443,3,3
1495965629,0,2
1495972829,1,1
1495976458,0,1
1495980048,2,0
1495983637,1,2
1495990838,0,1
1495994447,0,1
1495998040,0,3
1496001646,4,0
1496005239,12,1
1496008848,12,1
1496012440,9,2
1496016046,11,0
1496019635,3,4
1496023236,7,1
1496026834,3,1
1496030435,3,1
1496034048,2,1
1496037634,2,0
1496041235,2,0
1496044834,1,0
1496048433,0,1
1496055642,2,0
1496059268,1,3
1496066448,1,0
1496073631,0,1
1496077231,0,1
1496080836,1,0
1496084469,1,2
1496088074,1,1
1496091690,0,3
1496095289,1,3
1496098887,3,3
1496102487,1,2
1496106086,2,1
1496109686,0,1
1496113286,7,1
1496116885,1,0
1496120486,0,1
1496127689,0,1
1496131286,0,1
1496134884,1,1
1496138477,1,0
1496142082,0,3
1496145676,1,2
1496149273,0,1
1496152884,2,0
1496156471,3,2
1496160068,0,1
1496167275,5,2
1496170890,2,0
1496174456,1,2
1496178074,1,1
1496181671,1,1
1496185259,6,1
1496188857,1,3
1496192464,2,3
1496196085,0,2
1496199672,1,0
