DateTime,Entries,UniqueIPs
1494010876,429,429
1494014476,428,428
1494018078,428,428
1494021676,425,425
1494025276,425,425
1494028875,421,421
1494032477,421,421
1494036077,421,421
1494039676,418,418
1494043276,416,416
1494046883,417,417
1494050480,413,413
1494054077,414,414
1494057677,410,410
1494061276,412,412
1494064825,409,409
1494068438,399,399
1494075645,398,398
1494079265,398,398
1494082857,399,399
1494086461,400,400
1494090067,399,399
1494093659,399,399
1494097269,399,399
1494100865,396,396
1494104465,398,398
1494108069,397,397
1494111669,398,398
1494115270,400,400
1494118871,399,399
1494122471,399,399
1494126071,397,397
1494129672,398,398
1494133273,398,398
1494136872,397,397
1494140473,398,398
1494144073,397,397
1494151275,413,413
1494154873,412,412
1494158473,411,411
1494162071,410,410
1494165672,408,408
1494169274,409,409
1494172875,412,412
1494176475,414,414
1494180074,413,413
1494183677,412,412
1494187274,414,414
1494190874,414,414
1494194474,414,414
1494198076,412,412
1494201682,409,409
1494205281,408,408
1494208881,408,408
1494212481,420,420
1494216082,426,426
1494219681,428,428
1494223280,429,429
1494226879,429,429
1494230478,427,427
1494241280,427,427
1494244880,429,429
1494248480,427,427
1494252079,423,423
1494255679,421,421
1494259278,423,423
1494262879,424,424
1494266478,427,427
1494270079,425,425
1494273680,424,424
1494277278,426,426
1494280878,427,427
1494284477,429,429
1494288079,430,430
1494291676,431,431
1494295278,430,430
1494298877,428,428
1494302477,428,428
1494306079,430,430
1494309677,430,430
1494313274,429,429
1494316877,428,428
1494320478,426,426
1494324077,424,424
1494327678,423,423
1494331278,426,426
1494334876,428,428
1494338477,428,428
1494342079,429,429
1494349278,429,429
1494352878,430,430
1494356477,431,431
1494360079,432,432
1494363688,430,430
1494367278,430,430
1494370877,418,418
1494374477,409,409
1494378078,408,408
1494381677,409,409
1494385277,411,411
1494388876,409,409
1494399676,408,408
1494403276,409,409
1494406875,409,409
1494414074,411,411
1494417675,410,410
1494421274,411,411
1494424876,410,410
1494428476,410,410
1494432075,411,411
1494435676,410,410
1494439275,410,410
1494442875,409,409
1494446477,410,410
1494450075,411,411
1494453677,414,414
1494457275,413,413
1494460877,416,416
1494464476,416,416
1494468075,414,414
1494471673,415,415
1494475276,418,418
1494478875,417,417
1494486076,416,416
1494489675,415,415
1494493276,418,418
1494496876,418,418
1494504076,416,416
1494507676,418,418
1494511278,417,417
1494514880,421,421
1494518482,421,421
1494522077,422,422
1494525675,423,423
1494529276,424,424
1494536480,422,422
1494540079,425,425
1494547279,427,427
1494550878,428,428
1494554476,427,427
1494558036,425,425
1494561633,426,426
1494576044,427,427
1494579632,429,429
1494586829,430,430
1494590428,431,431
1494594027,428,428
1494597632,430,430
1494601253,429,429
1494612025,428,428
1494615646,426,426
1494619248,422,422
1494622826,420,420
1494626441,419,419
1494630025,420,420
1494633625,421,421
1494644453,422,422
1494648025,424,424
1494662428,425,425
1494666026,423,423
1494669630,422,422
1494676826,421,421
1494680427,422,422
1494684026,420,420
1494687627,423,423
1494694826,425,425
1494702034,426,426
1494705626,426,426
1494709227,427,427
1494712827,425,425
1494716427,426,426
1494720026,427,427
1494727227,428,428
1494730830,427,427
1494734426,426,426
1494738032,425,425
1494741636,424,424
1494745226,421,421
1494748828,420,420
1494752426,421,421
1494756026,403,403
1494766826,404,404
1494770425,405,405
1494774025,406,406
1494777626,408,408
1494781225,406,406
1494784825,403,403
1494792024,403,403
1494799225,402,402
1494802827,400,400
1494806426,402,402
1494810033,403,403
1494813625,401,401
1494817226,402,402
1494820827,401,401
1494824428,402,402
1494828027,399,399
1494831628,400,400
1494838829,401,401
1494842434,399,399
1494846028,400,400
1494849627,399,399
1494856827,399,399
1494860432,398,398
1494867633,393,393
1494871226,389,389
1494874828,387,387
1494878426,381,381
1494882026,381,381
1494885627,381,381
1494889227,383,383
1494892828,384,384
1494896427,383,383
1494903637,382,382
1494907228,381,381
1494910826,379,379
1494914426,377,377
1494918026,376,376
1494921626,375,375
1494925227,374,374
1494928825,376,376
1494932426,374,374
1494936027,374,374
1494939626,374,374
1494943231,372,372
1494946826,371,371
1494950426,372,372
1494954026,373,373
1494957630,376,376
1494964828,375,375
1494968428,376,376
1494972027,377,377
1494975627,378,378
1494979235,378,378
1494982838,380,380
1494986426,381,381
1494997229,380,380
1495000830,381,381
1495004442,383,383
1495008028,381,381
1495018828,382,382
1495022433,382,382
1495026041,384,384
1495029628,381,381
1495033228,381,381
1495036827,381,381
1495040428,381,381
1495044037,384,384
1495054828,382,382
1495058426,384,384
1495062028,394,394
1495065627,400,400
1495069228,398,398
1495076427,398,398
1495080027,397,397
1495083629,396,396
1495087227,395,395
1495098044,393,393
1495101635,394,394
1495105227,394,394
1495108831,393,393
1495112428,391,391
1495116030,392,392
1495119627,392,392
