DateTime,AddedIPs,RemovedIPs
1484496005,0,1
1484532004,0,1
1484553604,0,1
1484575204,0,1
1484614809,0,1
1484618403,1,0
1484629204,1,0
1484632804,1,0
1484668804,0,1
1484676004,1,0
1484686804,0,1
1484726404,0,1
1484737204,0,1
1484802004,0,3
1484805604,1,0
1484834405,0,1
1484856003,0,1
1484870403,1,0
1484931605,0,1
1484946004,0,1
1485082804,0,1
1485122404,0,1
1485198004,1,0
1485223203,0,1
1485226804,0,1
1485234004,0,1
1485241203,1,0
1485244804,1,0
1485262804,0,2
1485280803,0,1
1485298803,1,0
1485309604,1,0
1485396067,1,0
1485399605,1,0
1485410403,0,1
1485475203,1,1
1485489603,1,0
1485525604,0,1
1485586803,1,0
1485626403,4,0
1485730804,1,0
1485842404,1,0
1485860404,0,1
1485892804,0,1
1485903604,0,1
1485910804,1,0
1485954004,1,0
1485975604,1,0
1486004404,0,1
1486029604,0,1
1486047603,0,1
1486062003,0,1
1486076404,1,0
1486083603,1,0
1486098004,1,0
1486123204,1,0
1486155606,1,1
1486173604,0,1
1486198803,0,1
1486234804,0,4
1486252804,2,0
1486278004,1,0
1486288804,1,1
1486332004,1,0
1486335605,0,2
1486350003,1,0
1486386004,1,0
1486396804,1,0
1486404004,1,0
1486418404,1,0
1486458004,1,0
1486472404,1,0
1486508405,1,0
1486515604,0,1
1486580404,1,0
1486584003,1,0
1486591204,1,0
1486602004,1,0
1486656005,1,0
1486674004,1,0
1486688404,1,0
1486760404,0,1
1486774805,1,0
1486818005,1,0
1486864804,1,0
1486868404,1,0
1486875605,0,1
1486882804,0,1
1486936804,0,1
1486987205,1,0
1487008805,0,1
1487034005,1,1
1487067075,1,0
1487077273,1,0
1487145604,1,0
1487167205,1,0
1487185204,0,1
1487199604,1,1
1487203205,1,0
1487210405,0,1
1487250004,0,1
1487275205,0,1
1487278805,0,1
1487311204,1,0
1487340005,0,1
1487347204,0,1
1487358005,1,0
1487372405,1,0
1487376005,1,0
1487379604,0,1
1487433605,1,0
1487437205,0,1
1487440805,0,1
1487455204,1,0
1487469605,0,1
1487523605,0,1
1487541605,2,0
1487559606,1,0
1487624405,0,1
1487671205,0,1
1487682006,0,1
1487696406,0,1
1487728805,2,0
1487754005,0,1
1487757605,1,1
1487790005,0,1
1487804406,0,1
1487818805,1,1
1487833206,1,0
1487844008,1,1
1487880007,0,1
1487948407,1,0
1487962807,0,1
1487998808,1,0
1488016808,1,0
1488038408,0,1
1488042008,0,1
1488060006,0,2
1488070808,1,0
1488092407,1,0
1488124806,1,0
1488139207,1,0
1488146407,0,2
1488182406,1,0
1488211207,0,1
1488222007,0,1
1488240007,1,0
1488333607,0,1
1488337207,0,1
1488362407,0,1
1488380407,2,0
1488405608,0,1
1488420007,1,0
1488423606,1,0
1488463207,1,0
1488495605,2,0
1488556804,0,1
