DateTime,AddedIPs,RemovedIPs
1494339728,144,141
1494343328,98,132
1494346926,141,162
1494350524,120,151
1494354129,129,139
1494357724,123,130
1494361320,122,134
1494364921,112,133
1494368518,115,132
1494372114,99,109
1494375713,112,138
1494379314,110,133
1494382913,107,123
1494386521,94,147
1494390109,102,103
1494393704,94,175
1494397304,89,118
1494400906,100,110
1494404500,103,116
1494408100,103,123
1494411699,121,142
1494415304,266,132
1494418917,278,110
1494422525,312,137
1494426136,262,122
1494429741,203,104
1494433347,277,141
1494436958,250,112
1494440566,268,119
1494444175,254,119
1494447774,159,129
1494451375,144,123
1494454974,127,130
1494458584,143,109
1494462180,117,97
1494465778,115,110
1494469376,116,130
1494472975,107,138
1494476573,104,130
1494480166,102,128
1494483770,118,132
1494487372,107,138
1494490969,124,147
1494494572,88,123
1494498168,105,147
1494501768,99,127
1494505373,110,146
1494508964,122,131
1494512568,117,134
1494516169,122,133
1494519776,120,107
1494523362,139,107
1494526960,141,124
1494530563,141,118
1494534159,133,131
1494537765,115,108
1494541366,151,113
1494544960,106,129
1494548564,124,105
1494552161,113,111
1494555763,123,112
1494559368,124,123
1494562971,113,115
1494566571,108,114
1494570166,107,108
1494573764,101,133
1494577364,113,117
1494580963,113,141
1494584562,117,120
1494588166,127,119
1494591770,145,108
1494595367,191,119
1494598970,153,122
1494602573,130,120
1494606173,127,108
1494609772,130,129
1494613371,115,139
1494616972,121,145
1494620583,110,126
1494624170,130,129
1494627769,119,98
1494631372,135,107
1494634972,128,104
1494638571,119,109
1494642176,120,113
1494645776,133,100
1494649380,135,109
1494652983,125,105
1494656577,125,123
1494660180,145,115
1494663777,127,103
1494667379,132,153
1494670974,110,186
1494674570,161,158
1494678174,138,171
1494681774,155,163
1494685375,243,142
1494688981,238,161
1494692584,207,147
1494696185,168,152
1494699785,192,152
1494703386,173,149
1494706993,181,133
1494710589,159,117
1494714196,186,139
1494717795,125,128
1494721393,136,125
1494724998,137,98
1494728595,148,126
1494732202,121,124
1494735796,129,106
1494739397,128,127
1494743004,155,113
1494746604,129,121
1494750207,133,107
1494753802,130,120
1494757404,141,115
1494761002,134,145
1494764604,125,120
1494768202,129,122
1494771809,129,114
1494775406,127,115
1494779015,122,131
1494782611,132,194
1494786212,138,168
1494789805,118,150
1494793409,112,171
1494797003,120,150
1494800598,126,138
1494804208,113,114
1494807803,106,131
1494811406,161,116
1494815007,144,117
1494818604,118,119
1494822201,129,113
1494825804,109,102
1494829405,127,128
1494833003,94,110
1494836607,130,117
1494840204,121,106
1494843812,142,184
1494847410,120,179
1494851014,132,129
1494854601,117,146
1494858210,140,153
1494861799,128,96
1494865403,127,125
1494869000,128,111
1494872598,99,126
1494876200,122,114
1494879797,126,116
1494883402,105,106
1494887003,132,121
1494890599,108,121
1494894197,134,117
1494897799,115,109
1494901401,124,108
1494904999,112,95
1494908599,96,119
1494912198,111,117
1494915793,107,114
1494919396,138,93
1494922994,129,116
1494926606,151,112
1494930201,142,119
1494933818,158,113
1494937406,133,141
1494941004,143,125
1494944610,122,148
1494948207,156,113
1494951813,151,121
1494955413,144,122
1494959169,145,121
1494962629,139,125
1494966226,154,126
1494969837,139,116
1494973418,137,122
1494977023,127,107
1494980618,109,106
1494984218,122,119
1494987817,107,113
1494991416,113,98
1494995022,132,102
1494998619,111,101
1495002219,114,102
1495005816,121,110
1495009419,113,110
1495013019,126,112
1495016622,126,125
1495020216,105,210
1495023815,115,218
1495027407,134,258
1495031004,153,236
1495034596,133,246
1495038186,141,293
1495041780,125,300
1495045368,122,362
1495048956,125,361
1495052553,127,228
1495056152,134,147
1495059750,115,126
1495063353,115,150
1495066952,113,116
1495070546,121,132
1495074149,119,114
1495077740,125,121
1495081341,115,112
1495084943,124,91
1495088548,118,99
1495092149,133,117
1495095744,122,130
1495099349,108,100
1495102948,126,115
1495106553,116,118
1495110155,105,106
1495113746,106,130
1495117350,141,120
1495120951,127,131
1495124556,121,127
1495128161,148,137
1495131755,116,127
1495135353,132,122
1495138957,116,127
1495142558,126,108
1495146149,143,135
1495149754,149,110
1495153352,130,119
1495156951,127,107
1495160554,128,116
1495164152,130,124
1495167753,131,110
1495171354,130,103
1495174954,127,118
1495178557,131,104
1495182157,117,107
1495185757,121,107
1495189358,131,118
1495192960,125,130
1495196562,186,136
1495200163,240,186
1495203774,217,145
1495207380,221,132
1495210988,168,126
1495214588,171,116
1495218174,176,116
1495221803,202,120
1495225407,206,85
1495229012,193,122
1495232614,198,103
1495236223,213,121
1495239826,220,125
1495243426,207,103
1495247023,173,121
1495250627,184,123
1495254227,138,125
1495257827,144,105
1495261424,153,124
1495265026,145,139
1495268634,170,123
1495272231,174,132
1495275831,100,126
1495279433,126,138
1495283029,115,141
1495286627,122,141
1495290222,127,188
1495293820,130,207
1495297417,118,182
1495301015,140,159
1495304616,126,163
1495308211,131,176
1495311808,110,160
1495315408,132,159
1495319005,117,165
1495322604,125,137
1495326205,116,128
1495329801,100,134
1495333404,136,135
1495337003,99,126
1495340600,131,114
1495344205,121,126
1495347804,110,153
1495351396,111,133
1495354995,114,128
1495358602,127,139
1495362196,116,138
1495365799,123,142
1495369392,103,122
1495372988,104,133
1495376593,124,136
1495380198,105,129
1495383792,113,131
1495387389,134,131
1495390988,110,137
1495394593,116,129
1495398190,102,117
1495401788,94,120
1495405382,95,141
1495408984,84,116
1495412585,93,114
1495416178,102,162
1495419775,101,141
1495423375,91,110
1495426974,99,117
1495430577,101,118
1495434170,82,117
1495437769,92,110
1495441380,257,132
1495444988,296,106
1495448590,203,120
1495452193,118,120
1495455791,103,124
1495459394,106,129
