DateTime,AddedIPs,RemovedIPs
1494138042,95,115
1494141662,106,113
1494145253,116,91
1494148856,103,105
1494152450,108,120
1494156046,129,108
1494159647,109,108
1494163236,96,116
1494166849,108,109
1494170451,97,103
1494174049,125,88
1494177659,180,125
1494181253,159,118
1494184863,126,100
1494188466,135,98
1494192064,135,111
1494195671,120,104
1494199271,89,114
1494202873,100,107
1494206465,74,96
1494210064,101,86
1494213655,107,102
1494217257,88,103
1494220858,89,91
1494224455,94,102
1494228063,98,105
1494231653,97,97
1494235254,90,108
1494238862,213,95
1494242472,230,97
1494246076,149,106
1494249667,121,99
1494253273,128,117
1494256872,81,102
1494260472,93,105
1494264076,93,97
1494267679,94,112
1494271280,88,95
1494274878,86,110
1494278477,92,102
1494282079,100,92
1494285674,107,112
1494289269,92,100
1494292870,86,85
1494296471,91,99
1494300061,83,109
1494303660,94,117
1494307264,103,96
1494310856,89,92
1494314461,91,104
1494318060,90,106
1494321659,101,108
1494325256,94,131
1494328855,101,105
1494332463,122,108
1494336060,106,95
1494339656,115,123
1494343255,83,106
1494346854,108,138
1494350455,95,128
1494354056,110,118
1494357657,101,113
1494361254,105,115
1494364856,100,116
1494368455,94,117
1494372052,93,97
1494375649,94,105
1494379243,90,112
1494382845,89,103
1494386451,82,128
1494390043,98,92
1494393638,81,160
1494397235,83,103
1494400846,87,103
1494404437,90,107
1494408038,93,112
1494411639,100,131
1494415235,249,112
1494418854,268,102
1494422462,284,119
1494426070,242,108
1494429675,194,91
1494433283,259,123
1494436897,229,98
1494440503,253,100
1494444113,226,107
1494447709,130,120
1494451308,122,114
1494454909,108,123
1494458518,126,99
1494462135,97,89
1494465710,101,103
1494469307,98,105
1494472903,96,121
1494476508,95,123
1494480105,94,122
1494483699,100,109
1494487304,98,133
1494490897,116,135
1494494513,80,112
1494498107,94,132
1494501704,88,105
1494505305,109,115
1494508893,100,120
1494512500,104,121
1494516106,106,105
1494519713,105,97
1494523311,122,89
1494526904,118,106
1494530501,125,102
1494534099,117,110
1494537703,103,98
1494541302,127,102
1494544893,92,112
1494548491,107,103
1494552093,91,96
1494555694,109,98
1494559292,100,107
1494562899,101,99
1494566508,91,93
1494570094,98,94
1494573692,94,115
1494577280,101,99
1494580879,99,126
1494584493,105,102
1494588095,106,108
1494591697,129,97
1494595301,163,106
1494598906,132,94
1494602500,107,105
1494606101,113,97
1494609701,111,111
1494613312,93,117
1494616905,112,126
1494620516,98,110
1494624128,118,114
1494627700,114,92
1494631299,129,100
