DateTime,Entries,UniqueIPs
1494354056,21307,21307
1494357657,21295,21295
1494361254,21285,21285
1494364856,21269,21269
1494368455,21246,21246
1494372052,21242,21242
1494375649,21231,21231
1494379243,21209,21209
1494382845,21195,21195
1494386451,21149,21149
1494390043,21155,21155
1494393638,21076,21076
1494397235,21056,21056
1494400846,21040,21040
1494404437,21023,21023
1494408038,21004,21004
1494411639,20973,20973
1494415235,21110,21110
1494418854,21276,21276
1494422462,21441,21441
1494426070,21575,21575
1494429675,21678,21678
1494433283,21814,21814
1494436897,21945,21945
1494440503,22098,22098
1494444113,22217,22217
1494447709,22227,22227
1494451308,22235,22235
1494454909,22220,22220
1494458518,22247,22247
1494462135,22255,22255
1494465710,22253,22253
1494469307,22246,22246
1494472903,22221,22221
1494476508,22193,22193
1494480105,22165,22165
1494483699,22156,22156
1494487304,22121,22121
1494490897,22102,22102
1494494513,22070,22070
1494498107,22032,22032
1494501704,22015,22015
1494505305,22009,22009
1494508893,21989,21989
1494512500,21972,21972
1494516106,21973,21973
1494519713,21981,21981
1494523311,22014,22014
1494526904,22026,22026
1494530501,22049,22049
1494534099,22056,22056
1494537703,22061,22061
1494541302,22086,22086
1494544893,22066,22066
1494548491,22070,22070
1494552093,22065,22065
1494555694,22076,22076
1494559292,22069,22069
1494562899,22071,22071
1494566508,22069,22069
1494570094,22073,22073
1494573692,22052,22052
1494577280,22054,22054
1494580879,22027,22027
1494584493,22030,22030
1494588095,22028,22028
1494591697,22060,22060
1494595301,22117,22117
1494598906,22155,22155
1494602500,22157,22157
1494606101,22173,22173
1494609701,22173,22173
1494613312,22149,22149
1494616905,22135,22135
1494620516,22123,22123
1494624128,22127,22127
1494627700,22149,22149
1494631299,22178,22178
1494634899,22198,22198
1494638502,22211,22211
1494642109,22224,22224
1494645711,22261,22261
1494649328,22297,22297
1494652920,22318,22318
1494656515,22329,22329
1494660116,22365,22365
1494663707,22394,22394
1494667312,22391,22391
1494670908,22332,22332
1494674503,22350,22350
1494678104,22329,22329
1494681703,22328,22328
1494685303,22412,22412
1494688909,22493,22493
1494692511,22553,22553
1494696113,22575,22575
1494699723,22622,22622
1494703325,22654,22654
1494706927,22700,22700
1494710526,22744,22744
1494714130,22800,22800
1494717727,22814,22814
1494721325,22819,22819
1494724931,22873,22873
1494728531,22910,22910
1494732135,22908,22908
1494735733,22938,22938
1494739333,22950,22950
1494742941,22996,22996
1494746533,23002,23002
1494750145,23033,23033
1494753740,23042,23042
1494757340,23072,23072
1494760939,23057,23057
1494764541,23071,23071
1494768144,23084,23084
1494771750,23102,23102
1494775353,23122,23122
1494778970,23116,23116
1494782572,23068,23068
1494786165,23047,23047
1494789762,23017,23017
1494793368,22976,22976
1494796956,22952,22952
1494800545,22955,22955
1494804153,22960,22960
1494807743,22952,22952
1494811349,23008,23008
1494814950,23041,23041
1494818551,23045,23045
1494822154,23060,23060
1494825744,23062,23062
1494829352,23066,23066
1494832953,23052,23052
1494836553,23065,23065
1494840156,23090,23090
1494843766,23054,23054
1494847363,23001,23001
1494850969,23006,23006
1494854558,22991,22991
1494858171,22990,22990
1494861767,23026,23026
1494865368,23056,23056
1494868965,23090,23090
1494872558,23080,23080
1494876160,23102,23102
1494879762,23128,23128
1494883358,23135,23135
1494886962,23161,23161
1494890562,23156,23156
1494894169,23186,23186
1494897766,23200,23200
1494901370,23217,23217
1494904958,23244,23244
1494908554,23243,23243
1494912155,23238,23238
1494915757,23247,23247
1494919351,23290,23290
1494922950,23309,23309
1494926559,23347,23347
1494930159,23363,23363
1494933776,23396,23396
1494937367,23385,23385
1494940964,23406,23406
1494944565,23393,23393
1494948171,23430,23430
1494951773,23464,23464
1494955384,23496,23496
1494962609,23542,23542
1494966200,23560,23560
1494969811,23567,23567
1494973391,23592,23592
1494976990,23604,23604
1494980585,23602,23602
1494984182,23607,23607
1494987778,23609,23609
1494991374,23622,23622
1494994990,23648,23648
1494998578,23660,23660
1495002178,23671,23671
1495005777,23674,23674
1495009377,23673,23673
1495012981,23690,23690
1495016584,23706,23706
1495020177,23607,23607
1495023776,23500,23500
1495027365,23373,23373
1495030969,23290,23290
1495034554,23167,23167
1495038139,23012,23012
1495041746,22835,22835
1495045340,22610,22610
1495048930,22376,22376
1495052529,22299,22299
1495056127,22293,22293
1495059725,22293,22293
1495063329,22266,22266
1495066928,22273,22273
1495070521,22262,22262
1495074122,22266,22266
1495077709,22265,22265
1495081308,22262,22262
1495084914,22288,22288
1495088516,22305,22305
1495092124,22316,22316
1495095713,22306,22306
1495099324,22313,22313
1495102913,22324,22324
1495106524,22313,22313
1495110115,22314,22314
1495113706,22306,22306
1495117304,22309,22309
1495120909,22299,22299
1495124514,22298,22298
1495128121,22310,22310
1495131717,22302,22302
1495135316,22314,22314
1495138920,22305,22305
1495142520,22325,22325
1495146120,22346,22346
1495149720,22367,22367
1495153319,22381,22381
1495156913,22402,22402
1495160517,22419,22419
1495164126,22440,22440
1495167717,22468,22468
1495171318,22500,22500
1495174917,22506,22506
1495178508,22530,22530
1495182121,22547,22547
1495185720,22564,22564
1495189330,22577,22577
1495192931,22585,22585
1495196533,22631,22631
1495200133,22690,22690
1495203742,22770,22770
1495207355,22858,22858
1495210963,22906,22906
1495214562,22947,22947
1495218196,23007,23007
1495221778,23084,23084
1495225382,23192,23192
1495228986,23262,23262
1495232588,23350,23350
1495236197,23421,23421
1495239791,23501,23501
1495243386,23591,23591
1495246983,23644,23644
1495250589,23703,23703
1495254188,23709,23709
1495257791,23744,23744
1495261391,23770,23770
1495264991,23779,23779
1495268600,23810,23810
1495272205,23838,23838
1495275791,23817,23817
1495279394,23803,23803
1495282994,23773,23773
1495286593,23757,23757
1495290189,23696,23696
1495293787,23617,23617
1495297385,23543,23543
1495300979,23521,23521
1495304589,23474,23474
1495308178,23421,23421
1495311773,23366,23366
1495315371,23333,23333
1495318967,23280,23280
1495322563,23262,23262
1495326160,23237,23237
1495329759,23200,23200
1495333359,23184,23184
1495336960,23150,23150
1495340559,23156,23156
1495344167,23140,23140
1495347765,23102,23102
1495351361,23082,23082
1495354959,23062,23062
1495358571,23048,23048
1495362164,23024,23024
1495365765,22999,22999
1495369353,22981,22981
1495372948,22949,22949
1495376554,22932,22932
1495380154,22906,22906
1495383750,22883,22883
1495387348,22882,22882
1495390952,22843,22843
1495394554,22813,22813
1495398145,22793,22793
1495401745,22768,22768
1495405341,22719,22719
1495408943,22690,22690
1495412541,22669,22669
1495416132,22604,22604
1495419727,22556,22556
1495423332,22534,22534
1495426929,22522,22522
1495430537,22509,22509
1495434131,22477,22477
1495437728,22458,22458
1495441347,22586,22586
1495444951,22763,22763
1495448556,22834,22834
1495452156,22833,22833
1495455746,22813,22813
1495459345,22789,22789
1495462934,22739,22739
1495466533,22705,22705
1495470136,22675,22675
1495473744,22638,22638
1495477337,22637,22637
1495480941,22617,22617
1495484548,22583,22583
1495488166,22556,22556
1495491758,22551,22551
1495495337,22528,22528
1495498925,22489,22489
1495502523,22446,22446
1495506123,22395,22395
1495509719,22347,22347
1495513312,22312,22312
1495516912,22286,22286
1495520503,22229,22229
1495524099,22138,22138
1495527689,22067,22067
1495531288,21989,21989
1495538507,21835,21835
1495542073,21785,21785
1495545670,21699,21699
1495549272,21623,21623
1495552904,21541,21541
1495556492,21434,21434
1495560110,21359,21359
1495563661,21260,21260
1495567259,21197,21197
1495570850,21137,21137
1495574484,21112,21112
1495578052,21059,21059
1495581650,21073,21073
1495585253,21079,21079
1495588867,21065,21065
1495592460,21033,21033
1495596048,21027,21027
1495599646,21004,21004
1495603254,20988,20988
1495606867,20976,20976
1495610484,20961,20961
1495614036,20947,20947
1495617628,20895,20895
1495621227,20853,20853
1495624865,20844,20844
1495628431,20827,20827
1495632023,20813,20813
1495635624,20805,20805
1495639255,20789,20789
1495642834,20742,20742
1495646430,20753,20753
1495650030,20739,20739
1495653662,20744,20744
1495657230,20748,20748
1495660827,20746,20746
1495664430,20738,20738
1495668057,20735,20735
1495671630,20727,20727
1495675219,20723,20723
1495678818,20712,20712
1495682437,20706,20706
1495686040,20689,20689
1495689627,20680,20680
1495693454,20681,20681
1495696886,20667,20667
1495700441,20680,20680
1495704012,20690,20690
1495707609,20653,20653
1495711211,20651,20651
1495715014,20655,20655
1495718595,20659,20659
1495722017,20652,20652
1495725620,20657,20657
1495729215,20668,20668
1495732823,20679,20679
1495736446,20707,20707
1495740027,20746,20746
1495743660,20784,20784
1495747228,20826,20826
1495750830,20843,20843
1495754431,20907,20907
1495758067,20933,20933
1495761854,20939,20939
1495765262,20969,20969
1495768825,20974,20974
1495772427,21007,21007
1495776030,21029,21029
1495779669,21039,21039
1495783269,21058,21058
1495786842,21054,21054
1495790434,21066,21066
1495794038,21110,21110
1495797658,21121,21121
1495801242,21102,21102
1495804829,21035,21035
1495808438,20998,20998
1495825861,20955,20955
1495830021,20416,20416
1495833587,20363,20363
1495837174,20294,20294
1495840769,20223,20223
1495844401,20144,20144
1495847983,20116,20116
1495851567,20097,20097
1495855171,20065,20065
1495858792,20070,20070
1495862386,20097,20097
1495865959,20089,20089
1495869561,20054,20054
1495873167,20027,20027
1495876794,20028,20028
1495880378,20029,20029
1495883972,20002,20002
1495887580,20013,20013
1495891191,20016,20016
1495894780,20002,20002
1495898367,19971,19971
1495901959,19974,19974
1495905585,19979,19979
1495909188,19994,19994
1495912780,20013,20013
1495916373,20013,20013
1495919980,20007,20007
1495923584,20006,20006
1495927174,19996,19996
1495930769,20002,20002
1495934387,20023,20023
1495937986,20032,20032
1495941583,20051,20051
1495945174,20048,20048
1495948771,20048,20048
1495952370,20044,20044
1495955976,20049,20049
1495959562,20051,20051
1495963164,20054,20054
1495966773,20058,20058
1495970379,20036,20036
1495973973,20049,20049
1495977597,20071,20071
1495981202,20065,20065
1495984768,20093,20093
1495988371,20089,20089
1495991969,20075,20075
1495995734,20105,20105
1495999263,20110,20110
1496002783,20143,20143
1496006373,20126,20126
1496009974,20140,20140
1496013591,20163,20163
1496017194,20179,20179
1496020807,20168,20168
1496024369,20173,20173
1496027969,20154,20154
1496031570,20148,20148
1496035202,20142,20142
1496038930,20141,20141
1496042390,20137,20137
1496045967,20051,20051
1496049565,19899,19899
1496053159,19792,19792
1496056789,19776,19776
1496060462,19772,19772
1496064130,19779,19779
1496067554,19805,19805
1496071150,19811,19811
1496074751,19818,19818
1496078376,19824,19824
1496081959,19863,19863
1496085575,19903,19903
1496089219,19964,19964
1496092765,19986,19986
1496096365,20016,20016
1496100001,20032,20032
1496103754,20047,20047
1496107200,20084,20084
1496110766,20116,20116
1496114370,20133,20133
1496117967,20167,20167
1496121604,20217,20217
1496125177,20243,20243
1496128805,20286,20286
1496132373,20294,20294
1496135979,20345,20345
1496139580,20366,20366
1496143217,20404,20404
1496146791,20442,20442
1496150425,20489,20489
1496154032,20520,20520
1496157591,20559,20559
1496161197,20616,20616
1496164799,20637,20637
1496168439,20664,20664
1496172041,20678,20678
