DateTime,AddedIPs,RemovedIPs
1494378109,2,4
1494381710,1,1
1494385310,3,4
1494388908,2,1
1494392507,2,3
1494396108,3,2
1494399708,6,5
1494403308,3,3
1494406908,7,8
1494410509,6,8
1494414108,4,5
1494417709,5,9
1494421307,8,9
1494424908,6,7
1494428508,3,7
1494432107,5,8
1494435708,12,10
1494439305,7,2
1494442904,6,5
1494446505,3,2
1494450103,2,6
1494453706,8,1
1494457304,1,5
1494460904,3,2
1494464503,1,3
1494468102,2,4
1494471697,0,4
1494475300,4,2
1494478902,2,2
1494482499,4,9
1494486103,5,4
1494489699,5,4
1494493302,1,2
1494496899,2,9
1494500501,3,3
1494504097,3,5
1494507701,5,3
1494511301,3,7
1494514904,11,4
1494518507,7,3
1494522098,4,8
1494525702,1,2
1494529300,6,8
1494532902,5,6
1494536504,12,3
1494540100,6,5
1494543703,2,1
1494547300,2,3
1494550896,2,3
1494554465,3,4
1494558063,2,0
1494561662,2,5
1494565263,5,28
1494568862,2,3
1494572461,1,6
1494576061,7,6
1494579660,2,5
1494583260,4,8
1494586861,2,3
1494590460,4,5
1494594058,4,8
1494597706,7,7
1494601306,4,7
1494604907,4,7
1494608508,4,5
1494612104,10,7
1494615705,6,15
1494619304,3,6
1494622888,6,3
1494626510,2,5
1494630109,0,1
1494633710,4,5
1494637308,4,5
1494640908,0,3
1494644509,7,5
1494648097,2,7
1494651711,7,5
1494655310,3,2
1494658914,1,2
1494662513,6,6
1494666109,2,4
1494669712,3,3
1494673309,4,5
1494676907,7,8
1494680512,1,11
1494684108,4,7
1494687710,9,26
1494691307,3,31
1494694906,5,11
1494698506,4,5
1494702108,4,3
1494705707,3,4
1494709305,8,8
1494712905,2,3
1494716506,4,5
1494720103,3,1
1494723705,0,4
1494727252,1,3
1494730854,2,4
1494734453,1,2
1494738054,4,3
1494741652,6,5
1494745252,4,3
1494748852,3,7
1494752452,2,7
1494756053,6,5
1494759651,10,12
1494763251,2,6
1494766855,8,15
1494770452,7,5
1494774053,6,7
1494777653,1,4
1494781253,5,2
1494784851,0,7
1494788452,8,11
1494792054,1,3
1494795651,4,11
1494799252,7,2
1494802851,2,6
1494806452,3,4
1494810052,2,6
1494813652,9,3
1494817254,1,7
1494820854,0,1
1494824452,3,1
1494828055,5,3
1494831653,0,6
1494835255,1,4
1494838854,1,4
1494842453,4,2
1494846054,2,7
1494849661,2,7
1494853253,6,3
1494856852,2,10
1494860451,2,2
1494864054,5,8
1494867652,8,9
1494871251,5,4
1494874852,4,5
1494878454,2,5
1494882053,4,2
1494885653,4,5
1494889256,6,1
1494892850,1,3
1494896451,0,4
1494900052,2,3
1494903652,3,1
1494907252,3,5
1494910852,1,0
1494914452,2,3
1494918052,2,4
1494921653,5,4
1494925253,4,0
1494928851,1,4
1494932460,0,6
1494936051,3,4
1494939652,1,2
1494943252,4,4
1494946851,5,5
1494950452,7,7
1494954052,6,6
1494957660,4,4
1494961257,3,5
1494964851,0,8
1494968452,1,3
1494972050,3,6
1494975651,0,3
1494979251,3,3
1494982850,4,2
1494986451,3,1
1494990050,1,5
1494993652,5,2
1494997251,3,3
1495000851,4,2
1495004452,3,5
1495008053,4,3
1495011653,6,3
1495015252,5,8
1495018851,7,4
1495022454,0,3
1495026051,4,5
1495029653,27,8
1495033253,2,6
1495036860,2,3
1495040452,3,9
1495044052,11,8
1495047651,4,6
1495051255,3,3
1495054852,8,3
1495058452,5,6
1495062052,4,2
1495065653,2,5
1495069250,0,5
1495072853,1,1
1495076450,0,1
1495080051,5,2
1495083654,2,2
1495087254,3,4
1495090853,2,3
1495094452,7,5
1495098052,4,2
1495101652,4,4
1495105252,0,5
1495108852,3,2
1495112452,5,1
1495116053,1,2
1495119651,3,12
1495123251,5,8
1495126851,3,5
1495130451,4,3
1495134052,3,6
1495137651,0,5
1495141253,6,10
1495144851,3,7
1495148450,2,2
1495152052,3,2
1495155650,1,1
1495159251,4,1
1495162851,3,2
1495166452,7,2
1495170050,0,5
1495173651,0,3
1495177250,1,3
1495180850,4,3
1495184450,5,2
1495188051,4,5
1495191650,2,3
1495195251,2,3
1495198851,6,4
1495202451,7,7
1495206051,6,7
1495209652,3,7
1495213253,4,3
1495216851,4,10
1495220452,2,6
1495224051,3,0
1495227657,2,6
1495231251,4,5
1495234852,6,2
1495238453,7,3
1495242054,3,4
1495245650,3,2
1495249251,0,3
1495252851,2,2
1495256451,2,7
1495260051,0,2
1495263650,4,4
1495267251,3,7
1495270852,1,2
1495274451,3,4
1495278054,4,3
1495281650,5,4
1495285251,4,3
1495288851,2,3
1495292451,4,7
1495296054,1,4
