DateTime,Entries,UniqueIPs
1494349310,1066,1066
1494352909,1064,1064
1494356509,1055,1055
1494360109,1056,1056
1494363719,1054,1054
1494367309,1057,1057
1494370908,1058,1058
1494374509,1056,1056
1494378109,1054,1054
1494381710,1054,1054
1494385310,1053,1053
1494388908,1054,1054
1494392507,1053,1053
1494396108,1054,1054
1494399708,1055,1055
1494403308,1055,1055
1494406908,1054,1054
1494410509,1052,1052
1494414108,1051,1051
1494417709,1047,1047
1494421307,1046,1046
1494424908,1045,1045
1494428508,1041,1041
1494432107,1038,1038
1494435708,1040,1040
1494439305,1045,1045
1494442904,1046,1046
1494446505,1047,1047
1494450103,1043,1043
1494453706,1050,1050
1494457304,1046,1046
1494460904,1047,1047
1494464503,1045,1045
1494468102,1043,1043
1494471697,1039,1039
1494475300,1041,1041
1494478902,1041,1041
1494482499,1036,1036
1494486103,1037,1037
1494489699,1038,1038
1494493302,1037,1037
1494496899,1030,1030
1494500501,1030,1030
1494504097,1028,1028
1494507701,1030,1030
1494511301,1026,1026
1494514904,1033,1033
1494518507,1037,1037
1494522098,1033,1033
1494525702,1032,1032
1494529300,1030,1030
1494532902,1029,1029
1494536504,1038,1038
1494540100,1039,1039
1494543703,1040,1040
1494547300,1039,1039
1494550896,1038,1038
1494554465,1037,1037
1494558063,1039,1039
1494561662,1036,1036
1494565263,1013,1013
1494568862,1012,1012
1494572461,1007,1007
1494576061,1008,1008
1494579660,1005,1005
1494583260,1001,1001
1494586861,1000,1000
1494590460,999,999
1494594058,995,995
1494597706,995,995
1494601306,992,992
1494604907,989,989
1494608508,988,988
1494612104,991,991
1494615705,982,982
1494619304,979,979
1494622888,982,982
1494626510,979,979
1494630109,978,978
1494633710,977,977
1494637308,976,976
1494640908,973,973
1494644509,975,975
1494648097,970,970
1494651711,972,972
1494655310,973,973
1494658914,972,972
1494662513,972,972
1494666109,970,970
1494669712,970,970
1494673309,969,969
1494676907,968,968
1494680512,958,958
1494684108,955,955
1494687710,938,938
1494691307,910,910
1494694906,904,904
1494698506,903,903
1494702108,904,904
1494705707,903,903
1494709305,903,903
1494712905,902,902
1494716506,901,901
1494720103,903,903
1494723705,899,899
1494727252,897,897
1494730854,895,895
1494734453,894,894
1494738054,895,895
1494741652,896,896
1494745252,897,897
1494748852,893,893
1494752452,888,888
1494756053,889,889
1494759651,887,887
1494763251,883,883
1494766855,876,876
1494770452,878,878
1494774053,877,877
1494777653,874,874
1494781253,877,877
1494784851,870,870
1494788452,867,867
1494792054,865,865
1494795651,858,858
1494799252,863,863
1494802851,859,859
1494806452,858,858
1494810052,854,854
1494813652,860,860
1494817254,854,854
1494820854,853,853
1494824452,855,855
1494828055,857,857
1494831653,851,851
1494835255,848,848
1494838854,845,845
1494842453,847,847
1494846054,842,842
1494849661,837,837
1494853253,840,840
1494856852,832,832
1494860451,832,832
1494864054,829,829
1494867652,828,828
1494871251,829,829
1494874852,828,828
1494878454,825,825
1494882053,827,827
1494885653,826,826
1494889256,831,831
1494892850,829,829
1494896451,825,825
1494900052,824,824
1494903652,826,826
1494907252,824,824
1494910852,825,825
1494914452,824,824
1494918052,822,822
1494921653,823,823
1494925253,827,827
1494928851,824,824
1494932460,818,818
1494936051,817,817
