DateTime,Entries,UniqueIPs
1494375363,7007,7007
1494377283,6995,6995
1494379208,7004,7004
1494384963,6982,6982
1494388813,6998,6998
1494390723,6996,6996
1494394803,7027,7027
1494398883,7028,7028
1494402722,7036,7036
1494406562,7042,7042
1494410643,7047,7047
1494412569,7050,7050
1494416404,7056,7056
1494420243,7068,7068
1494424323,7063,7063
1494428163,7062,7062
1494432006,7071,7071
1494434162,7089,7089
1494438074,7088,7088
1494441842,7080,7080
1494445683,7071,7071
1494447604,7079,7079
1494449522,7070,7070
1494453611,7052,7052
1494455526,7007,7007
1494459362,7009,7009
1494463204,6995,6995
1494467043,6992,6992
1494470882,6981,6981
1494474723,6980,6980
1494480484,6966,6966
1494482412,6986,6986
1494486242,6993,6993
1494488163,6994,6994
1494493924,7009,7009
1494497763,6995,6995
1494499690,7002,7002
1494503523,7007,7007
1494507843,6998,6998
1494509762,7007,7007
1494513603,7014,7014
1494517443,7027,7027
1494521283,7028,7028
1494527042,7035,7035
1494528963,7035,7035
1494532809,7034,7034
1494536882,7010,7010
1494538802,6995,6995
1494543122,6961,6961
1494547209,6973,6973
1494551042,6964,6964
1494552962,6963,6963
1494556803,6955,6955
1494560642,6946,6946
1494564484,6947,6947
1494568323,6958,6958
1494572163,6961,6961
1494577923,6954,6954
1494582243,6981,6981
1494586082,6982,6982
1494589923,7001,7001
1494593764,7008,7008
1494597610,7015,7015
1494599523,7023,7023
1494603363,7038,7038
1494607203,7049,7049
1494611042,7033,7033
1494616802,7034,7034
1494618723,7059,7059
1494622563,7052,7052
1494626406,7059,7059
1494628322,7007,7007
1494632162,6994,6994
1494636004,6992,6992
1494639842,6993,6993
1494643683,6970,6970
1494649442,6971,6971
1494651363,6969,6969
1494655207,6991,6991
1494659042,7005,7005
1494660962,7011,7011
1494664804,7018,7018
1494668646,7027,7027
1494672725,7025,7025
1494676564,7037,7037
1494678733,7038,7038
1494682564,7066,7066
1494686404,7074,7074
1494688324,7038,7038
1494690243,7072,7072
1494694322,7063,7063
1494698164,7058,7058
1494702005,7077,7077
1494703922,7048,7048
1494706084,7058,7058
1494708003,7049,7049
1494713763,7047,7047
1494715682,7019,7019
1494719522,7024,7024
1494721923,7005,7005
1494725762,7011,7011
1494727683,6982,6982
1494735603,6982,6982
1494737523,6966,6966
1494741362,6985,6985
1494745205,6989,6989
1494747122,6994,6994
1494751443,6996,6996
1494755282,6995,6995
1494759122,6997,6997
1494762962,7002,7002
1494766810,7020,7020
