DateTime,AddedIPs,RemovedIPs
1494619209,0,1
1494624909,0,2
1494627609,0,1
1494635109,0,1
1494645911,0,1
1494674108,0,2
1494685209,0,1
1494685510,0,1
1494690909,0,1
1494695108,0,1
1494706809,0,1
1494726608,0,1
1494730508,0,1
1494755708,0,1
1494774310,0,1
1494792009,0,1
1494841509,0,2
1494864009,0,1
1494867909,0,1
1494869408,0,1
1494872109,14,0
1494872410,17,0
1494875109,3,0
1494880808,0,1
1494900008,0,1
1494903909,0,1
1494949809,0,1
1494957010,0,1
1494967809,0,1
1494968109,35,0
1494968409,15,0
1494968708,6,0
1494969010,46,1
1494969308,25,0
1494970508,28,0
1494970809,22,0
1494971709,22,0
1494972309,28,0
1494973208,26,0
1494991208,0,1
1494991510,0,1
1494992408,0,1
1494996908,0,1
1495023309,42,0
1495024208,6,0
1495031710,16,1
1495032008,10,0
1495034109,0,3
1495034408,0,1
1495034708,0,1
1495035009,0,1
1495035310,0,1
1495035909,0,1
1495036208,0,1
1495036508,0,2
1495036808,0,1
1495037109,0,1
1495037409,0,3
1495038010,0,1
1495038910,0,1
1495039808,0,1
1495048508,0,1
1495054208,0,2
1495054508,0,1
1495055109,0,1
1495055409,0,1
1495076409,0,1
1495077009,0,1
1495085409,0,1
1495090208,0,1
1495090509,0,2
1495090809,0,1
1495122309,0,3
1495122608,0,4
1495122909,0,3
1495123209,0,2
1495123509,0,1
1495123809,0,3
1495124109,0,2
1495124409,0,3
1495124709,0,2
1495125009,0,1
1495125609,0,3
1495130409,0,1
1495131008,0,2
1495131309,0,2
1495131609,0,1
1495133109,0,1
1495134309,0,1
1495142409,0,1
1495142714,0,1
1495143609,0,1
1495158908,0,2
1495159209,0,4
1495159509,0,4
1495159809,0,4
1495160109,0,3
1495160409,0,3
1495160709,0,1
1495166708,0,1
1495182909,0,2
1495183208,0,1
1495196409,0,1
1495199109,0,3
1495199409,0,1
1495204508,0,1
1495204808,0,1
1495205409,0,1
1495206008,0,1
1495207510,0,1
1495207809,0,1
1495245909,0,1
1495246508,0,1
1495247409,0,1
1495249809,0,1
1495254009,0,2
1495265409,0,1
1495267210,0,1
1495267809,0,1
1495269308,0,1
1495276210,0,1
1495277708,0,1
1495282809,0,1
1495287010,0,2
1495288508,0,1
1495315510,0,1
1495320009,0,3
1495330209,0,1
1495341909,0,1
1495345509,0,1
1495359909,0,2
1495360209,0,1
1495360808,0,1
1495361109,0,1
1495362008,0,1
1495362908,0,1
1495368909,0,1
1495370109,0,1
1495372209,0,2
1495373708,35,0
1495375208,99,0
1495375508,1,1
1495376409,2,0
1495377309,0,1
1495377909,0,2
1495378208,0,1
1495378809,29,1
1495379108,23,2
1495379408,16,1
1495379709,1,2
1495380009,6,1
1495380309,0,2
1495380609,1,2
1495380908,20,2
1495381208,22,3
1495381508,7,1
1495381808,14,2
1495382108,8,2
1495384210,5,0
1495384509,9,0
1495385109,17,0
1495386008,18,0
1495387508,16,0
1495387811,33,0
1495388709,11,0
1495389909,0,1
1495390508,21,0
1495390808,38,0
1495392009,1,0
1495395610,0,1
1495412709,1,0
1495413309,0,2
1495413609,0,2
1495419009,0,1
1495419910,0,1
1495420809,0,1
1495421109,0,1
1495466409,0,4
1495473308,0,1
1495473608,0,1
1495474809,0,2
1495475110,0,1
1495475708,0,1
1495482009,0,1
1495482608,0,1
1495484108,0,1
1495487711,14,0
1495488310,17,0
1495488909,5,2
1495489208,0,1
1495490111,61,3
1495502710,0,1
1495509308,0,1
1495512309,0,1
1495512909,0,3
1495513809,0,2
1495514108,0,2
1495514409,0,1
1495519809,0,1
1495522809,0,1
1495523109,0,2
1495527608,0,1
1495528208,0,1
1495536608,0,1
1495555209,0,1
1495559108,0,1
1495559409,0,2
1495560009,0,1
1495562409,23,0
1495563308,0,1
1495564512,3,1
1495564809,0,6
1495565408,19,1
1495565708,7,0
1495566009,8,0
1495566310,0,1
1495582808,0,1
1495586109,0,1
1495611909,0,1
1495617609,0,1
1495628410,0,1
1495629009,0,1
1495630809,12,0
1495632310,51,0
1495632908,12,0
1495633209,0,1
1495651509,0,1
1495653008,0,1
1495655408,0,1
1495659308,0,1
1495660809,0,1
1495680008,0,1
1495705510,0,1
1495723808,0,1
1495726809,0,1
1495728309,0,1
1495729209,0,4
1495729508,0,5
1495730409,0,1
1495732208,3,0
1495735509,0,1
1495743608,5,0
1495743909,8,0
1495745110,0,1
1495746608,0,1
1495749610,10,0
1495752008,0,1
1495752609,30,0
1495753208,27,0
1495753809,41,0
1495754714,23,0
1495755309,20,0
1495755909,0,1
1495756210,0,1
1495756808,0,1
1495758009,0,1
1495758312,0,1
1495760110,0,1
1495761308,0,1
1495762808,0,1
1495766409,0,1
1495766709,0,1
1495767008,0,1
1495767308,0,1
1495768509,0,1
1495768809,0,1
1495777808,0,1
1495778109,0,1
1495785309,0,1
1495788309,0,2
1495789510,0,1
1495794314,0,1
1495796709,0,1
1495798808,0,1
1495807809,0,1
1495815609,0,1
1495817109,0,1
1495819509,0,1
1495820408,0,2
1495820709,0,1
1495821609,0,1
1495821908,0,2
1495822209,0,1
1495822809,0,2
1495824309,0,1
1495824609,0,1
1495825209,0,3
1495825509,0,1
1495826108,0,2
1495826408,0,1
1495827608,0,1
1495838109,0,1
1495839308,14,0
1495840209,21,0
1495841410,0,2
1495845009,30,0
1495848908,0,2
1495849209,0,2
1495849509,0,2
1495875909,0,1
1495877409,0,1
1495877708,0,1
1495878008,0,1
1495879509,0,1
1495879810,0,2
1495880409,0,1
1495881609,0,1
1495887308,0,1
1495887609,0,1
1495888809,0,2
1495890309,0,1
1495893309,0,1
1495902311,0,1
1495902609,0,2
1495902909,0,1
1495905008,0,2
1495911009,0,1
1495911309,0,1
1495916109,0,2
1495916409,0,1
1495920009,0,1
1495926610,15,1
1495926908,11,1
1495927808,8,0
1495928708,25,0
1495930208,16,0
1495931110,17,0
1495932608,21,0
1495932908,17,0
1495933209,0,2
1495933508,3,0
1495934109,31,1
1495963512,0,1
1495963810,0,1
1495966808,0,2
1495967409,0,1
1495968009,0,1
1495968310,0,2
1495971009,0,3
1495971308,0,1
1495971610,0,2
1495971909,0,1
1495978808,0,1
1495979409,0,2
1495980008,0,1
1495980609,0,1
1495981510,34,1
1495981808,31,2
1495982409,0,1
1495982709,0,1
1495983008,0,1
1495983308,21,1
1495983610,0,1
1495984208,0,1
1495985409,0,2
1495985709,0,1
1495986009,0,1
1495986608,0,1
1495989309,0,1
1495993808,20,0
1495994709,1,0
1495995009,0,1
1495995309,0,1
1495995609,0,2
1495996208,0,3
1495996508,15,1
1495996809,34,1
1495997109,0,2
1495997409,8,1
1495997709,0,1
1495998009,0,1
1495998310,0,2
1495998909,0,1
1496000108,12,0
1496000709,27,0
1496001909,26,0
1496002508,0,1
1496002809,1,0
1496003111,4,0
1496003709,9,0
1496004609,0,1
1496005209,9,1
1496005509,13,0
1496005809,20,0
1496006713,0,2
1496007008,0,4
1496007308,0,2
1496007609,0,2
1496008209,0,2
1496008509,0,2
1496010009,0,1
1496012108,0,1
1496012410,0,2
1496012709,0,5
1496013009,0,1
1496013909,0,5
1496014209,0,4
1496014508,0,2
1496014809,0,6
1496015109,0,3
1496043309,0,1
1496052008,0,1
1496052308,0,2
1496052909,0,1
1496055909,0,1
1496056209,0,1
1496056509,0,1
1496057114,0,2
1496058609,0,1
1496059508,0,2
1496061309,0,1
1496061609,0,3
1496061908,0,1
1496062209,0,1
1496062508,0,1
1496063709,0,1
1496064908,0,1
1496065209,0,1
1496065808,0,1
1496069108,0,1
1496070608,0,1
1496071808,5,0
1496077508,13,0
1496077809,0,1
1496078709,10,0
1496079309,35,0
1496081110,21,0
1496083809,1,0
1496085609,1,0
1496085916,4,0
1496086808,42,0
1496087409,12,0
1496089809,0,2
1496090108,0,2
1496091009,0,1
1496092508,0,1
1496096709,5,0
1496097609,5,0
1496097908,10,0
1496098208,20,0
1496100909,1,0
1496107516,0,1
1496107811,0,4
1496108108,0,4
1496109009,0,1
1496109309,0,1
1496109608,0,1
1496125208,0,1
1496132108,1,0
1496132408,18,0
1496133909,14,0
1496134509,0,1
1496138409,0,1
1496138709,3,0
1496139912,0,1
1496140508,0,1
1496141408,0,1
1496141708,0,1
1496142609,0,1
1496144108,0,1
1496145008,0,1
1496147112,0,1
1496148609,0,1
1496148908,0,2
1496156708,0,1
1496157308,0,2
1496159408,0,1
1496163009,0,2
1496165708,0,1
1496166008,0,2
1496166309,0,3
1496166608,0,3
1496166909,5,2
1496167208,0,3
1496167809,2,4
1496168710,0,1
1496170508,0,3
1496170809,5,3
1496171109,10,0
1496171408,0,1
1496172009,2,1
1496172309,14,2
1496172608,10,1
1496173208,0,2
1496173808,0,1
1496174109,0,1
1496174709,0,1
1496175009,18,2
1496175309,0,2
1496176209,15,0
1496176509,16,0
1496176809,4,0
1496178908,0,1
1496179209,0,1
1496180109,0,2
1496180709,0,1
1496181008,0,2
1496181309,0,1
1496181609,0,4
1496187308,0,1
