DateTime,AddedIPs,RemovedIPs
1485258911,0,1
1485270311,0,1
1485275108,0,1
1485383710,0,1
1485433509,0,1
1485462009,0,1
1485676809,0,1
1485739808,0,1
1485790809,0,1
1485867008,0,1
1485899708,0,1
1485945608,0,1
1485950709,0,1
1485964508,0,1
1486062309,0,1
1486063208,0,1
1486235409,0,1
1486272008,0,1
1486272608,0,1
1486368308,0,1
1486390209,0,1
1486394109,0,1
1486401609,1,0
1486402209,1,0
1486407308,1,0
1486408209,2,0
1486408808,3,0
1486409410,1,0
1486409709,2,0
1486413609,1,0
1486423509,1,0
1486431309,1,0
1486431608,1,0
1486432208,1,0
1486445708,2,0
1486462509,1,0
1486470009,0,1
1486477208,1,0
1486488908,1,0
1486497908,1,0
1486499409,1,0
1486516808,1,0
1486538108,1,0
1486543808,0,1
1486544709,1,0
1486553110,1,0
1486554908,0,1
1486560009,1,0
1486562408,1,1
1486578610,1,0
1486581609,1,0
1486582508,1,0
1486610108,1,0
1486623910,1,0
1486625408,0,1
1486633209,0,1
1486672809,1,0
1486678209,1,0
1486681209,1,0
1486705208,1,0
1486706110,0,1
1486712408,1,0
1486714808,1,0
1486717209,0,1
1486728009,1,0
1486736709,0,1
1486755308,1,0
1486763109,0,1
1486771811,1,0
1486781709,2,0
1486847108,1,0
1486888809,1,0
1486895409,1,0
1486911909,1,0
1486917009,1,0
1486934110,1,0
1486963210,1,0
1486978209,0,1
1486979708,1,0
1486980009,0,1
1486992609,1,0
1486994108,1,0
1486996508,0,1
1487009709,0,2
1487011210,1,0
1487014208,1,0
1487014508,1,0
1487031608,1,0
1487044809,1,0
1487058008,0,1
1487076008,1,0
1487085909,1,0
1487087110,0,1
1487089208,1,0
1487104508,0,1
1487110809,1,0
1487116209,1,0
1487143208,0,1
1487148608,0,1
1487151608,1,0
1487167208,1,0
1487184908,0,1
1487188809,1,0
1487209208,0,1
1487236209,0,1
1487240416,1,0
1487244009,1,0
1487252409,1,0
1487262311,0,1
1487265010,1,0
1487285108,1,0
1487286008,0,1
1487323509,1,0
1487326809,1,0
1487365208,1,0
1487365510,0,1
1487379609,1,0
1487407809,1,0
1487449509,1,0
1487469909,1,0
1487516409,1,0
1487546709,0,1
1487552408,1,0
1487564108,0,1
1487594409,0,1
1487615109,0,1
1487625308,1,0
1487641508,0,3
1487653509,0,1
1487659509,1,0
1487698529,0,1
1487713208,1,0
1487714409,1,0
1487715609,1,0
1487757608,0,1
1487759708,1,0
1487764508,1,0
1487773509,0,1
1487794508,1,0
1487805310,0,1
1487832609,0,1
1487844610,1,0
1487856009,0,1
1487857508,0,1
1487858708,1,0
1487867709,1,0
1487868909,1,0
1487878209,0,1
1487880008,1,0
1487903409,2,0
1487920508,0,1
1487922309,1,0
1487925909,1,0
1487931009,0,1
1487942108,0,1
1487950508,0,1
1487952908,1,0
1488023709,1,0
1488043509,1,0
1488089708,1,0
1488126309,1,0
1488143108,1,0
1488202808,1,0
1488221407,1,0
1488225909,1,0
1488228608,0,1
1488253809,1,0
1488258008,1,0
1488297308,0,1
1488306009,1,0
1488318009,1,0
1488356709,1,0
1488359408,1,0
1488381009,0,1
1488391209,0,1
1488397208,0,1
1488449109,0,1
1488462309,1,0
1488464409,0,1
1488486608,0,1
1488509408,1,0
1488525309,0,1
1488532208,1,0
1488538208,1,0
1488538509,1,0
1488548108,0,1
1488562508,1,0
1488564308,0,1
1488565808,2,0
1488614409,1,0
1488648909,1,0
1488653709,1,0
1488660309,1,0
1488687308,0,1
1488696309,1,0
1488717609,1,0
1488722108,1,0
1488741909,1,0
1488797409,2,0
1488809409,1,0
1488812709,1,0
1488867609,1,0
1488909609,0,1
1488954908,1,0
1488980108,0,1
1488994209,1,0
1489007708,1,0
1489013109,1,0
1489067708,1,0
1489068908,1,0
1489078209,0,1
1489080308,1,0
1489083309,0,1
1489129808,1,0
1489131010,1,0
1489154109,0,1
1489170309,1,0
1489261209,1,0
1489318208,1,0
1489348508,1,0
1489355409,1,0
1489361409,1,0
1489389608,1,0
1489395309,1,0
1489397410,1,0
1489434608,1,0
1489444809,0,1
1489470908,1,0
1489471510,1,0
1489471808,1,0
1489476610,1,0
1489488008,0,1
1489522208,0,1
1489524309,0,1
1489531509,1,0
1489538709,0,1
1489635909,0,1
1489686908,0,1
1489687209,0,1
1489767009,0,1
1489775109,0,1
1489784108,0,1
1489994409,0,1
1490023508,0,1
1490025009,0,1
1490044508,0,1
1490170209,1,0
1490170510,1,0
1490172008,1,0
1490175909,1,0
1490177109,1,0
1490178908,1,0
1490205308,1,0
1490210709,1,0
1490214909,1,0
1490216108,1,0
1490282709,0,1
1490369109,0,1
1490405708,0,1
1490433608,1,0
1490439611,1,0
1490440508,3,0
1490442309,0,1
1490442908,1,0
1490445308,0,1
1490450108,1,0
1490451908,0,1
1490457010,0,1
1490459411,1,0
1490465107,1,0
1490466908,1,0
1490469008,1,0
1490469609,1,0
1490472608,1,0
1490484308,1,0
1490532908,0,1
1490634008,0,1
1490648708,0,1
1490790909,0,1
1490805608,0,1
1490851514,2,0
1490857208,1,0
1490857509,1,0
1490858709,1,0
1490859009,1,0
1490860808,1,0
1490866509,1,0
1490876709,0,1
1490883308,1,0
1490895309,1,0
1490908208,1,0
1490909709,1,0
1490911809,1,0
1490912408,1,0
1490941510,1,0
1490948709,1,0
1490952009,1,0
1490952309,1,0
1490953808,1,0
1490959209,1,0
1490964908,1,0
1490969410,0,1
1490974809,1,0
1490980508,1,0
1490989209,0,1
1490991008,1,0
1490993109,1,0
1490996409,1,0
1491023408,1,0
1491036608,1,0
1491064508,1,0
1491067808,1,0
1491078009,1,0
1491081009,1,0
1491081610,1,0
1491095709,1,0
1491096009,1,0
1491096309,1,0
1491108609,1,0
1491108908,1,0
1491136209,0,1
1491150609,1,0
1491157808,1,0
1491165909,1,0
1491197410,1,0
1491217509,2,0
1491222608,0,1
1491224710,1,0
1491226809,0,1
1491231308,1,0
1491261909,1,0
1491272709,1,0
1491294009,0,2
1491300609,1,0
1491313809,1,0
1491314409,1,1
1491315909,2,0
1491378009,1,0
1491388509,1,0
1491398708,0,1
1491401408,0,1
1491403209,1,0
1491410709,0,1
1491411008,0,1
1491440108,1,0
1491509109,1,0
1491510609,1,0
1491530709,1,0
1491534009,0,1
