DateTime,Entries,UniqueIPs
1485275108,2578,2626
1485383710,2577,2625
1485433509,2576,2624
1485462009,2575,2623
1485676809,2574,2622
1485739808,2573,2621
1485790809,2572,2620
1485867008,2571,2619
1485899708,2570,2618
1485945608,2569,2617
1485950709,2568,2616
1485964508,2567,2615
1486062309,2566,2614
1486063208,2565,2613
1486235409,2564,2612
1486272008,2563,2611
1486272608,2562,2610
1486368308,2561,2609
1486390209,2560,2608
1486394109,2559,2607
1486401609,2560,2608
1486402209,2561,2609
1486407308,2562,2610
1486408209,2564,2612
1486408808,2566,2615
1486409410,2567,2616
1486409709,2569,2618
1486413609,2570,2619
1486423509,2571,2620
1486431309,2572,2621
1486431608,2573,2622
1486432208,2574,2623
1486445708,2576,2625
1486462509,2577,2626
1486470009,2576,2625
1486477208,2577,2626
1486488908,2578,2627
1486497908,2579,2628
1486499409,2580,2629
1486516808,2581,2630
1486538108,2582,2631
1486543808,2581,2630
1486544709,2582,2631
1486553110,2583,2632
1486554908,2582,2631
1486560009,2583,2632
1486562408,2583,2632
1486578610,2584,2633
1486581609,2585,2634
1486582508,2586,2635
1486610108,2587,2636
1486623910,2588,2637
1486625408,2587,2636
1486633209,2587,2635
1486672809,2588,2636
1486678209,2589,2637
1486681209,2590,2638
1486705208,2591,2639
1486706110,2590,2638
1486712408,2591,2639
1486714808,2592,2640
1486717209,2591,2639
1486728009,2592,2640
1486736709,2591,2639
1486755308,2592,2640
1486763109,2591,2639
1486771811,2592,2640
1486781709,2594,2642
1486847108,2595,2643
1486888809,2596,2644
1486895409,2597,2645
1486911909,2598,2646
1486917009,2599,2647
1486934110,2600,2648
1486963210,2601,2649
1486978209,2600,2648
1486979708,2600,2649
1486980009,2599,2648
1486992609,2600,2649
1486994108,2601,2650
1486996508,2600,2649
1487009709,2598,2647
1487011210,2599,2648
1487014208,2599,2649
1487014508,2600,2650
1487031608,2601,2651
1487044809,2602,2652
1487058008,2601,2651
1487076008,2602,2652
1487085909,2603,2653
1487087110,2602,2652
1487089208,2603,2653
1487104508,2602,2652
1487110809,2603,2653
1487116209,2604,2654
1487143208,2603,2653
1487148608,2602,2652
1487151608,2603,2653
1487167208,2604,2654
1487184908,2603,2653
1487188809,2604,2654
1487209208,2603,2653
1487236209,2602,2652
1487240416,2603,2653
1487244009,2604,2654
1487252409,2605,2655
1487262311,2604,2654
1487265010,2605,2655
1487285108,2606,2656
1487286008,2605,2655
1487323509,2606,2656
1487326809,2607,2657
1487365208,2608,2658
1487365510,2607,2657
1487379609,2608,2658
1487407809,2609,2659
1487449509,2610,2660
1487469909,2611,2661
1487516409,2612,2662
1487546709,2611,2661
1487552408,2612,2662
1487564108,2611,2661
1487594409,2610,2660
1487615109,2609,2659
1487625308,2610,2660
1487641508,2607,2657
1487653509,2606,2656
1487659509,2607,2657
1487698529,2606,2656
1487713208,2607,2657
1487714409,2608,2658
1487715609,2609,2659
1487757608,2608,2658
1487759708,2609,2659
1487764508,2610,2660
1487773509,2609,2659
1487794508,2610,2660
1487805310,2609,2659
1487832609,2608,2658
1487844610,2609,2659
1487856009,2608,2658
1487857508,2607,2657
1487858708,2608,2658
1487867709,2609,2659
1487868909,2610,2660
1487878209,2609,2659
1487880008,2610,2660
1487903409,2612,2662
1487920508,2611,2661
1487922309,2612,2662
1487925909,2613,2663
1487931009,2612,2662
1487942108,2611,2661
1487950508,2610,2660
1487952908,2611,2661
1488023709,2612,2662
1488043509,2613,2663
1488089708,2614,2664
1488126309,2615,2665
1488143108,2616,2666
1488202808,2617,2667
1488221407,2618,2668
1488225909,2619,2669
1488228608,2618,2668
1488253809,2619,2669
1488258008,2620,2670
1488297308,2619,2669
1488306009,2620,2670
1488318009,2621,2671
1488356709,2622,2672
1488359408,2623,2673
1488381009,2622,2672
1488391209,2621,2671
1488397208,2620,2670
1488449109,2619,2669
1488462309,2620,2670
1488464409,2619,2669
1488486608,2618,2668
1488509408,2619,2669
1488525309,2618,2668
1488532208,2618,2669
1488538208,2619,2670
1488538509,2620,2671
1488548108,2619,2670
1488562508,2620,2671
1488564308,2619,2670
1488565808,2621,2672
1488614409,2622,2673
1488648909,2623,2674
1488653709,2624,2675
1488660309,2625,2676
1488687308,2624,2675
1488696309,2625,2676
1488717609,2626,2677
1488722108,2627,2678
1488741909,2628,2679
1488797409,2630,2681
1488809409,2631,2682
1488812709,2632,2683
1488867609,2633,2684
1488909609,2632,2683
1488954908,2633,2684
1488980108,2632,2683
1488994209,2633,2684
1489007708,2634,2685
1489013109,2635,2686
1489067708,2636,2687
1489068908,2637,2688
1489078209,2636,2687
1489080308,2637,2688
