DateTime,AddedIPs,RemovedIPs
1491916508,0,1
1491967209,5,0
1491967809,2,0
1491968108,4,0
1491968408,2,0
1491969008,0,1
1491995108,0,1
1492015209,1,0
1492015508,1,0
1492015808,0,1
1492018808,1,0
1492019108,1,0
1492022709,1,0
1492053608,1,0
1492056008,1,1
1492056308,3,0
1492056609,1,0
1492072209,0,1
1492102208,0,1
1492116908,0,1
1492119608,7,0
1492119908,12,0
1492120509,4,0
1492120808,4,0
1492165809,0,1
1492244108,0,1
1492295108,1,0
1492335007,1,0
1492345508,0,1
1492361708,0,1
1492363508,1,0
1492374309,0,1
1492395009,1,0
1492395308,2,0
1492398010,1,0
1492421109,0,1
1492422008,1,0
1492434908,1,0
1492445708,1,0
1492448409,46,0
1492448708,71,0
1492450809,4,0
1492451411,19,0
1492452007,2,0
1492452309,3,0
1492453810,26,0
1492454409,8,0
1492454708,1,0
1492455011,2,0
1492455308,2,0
1492455608,0,4
1492461009,3,0
1492465508,0,3
1492466408,2,0
1492467008,2,0
1492472708,61,0
1492479009,15,0
1492479308,35,0
1492484409,0,1
1492488309,15,0
1492488609,38,0
1492502408,1,0
1492503908,1,0
1492504509,0,2
1492602909,1,0
1492603210,1,0
1492617008,0,1
1492629310,3,0
1492635008,0,1
1492636809,2,0
1492637109,21,0
1492637408,0,1
1492638309,36,0
1492638608,16,0
1492712108,0,1
1492717209,1,0
1492724409,3,0
1492741809,1,0
1492771510,12,0
1492771809,2,0
1492777208,10,0
1492777508,1,0
1492777808,2,0
1492779007,1,0
1492779908,6,0
1492780509,2,0
1492787708,2,0
1492815608,6,0
1492819508,2,0
1492819808,4,0
1492821009,7,0
1492825510,2,0
1492825808,0,1
1492833008,2,0
1492869008,4,0
1492878309,1,0
1492878909,1,0
1492879209,1,0
1492879509,1,0
1492882208,1,0
1492882809,1,0
1492893909,1,0
1492894509,1,0
1492895110,1,0
1492948209,0,1
1492949108,0,1
1492972809,1,0
1492980308,1,0
1492980608,2,0
1492980909,3,0
1492981209,2,0
1492981508,2,0
1492981808,1,0
1492982410,7,0
1492983308,2,0
1492983608,4,0
1492985408,1,0
1492986008,4,0
1492986309,1,0
1492986610,0,1
1492987208,1,0
1492987808,1,0
1492988708,2,0
1492989008,2,0
1492989307,2,0
1492989608,1,0
1492991107,6,0
1492991708,6,0
1492994108,2,0
1492994408,8,0
1492994708,11,0
1492995008,56,0
1492995309,9,0
1492995608,28,0
1492995908,16,0
1492996209,22,0
1492996509,4,0
1492996808,54,0
1492997109,41,0
1492997408,19,0
1492997708,34,0
1492998008,26,0
1492998308,25,0
1492998608,56,0
1492998909,31,0
1492999208,36,0
1492999509,34,0
1492999808,41,0
1493000108,37,0
1493000408,29,0
1493000709,42,0
1493001008,20,0
1493001308,21,0
1493001608,8,0
1493001908,16,0
1493002209,35,0
1493002508,17,3
1493002809,6,0
1493003108,27,3
1493003408,14,0
1493003710,7,0
1493004909,35,0
1493005209,18,0
1493005508,12,0
1493005808,13,0
1493006109,26,0
1493029809,0,1
1493036708,0,1
1493045708,0,1
1493075708,0,1
1493125810,0,1
1493126708,0,1
1493129708,0,1
1493141409,0,1
1493150408,0,1
1493178908,0,1
1493224508,0,1
1493243108,9,0
1493243409,6,0
1493243709,3,0
1493245508,9,0
1493248508,4,0
1493248809,2,0
1493249408,5,0
1493249709,3,0
1493250009,12,0
1493250309,13,0
1493250610,5,0
1493250908,6,0
1493251209,5,0
1493251509,7,0
1493251809,10,0
1493252109,6,0
1493252408,6,0
1493252709,9,0
1493253008,9,0
1493253308,8,3
1493253609,8,0
1493254208,1,0
1493254809,10,0
1493266508,2,0
1493278809,0,1
1493302809,0,1
1493318708,0,1
1493319009,4,0
1493319308,2,0
1493319609,2,0
1493321408,0,1
1493342109,1,0
1493343309,1,0
1493343608,8,0
1493344208,2,0
1493344508,1,0
1493345109,1,0
1493345708,2,0
1493352009,0,1
1493390408,0,1
1493393409,0,1
1493425509,2,0
1493425808,1,0
1493426708,3,0
1493457009,2,0
1493460009,1,0
1493469608,0,1
1493477709,6,0
1493486410,1,0
1493487308,1,0
1493488208,1,0
1493490009,1,0
1493490609,0,1
1493517309,4,0
1493517608,1,0
1493517909,0,1
1493518808,0,1
1493519708,1,0
1493520009,5,0
1493520308,2,0
1493520608,5,0
1493520909,6,0
1493521208,5,0
1493521509,4,0
1493521809,4,0
