DateTime,AddedIPs,RemovedIPs
1492520708,9,0
1492521909,253,0
1492532408,2,0
1492532708,10,0
1492546809,7,0
1492558808,0,1
1492561209,5,0
1492561509,2,0
1492575608,9,0
1492589408,105,0
1492590009,6,0
1492591209,2,0
1492591509,3,0
1492604409,5,0
1492618808,6,0
1492619408,0,1
1492633209,8,0
1492647608,4,0
1492647910,3,0
1492660208,0,1
1492662008,8,0
1492668909,0,1
1492676409,4,0
1492676709,5,0
1492678809,2,0
1492679108,4,0
1492679409,14,0
1492679708,91,0
1492680009,26,0
1492680609,9,0
1492683308,0,1
1492690809,7,0
1492702210,0,1
1492705509,19,0
1492719608,6,0
1492722908,0,1
1492729208,1,0
1492734309,12,0
1492746609,1,0
1492748408,4,0
1492749908,0,1
1492751108,1,0
1492762808,4,0
1492777208,4,0
1492778710,0,1
1492791609,5,0
1492806008,10,0
1492820708,14,0
1492834508,1,0
1492834808,13,0
1492849808,10,0
1492863608,20,0
1492878309,21,0
1492883708,1,0
1492884009,1,0
1492890609,1,0
1492892409,9,0
1492907411,3,0
1492921510,2,0
1492935608,5,0
1492935908,3,0
1492946408,1,0
1492950009,7,0
1492964409,2,0
1492964708,4,0
1492978808,6,0
1492993508,8,0
1493007923,4,0
1493014808,0,1
1493022308,6,0
1493022609,45,0
1493036708,11,0
1493049909,0,1
1493051108,17,0
1493063709,0,1
1493065208,8,0
1493079909,10,0
1493094010,5,0
1493096408,0,1
1493100008,0,1
1493104508,0,1
1493108709,4,0
1493109308,0,1
1493109608,3,0
1493109909,49,0
1493110208,83,0
1493117408,0,1
1493120109,2,0
1493121909,0,1
1493122809,8,0
1493125209,0,1
1493137509,9,0
1493151608,6,0
1493166309,12,0
1493166610,0,1
1493180409,5,0
1493184608,0,1
1493195108,6,0
1493209209,11,0
1493223908,18,0
1493234108,0,1
1493238008,18,0
1493252709,13,0
1493267108,21,0
1493280909,14,0
1493281509,23,0
1493295609,15,0
1493299510,0,1
1493307008,0,1
1493310309,8,0
1493312708,0,1
1493319609,71,0
1493324409,8,0
1493339109,10,0
1493353209,20,0
1493364608,1,1
1493367909,19,0
1493371509,2,0
1493379608,38,0
1493379909,68,0
1493382008,12,0
1493386209,1,0
1493396708,6,0
1493407208,1,0
1493410808,7,0
1493425208,2,0
1493425510,16,0
1493438108,0,1
1493439608,11,0
1493454308,6,0
1493468409,7,0
1493469008,3,0
1493473509,1,0
1493478909,3,0
1493483409,16,0
1493489408,1,0
1493494509,1,0
1493497209,6,0
1493511909,9,0
1493522108,1,0
1493526009,6,0
1493540709,10,0
1493554809,3,0
1493563508,7,0
1493568909,0,1
1493569508,10,0
1493583609,9,0
1493583909,0,1
1493587209,1,0
1493598309,10,0
1493607608,0,1
1493612409,10,0
1493627109,8,0
1493641209,18,0
1493641509,2,0
1493655908,38,0
1493661609,1,0
1493662808,1,0
1493663708,1,0
1493668209,1,0
1493670009,9,0
1493670308,5,0
1493670608,4,0
1493674209,1,0
1493675408,1,0
1493676609,1,0
1493679909,1,0
1493684710,16,0
1493691009,1,0
1493691308,2,0
1493691608,1,0
1493698808,8,0
1493710808,1,0
1493711408,0,1
1493712908,5,0
1493713509,11,0
1493713809,0,1
1493724009,5,0
1493724609,6,0
1493724908,2,0
1493725508,1,0
1493727609,17,0
1493735108,1,0
1493736308,1,0
1493737509,1,0
1493738408,1,0
1493742308,21,0
1493745008,0,1
1493751608,9,0
1493756408,11,0
1493771109,14,0
1493780409,0,1
1493785208,8,0
1493799908,9,0
1493801708,1,0
1493802910,60,0
1493806808,1,0
1493812508,0,2
1493814009,8,0
1493818508,1,0
1493823008,0,1
1493828708,14,0
1493842808,7,0
1493857208,10,0
1493871608,6,0
1493886008,5,0
1493886908,0,1
1493887807,1,0
1493888408,27,0
1493888708,57,0
1493889609,53,0
1493899208,2,0
1493900409,6,0
1493903709,0,1
1493906409,0,1
1493914808,11,0
1493929208,10,0
1493943609,10,0
1493958009,6,0
1493972408,6,0
1493973308,1,0
1493986808,21,0
1493993408,18,0
1494001208,19,0
1494011109,0,1
1494015608,10,0
1494019809,0,1
1494024009,0,1
1494030008,9,0
1494044409,10,3
1494048008,0,1
1494055809,0,1
1494058809,10,0
1494065408,2,0
1494065709,2,0
1494067509,0,1
1494073209,5,0
1494087609,6,0
1494102008,17,0
1494107409,0,1
1494116409,17,0
1494130809,8,0
1494145208,10,0
1494159609,3,0
1494174008,6,0
1494179408,2,0
1494179708,1,0
1494180008,1,0
1494180308,3,0
1494188408,5,0
1494202808,8,0
1494208808,1,1
1494217209,7,0
1494231608,4,0
1494246009,19,0
1494247508,0,1
1494260408,10,0
1494261609,0,1
1494266108,2,0
1494266408,1,0
1494266710,5,0
1494267008,7,0
1494267608,2,0
1494272108,0,1
1494274808,11,0
1494289208,7,0
1494303608,9,0
1494318009,5,0
1494318313,1,0
1494318608,15,0
1494318908,15,0
1494321909,1,0
1494330608,0,1
1494332409,14,0
1494342609,0,1
1494346808,6,0
1494348308,0,1
1494357908,1,0
1494361208,12,0
1494375609,11,0
1494379209,0,1
1494381908,0,1
1494390008,15,0
1494402309,2,1
1494403808,11,0
1494404409,11,0
1494418809,9,0
1494424508,3,0
1494425708,0,1
1494428107,0,1
1494428708,0,1
1494432909,1,0
1494433208,5,0
1494433510,6,0
1494436809,1,0
1494447611,6,0
1494459608,0,1
1494462009,12,0
1494476409,6,0
1494490808,5,0
1494491111,1,0
1494492009,1,0
1494505210,9,0
1494510908,0,1
1494519609,10,0
1494534009,8,0
1494548409,4,0
1494562809,7,0
1494577209,2,0
1494591609,8,0
1494606009,7,0
1494616508,0,256
1494620409,9,0
1494632408,16,0
1494632709,20,0
1494633009,15,0
1494634809,5,0
1494635708,0,1
1494649208,24,0
1494650409,0,1
1494663609,15,0
1494678308,18,0
1494684008,0,1
1494692409,3,0
1494699909,1,0
1494706809,18,0
1494721514,9,0
1494735609,10,3
1494750008,14,0
1494764409,7,0
1494778808,7,0
1494793209,11,0
1494793809,52,0
1494794109,15,0
1494794408,33,0
1494807609,3,0
1494816010,0,1
1494822009,16,0
1494836409,4,0
1494850810,18,0
1494865208,8,0
1494879609,10,0
1494880209,0,1
1494888309,0,1
1494894008,5,0
1494899108,17,0
