DateTime,AddedIPs,RemovedIPs
1490220923,256,0
1490221828,0,256
1490251535,256,0
1490279458,0,2560
1490281202,0,256
1490289331,0,256
1490290201,3328,0
1490291117,256,0
1490298319,256,256
1490314526,256,0
1490332532,256,0
1490341528,0,256
1490369550,768,0
1490375716,256,0
1490376602,0,2816
1490382918,256,0
1490383802,0,256
1490386524,256,0
1490390119,256,0
1490404526,0,256
1490420726,0,256
1490426133,0,256
1490455646,0,512
1490459426,1024,256
1490461202,0,512
1490465720,0,256
1490472926,256,0
1490485523,256,0
1490514037,256,0
1490544932,0,1024
1490545832,1280,0
1490558418,0,256
1490559317,256,0
1490564260,256,0
1490571589,256,0
1490592601,0,256
1490599802,0,256
1490625002,1792,0
1490632244,0,1280
1490635436,256,0
1490636721,0,256
1490645720,256,256
1490658335,256,0
1490679930,0,256
1490688932,0,256
1490691602,0,256
1490694332,256,0
1490711402,0,768
1490715001,0,512
1490720402,0,256
1490722005,1024,0
1490732118,256,0
1490737522,0,256
1490744727,256,0
1490791527,0,256
1490797676,1536,0
1490802316,256,0
1490808245,0,1280
1490997619,512,3840
1490998531,512,0
1491004805,256,0
1491005746,512,0
1491027335,256,0
1491058267,1024,0
1491087149,256,0
1491115879,0,256
1491117325,256,0
1491144698,1024,1024
1491149722,512,0
1491153304,0,256
1491156920,512,0
1491203728,0,512
1491231030,0,1024
1491234678,1536,0
1491235279,0,512
1491241520,0,256
1491243319,512,0
1491246008,0,512
1491250522,256,0
1491263482,0,256
1491276632,256,0
1491313843,2560,0
1491321019,0,1792
1491322520,0,256
1491329723,0,512
1491348624,0,256
1491350437,256,0
1491353431,256,0
1491399905,0,2048
1491411627,0,256
1491420629,0,256
1491431430,0,256
1491436348,0,256
1491439914,1536,256
1491442218,256,0
1491465011,1024,0
1491468686,256,0
1491474617,256,0
1491481819,256,0
1491496218,256,0
1491525016,0,1024
1491528617,0,256
1491533621,256,0
1491535831,256,0
1491551491,0,512
1491561028,0,512
1491564631,0,256
1491568229,0,256
