DateTime,Entries,UniqueIPs
1487698647,80,21248
1487702085,79,20992
1487707202,78,20736
1487717135,79,20992
1487723402,78,20736
1487769339,74,19712
1487777486,78,20736
1487783727,77,20480
1487798131,78,20736
1487856714,82,21760
1487859319,83,22016
1487870126,82,21760
1487875540,81,21504
1487889937,82,21760
1487939430,84,22272
1487985973,81,21248
1488036651,84,22016
1488069676,85,22272
1488075338,83,21760
1488119540,86,22528
1488125732,87,22784
1488127099,87,22528
1488128402,86,22272
1488130206,82,21248
1488132002,79,20480
1488134730,78,20224
1488137701,76,19712
1488142801,74,19200
1488152391,74,19456
1488205981,71,18688
1488209609,74,19456
1488220464,76,19968
1488235143,77,20224
1488288602,73,18944
1488292967,77,19968
1488298529,78,20224
1488323736,79,20480
1488325501,80,20736
1488382328,82,20992
1488388529,81,20736
1488389813,82,20992
1488402931,83,21248
1488406536,84,21504
1488415538,85,21760
1488422739,86,22016
1488436201,85,21760
1488461235,82,20992
1488468784,90,23296
1488471327,89,23040
1488476083,88,22784
1488478528,87,22528
1488482135,88,22784
1488484802,87,22528
1488486601,85,22016
1488498434,86,22272
1488544201,81,20992
1488551154,83,21760
1488552325,84,22016
1488572132,85,22272
1488634238,88,23040
1488673524,89,23296
1488724315,84,22016
1488726965,83,21760
1488731119,87,22784
1488732334,88,23040
1488748533,89,23296
1488753934,89,23552
1488755734,88,23296
1488761138,90,23808
1488803402,92,24320
1488814452,88,23296
1488836433,89,23552
1488837601,88,23296
1488839221,87,23040
1488893517,91,24064
1488897928,88,23296
1488898801,87,23040
1488902402,86,22784
1488912333,87,23040
1488914131,88,23296
1488926738,88,23552
1488927602,87,23296
1488930052,88,23552
1488987002,81,21760
1488997941,82,22016
1489004866,83,22272
1489005001,82,22016
1489005933,83,22272
1489011331,82,22016
1489022131,81,21760
1489066293,85,22784
1489073608,83,22272
1489077933,82,22016
1489086929,83,22272
1489088136,84,22528
1489095103,85,22784
1489100402,84,22528
1489110337,85,22784
1489152375,89,23808
1489156288,85,22784
1489163604,87,23296
1489187738,88,23552
1489210203,87,23296
1489239002,85,22528
1489246489,92,24320
1489249626,91,24064
1489257002,90,23808
1489263334,91,24064
1489272302,92,24320
1489275937,93,24576
1489277736,92,24320
1489332637,94,24832
1489335328,91,23808
1489336288,90,23552
1489338919,89,23296
1489358443,88,23040
1489360539,89,23296
1489362338,90,23552
1489365714,89,23296
1489408202,86,22528
1489409141,85,22272
1489418859,91,23808
1489419925,92,24064
1489421719,93,24320
1489432537,94,24576
1489441528,92,24064
1489457731,91,23808
1489497332,89,23296
1489501809,94,24832
1489505203,93,24576
1489511718,93,24320
1489516939,92,24064
1489518923,91,23808
1489523895,90,23552
1489526130,91,23808
1489535131,90,23552
1489581001,94,24576
1489583718,95,24832
1489587323,95,25088
1489588591,96,25344
