DateTime,AddedIPs,RemovedIPs
1491496218,256,256
1491504680,256,256
1491525016,256,256
1491533621,256,256
1491535831,512,512
1491573039,3072,3072
1491575421,256,256
1491576719,256,256
1491580239,256,256
1491582624,256,256
1491586225,256,256
1491589826,256,256
1491593426,256,256
1491597029,256,256
1491612679,256,256
1491670253,1024,1024
1491677419,256,256
1491688302,256,256
1491691925,256,256
1491745876,1024,1024
1491748218,256,256
1491749471,256,256
1491751820,256,256
1491760264,256,256
1491778248,256,256
1491798628,256,256
1491805828,256,256
1491810668,256,256
1491828629,1792,1792
1491834621,256,256
1491838221,256,256
1491839470,256,256
1491841822,256,256
1491845423,256,256
1491849024,256,256
1491852625,256,256
1491864703,256,256
1491868302,256,256
1491870627,256,256
1491871879,256,256
1491893439,256,256
1491922355,1792,1792
1491931822,256,256
1491933083,256,256
1491936704,256,256
1491939024,256,256
1491940269,256,256
1491942624,256,256
1491943872,256,256
1491947524,256,256
1491949826,256,256
1491957031,256,256
1492012812,1792,1792
1492016123,256,256
1492018221,256,256
1492026877,256,256
1492036227,256,256
1492037651,256,256
1492041221,256,256
1492043426,256,256
1492069965,256,256
1492091503,1280,1280
1492101019,256,256
1492102476,256,256
1492108222,256,256
1492109526,256,256
1492113157,256,256
1492116710,256,256
1492162230,256,256
1492163587,256,256
1492165828,256,256
1492177949,1280,1280
1492185128,256,256
1492199548,256,256
1492213997,256,256
1492221147,256,256
1492237833,256,256
1492242780,256,256
1492264329,2048,2048
1492267934,256,256
1492271555,256,256
1492296811,256,256
1492299027,256,256
1492303953,256,256
1492320630,256,256
1492350731,1536,1536
1492357968,512,512
1492368701,256,256
1492379579,512,512
1492383169,256,256
1492407028,256,256
1492437129,1280,1280
1492451530,256,256
1492461024,256,256
1492465988,256,256
1492469574,256,256
1492476720,256,256
1492494767,256,256
1492530711,1792,1792
1492533022,256,256
1492536622,256,256
1492537936,512,512
1492541476,256,256
1492545118,256,256
1492555894,256,256
1492558228,256,256
1492559531,256,256
1492613477,1280,1280
1492617123,256,256
1492620738,256,256
1492626624,256,256
1492627936,256,256
1492631538,256,256
1492664413,256,256
1492707172,1280,1280
1492714300,256,256
1492717919,256,256
1492728780,256,256
1492731025,256,256
1492735918,512,512
1492745429,256,256
1492752627,256,256
1492782690,1792,1792
1492786355,512,512
1492793590,256,256
1492795820,512,512
1492797134,768,768
1492813829,256,256
1492817425,256,256
1492839025,256,256
1492872800,1280,1280
1492876312,256,256
1492883567,256,256
1492889421,256,256
1492898415,256,256
1492911028,256,256
1492925422,256,256
1492959240,1280,1280
1492961418,256,256
1492962767,512,512
1492966363,256,256
1492969875,256,256
1492977143,256,256
1492984359,256,256
1492990224,256,256
1492991602,256,256
1493041953,1792,1792
1493049164,256,256
1493055022,256,256
1493056340,256,256
1493064029,256,256
1493065822,256,256
1493070801,256,256
1493074315,256,256
1493076628,256,256
1493098226,256,256
1493131973,1280,1280
1493135547,256,256
1493157205,256,256
1493163026,256,256
1493164398,256,256
1493168052,256,256
1493214749,1792,1792
1493218402,256,256
1493220622,512,512
1493221971,256,256
1493227824,768,768
1493242227,256,256
1493271027,512,512
1493274626,256,256
1493294031,256,256
1493308376,2304,2304
1493314213,256,256
1493315586,256,256
1493319110,512,512
1493321416,256,256
1493322743,256,256
1493325024,256,256
1493326522,256,256
1493328626,256,256
1493391198,2048,2048
1493393422,256,256
1493400623,256,256
1493401969,256,256
1493404223,256,256
1493405488,256,256
1493407822,768,768
1493409188,512,512
1493411424,256,256
1493415026,512,512
1493429428,256,256
1493443825,256,256
1493445168,256,256
1493448773,256,256
1493477609,1536,1536
1493485211,256,256
1493487022,256,256
1493488402,256,256
1493492080,256,256
1493496030,256,256
1493499246,256,256
1493510046,256,256
1493512224,256,256
1493513614,256,256
1493530229,256,256
1493542544,256,256
1493567575,1792,1792
1493569817,256,256
1493574779,256,256
1493578339,256,256
1493650812,1792,1792
1493653822,256,256
1493661045,256,256
1493664682,256,256
1493671849,256,256
1493679044,512,512
1493686178,256,256
1493689756,256,256
1493693412,256,256
1493703026,256,256
1493704171,256,256
1493711385,256,256
1493743747,1792,1792
1493747380,256,256
1493751025,768,768
1493758230,256,256
1493760623,256,256
1493761842,256,256
1493764226,256,256
1493767824,256,256
1493775027,256,256
1493778627,256,256
1493789423,512,512
1493797788,256,256
1493819405,1280,1280
1493833756,256,256
1493840999,256,256
1493843416,256,256
1493844614,256,256
1493848198,256,256
1493850626,256,256
1493851795,256,256
1493854224,256,256
1493857827,256,256
1493858974,256,256
1493868627,256,256
1493869754,256,256
1493872226,256,256
1493912947,2048,2048
1493920136,256,256
1493927308,256,256
1493937025,256,256
1493941780,256,256
1493945307,256,256
1493965830,256,256
1493984933,256,256
1493992132,1792,1792
1494001818,256,256
1494006520,256,256
1494016216,256,256
1494028862,256,256
1494054038,256,256
1494086430,1280,1280
1494093625,256,256
1494100840,256,256
1494119179,256,256
1494120622,256,256
1494124228,256,256
1494131433,256,256
1494135030,256,256
1494139755,256,256
1494161582,256,256
1494165241,256,256
1494168600,1536,1536
1494176108,256,256
1494203424,256,256
1494230553,256,256
1494255833,1792,1792
1494259688,512,512
1494264622,256,256
1494266871,512,512
1494275422,512,512
1494281707,256,256
1494345759,0,3840
1494346523,3840,0
1494349350,0,512
1494350334,512,0
1494352904,0,1280
1494354430,1280,0
1494374434,256,256
1494403284,256,256
1494428519,0,3584
1494430231,3584,0
1494437456,256,256
1494442868,512,512
1494446991,512,512
1494451070,0,256
1494451807,256,0
1494462662,256,256
1494463851,256,256
1494466330,256,256
1494468051,256,256
1494481599,256,256
1494518447,2048,2048
1494525626,256,256
1494527508,0,3072
1494528152,3072,0
1494531128,0,512
1494532040,512,0
1494534688,256,256
1494540094,0,512
1494541893,256,0
1494543146,256,0
1494545548,0,768
1494546671,768,0
1494550000,0,4864
1494550963,4864,0
1494552627,256,256
1494563430,256,256
1494604863,1536,1536
1494610290,0,768
1494611358,768,0
1494635483,0,256
1494636855,256,0
1494687629,1536,1536
1494694823,256,256
1494700219,512,512
1494702023,256,256
1494703845,512,512
1494708578,256,256
1494718242,256,256
1494719371,256,256
1494722531,256,256
1494743875,256,256
1494777624,1280,1280
1494783089,0,768
1494783840,768,0
1494790332,256,256
1494793822,256,256
1494794920,256,256
1494797455,256,256
1494801053,256,256
1494804660,256,256
1494805964,256,256
1494811827,256,256
1494853224,2304,2304
1494861306,256,256
