DateTime,AddedIPs,RemovedIPs
1489680006,3,5
1489687684,10,9
1489695363,4,2
1489703284,1,0
1489710963,3,5
1489718643,11,12
1489722485,6,5
1489730163,6,6
1489741683,3,3
1489745523,5,5
1489760884,1,1
1489768562,5,5
1489776243,0,1
1489783924,3,3
1489795442,2,1
1489803123,19,20
1489810807,6,7
1489818483,5,4
1489826164,2,1
1489833843,2,4
1489841523,1,1
1489849206,2,2
1489857123,2,1
1489860963,14,12
1489868645,3,3
1489876326,2,3
1489884004,2,2
1489891682,7,5
1489899363,2,2
1489918813,1,1
1489926483,0,1
1489934163,1,1
1489941843,1,3
1489949523,1,1
1489957209,2,1
1489972803,2,3
1489980482,2,2
1489988176,2,2
1489992003,2,1
1489999683,4,4
1490007364,2,3
1490015284,1,1
1490023202,1,2
1490030883,3,4
1490038563,2,2
1490046244,1,1
1490061607,3,3
1490069283,1,2
1490077203,5,5
1490085124,5,4
1490092804,2,3
1490100483,5,4
1490104323,5,5
1490112006,1,1
1490119683,1,1
1490127363,2,2
1490135044,3,4
1490142728,1,3
1490150403,1,1
1490158082,9,8
1490165763,3,3
1490173443,2,2
1490177283,0,2
1490184963,4,4
1490215686,1,1
1490223364,1,1
1490242803,18,18
1490273523,1,1
1490281210,1,1
1490289123,0,1
1490292964,1,0
1490300644,1,1
1490316244,1,1
1490323923,17,17
1490331607,8,8
1490339284,7,6
1490346963,1,1
1490350803,3,3
1490366173,0,1
1490381524,1,1
1490389208,1,1
1490397123,1,1
1490405044,8,7
1490412723,4,4
1490416567,18,20
1490424243,10,10
1490431923,4,4
1490439609,1,1
1490454963,2,2
1490462645,1,1
1490470323,1,1
1490478003,1,1
1490485683,1,1
1490499123,1,1
1490507043,13,13
1490514729,1,1
1490526483,1,1
1490534403,1,1
1490549779,0,1
1490565123,1,1
1490576642,15,12
1490584323,20,21
1490592003,4,4
1490599684,5,5
1490611204,2,1
1490615043,2,2
1490630405,2,2
1490638084,1,1
1490645763,1,1
1490649603,1,1
1490672643,4,3
1490680323,11,10
1490691842,1,1
1490695684,1,1
1490707203,2,1
1490714883,1,1
1490722576,1,1
1490730243,29,34
1490734085,21,20
1490741764,4,4
1490765043,20,17
1490788330,2,2
1490800324,1,1
1490808004,2,1
1490815682,0,1
1490823363,1,1
1490831043,1,1
1490834882,19,18
1490842563,10,9
1490850483,0,1
1490858162,2,3
1490865843,1,1
1490873763,0,1
1490883362,1,1
1490887481,1,0
1490910501,1,0
1490923945,16,19
1490948883,6,6
1490952722,2,2
1490960403,3,3
1490968082,1,1
1490991394,1,1
1490997136,1,0
1491006722,3,1
1491014421,11,13
1491025936,1,1
1491033607,1,0
1491056883,20,21
1491064563,1,1
1491072243,1,1
1491091923,1,1
1491099603,10,10
1491107283,1,1
1491115204,1,2
1491122882,1,1
1491130563,1,0
1491142322,1,1
1491173282,0,1
1491180963,12,12
1491188896,15,15
1491192722,5,5
1491231125,25,24
1491238816,3,3
1491246722,2,2
1491262082,1,1
1491265922,7,10
1491273604,1,1
1491288964,1,0
1491296643,2,2
1491304323,1,1
1491312004,2,1
1491319683,3,3
1491354982,18,17
1491370322,1,1
1491378004,1,1
1491385690,1,1
1491393363,1,1
1491397211,1,1
1491428403,1,1
1491436083,3,3
1491443763,10,10
1491455283,1,1
1491462962,2,2
