DateTime,Entries,UniqueIPs
1495923416,203324,227517
1495924359,203359,227559
1495925312,203389,227611
1495926513,203428,227666
1495927475,203454,227702
1495928448,203530,227768
1495929398,203556,227814
1495930355,203589,227872
1495931326,203619,227926
1495932274,203664,227977
1495933301,203718,228039
1495934202,203748,228078
1495935170,204351,228684
1495936121,204383,228729
1495937081,204404,228769
1495938053,204447,228838
1495938992,204471,228866
1495939962,204514,228906
1495940910,204537,228956
1495941854,204558,228994
1495942819,204582,229020
1495943795,204584,229022
1495944759,204581,229017
1495945712,204588,229027
1495946682,204585,229021
1495947713,204588,229023
1495948829,204590,229026
1495949822,204591,229023
1495950754,204596,229029
1495951703,204590,229020
1495952660,204589,229024
1495953622,204588,229024
1495954580,204593,229029
1495955573,204596,229033
1495956514,204595,229032
1495957469,204605,229042
1495958512,204606,229041
1495959623,204609,229044
1495960586,204608,229043
1495961537,204619,229047
1495962499,204620,229047
1495963458,204619,229045
1495964426,204624,229050
1495965380,204627,229053
1495966371,204624,229050
1495967318,204623,229049
1495968271,204629,229050
1495969312,204635,229058
1495970413,204643,229065
1495971390,204742,229173
1495972340,204745,229187
1495973299,204746,229189
1495974260,204746,229188
1495975225,204840,229354
1495976172,204842,229353
1495977143,204845,229356
1495978129,204848,229359
1495979050,204850,229359
1495980093,204859,229369
1495980994,204864,229374
1495981948,204865,229374
1495982899,204872,229382
1495983889,204872,229387
1495984834,204879,229394
1495985800,204887,229402
1495986767,204893,229407
1495987713,204899,229413
1495988724,205014,229562
1495989876,205011,229559
1495990905,205021,229569
1495992022,204013,228573
1495992980,204033,228614
1495993975,204039,228622
1495994912,204133,228765
1495995878,204149,228797
1495996840,204203,228863
1495997808,204248,228917
1495998763,204231,228900
1495999722,204327,229025
1496000675,204352,229053
1496001818,204400,229130
1496002826,204445,229178
1496003779,204476,229216
1496004751,204524,229282
1496005723,204553,229318
1496006675,204577,229360
1496007649,204596,229397
1496008595,204619,229419
1496009639,204674,229497
1496010759,204702,229540
1496011720,204738,229585
1496012681,204763,229620
1496013376,204766,229623
1496013653,204794,229676
1496014594,204803,229703
1496015565,204855,229772
1496016514,204896,229846
1496017232,204901,229851
1496017454,204946,229906
1496018413,205010,229999
1496019397,205047,230049
1496020365,205119,230136
1496021050,205879,231369
1496021309,205931,231437
1496022281,205978,231503
1496023309,206048,231592
1496024431,206104,231681
1496025384,206140,231726
1496026337,206201,231799
1496027314,206249,231879
1496028276,206266,231907
1496029234,206312,231989
1496030199,206351,232032
1496031164,206411,232094
1496032116,206451,232144
1496033080,206483,232191
1496034100,206525,232229
1496035242,206576,232294
1496036198,206604,232332
1496037152,206644,232388
1496038102,206695,232457
1496039057,206728,232502
1496040022,206776,232559
1496040982,206814,232617
1496041965,206845,232659
1496042913,206875,232712
1496043877,206902,232758
1496044939,206943,232827
1496046028,207011,232896
1496046981,207052,232942
1496047939,207081,232977
1496048907,207120,233019
1496049860,207214,233138
1496050821,207250,233183
1496051788,207279,233226
1496052737,207324,233288
1496053711,207380,233358
1496054659,207390,233370
1496055704,207451,233462
1496056840,207498,233524
1496057775,207513,233535
1496058739,207523,233550
1496059757,207591,233625
1496060688,207616,233660
1496061635,207649,233703
1496062610,207662,233733
1496063558,207726,233810
1496064526,207744,233839
1496065482,207769,233862
1496066553,207803,233906
1496067619,207840,233965
1496068613,207838,233975
1496069540,207879,234029
1496070504,207894,234053
1496071504,207906,234080
1496072437,207927,234120
1496073402,207949,234166
1496074366,207973,234195
1496075321,207987,234218
1496076268,208000,234244
1496077348,208075,234336
1496078422,207164,233409
1496079394,207196,233445
1496080340,207248,233501
1496081295,207287,233555
1496082265,207310,233574
1496083221,207329,233604
1496084174,207359,233639
1496085150,207365,233646
1496086099,207365,233645
1496087055,207371,233651
1496088107,207370,233647
1496089256,207372,233649
1496090197,207375,233653
1496091177,207382,233660
1496092130,207447,233764
1496093077,207496,233829
1496094039,207536,233881
1496095000,207557,233918
1496095975,207598,233979
1496096950,207633,234021
1496097869,207644,234055
1496098914,207696,234110
1496100021,207736,234162
1496100982,207762,234194
1496101935,207796,234230
1496102677,207807,234241
1496102912,207844,234281
1496103880,207856,234309
1496104833,207898,234360
1496105806,207906,234370
1496106491,207913,234377
1496106765,207933,234406
1496106785,207463,233663
1496107716,207492,233705
1496108678,207516,233738
1496109703,207558,233791
1496110831,207587,233830
1496111774,207606,233854
1496112744,207638,233894
1496113709,207650,233919
1496114653,207673,233952
1496115622,207704,233988
1496116588,207719,234008
1496117569,207748,234057
1496118513,207782,234100
1496119479,207817,234138
1496120501,207842,234175
1496121653,207866,234204
1496122601,207876,234218
1496123563,207860,234199
1496124504,207864,234205
1496125454,207869,234210
1496126424,207865,234203
1496127391,207872,234207
1496128362,207879,234215
1496129320,207882,234217
1496130295,207883,234216
1496131310,207888,234217
1496132420,207892,234223
1496133434,207888,234219
1496134355,207891,234219
1496135303,207898,234226
1496136257,207895,234224
1496137235,207906,234229
1496138196,207913,234237
1496139153,207914,234238
1496140105,207911,234235
1496141084,207916,234241
1496142108,207921,234246
1496143235,207927,234252
1496144187,207932,234256
1496145140,207933,234261
1496146160,207935,234262
1496147072,207944,234269
1496148035,207939,234265
1496148997,207938,234264
1496149949,207943,234267
1496150907,207934,234256
1496151874,207942,234265
1496152896,207949,234272
1496154038,207963,234275
1496155013,207960,234264
1496155959,207956,234257
1496156914,207963,234264
1496157881,207969,234263
1496158835,207969,234260
1496159804,207971,234263
1496160761,207971,234263
1496161721,207968,234258
1496162670,207968,234258
1496163718,207961,234250
1496164819,207052,233366
1496165793,207058,233374
1496166737,207061,233376
1496167822,207063,233378
1496168906,207056,233370
1496169858,207055,233368
1496170933,207065,233370
1496172051,207202,233543
1496172985,207207,233548
1496173938,207207,233549
1496174907,207211,233553
1496176022,207212,233552
1496177059,207339,233718
1496178089,207382,233772
1496179241,207437,233850
1496180187,207461,233883
1496181145,207476,233901
1496182132,207548,234005
1496183308,207590,234046
1496184276,207623,234088
1496185307,207667,234139
1496185707,207678,234145
1496186421,207718,234196
1496187383,207743,234223
1496188344,207779,234248
1496189305,207801,234276
1496189546,207808,234263
1496190256,207837,234304
1496191227,207863,234348
1496192182,207872,234372
1496193143,207908,234419
1496193386,207913,234423
1496194093,207697,234181
1496195059,207719,234220
1496196102,207739,234250
1496197282,207742,234253
1496198216,207739,234250
1496199202,207738,234247
1496200114,207733,234240
1496201084,207740,234247
1496202033,207746,234252
1496202988,207830,234344
1496203965,207832,234346
1496204914,207829,234342
1496205867,207925,234466
1496206962,207929,234465
1496208013,207999,234557
