DateTime,AddedIPs,RemovedIPs
1495818721,1,0
1495819205,8,65
1495819322,0,2
1495819981,0,2
1495820522,3,6
1495821124,34,3
1495821759,2,8
1495822742,4,2
1495822922,0,10
1495823521,5,3
1495824122,2,3
1495824721,0,4
1495825232,44,3
1495825358,1,3
1495825922,0,4
1495826342,3,3
1495827124,33,87
1495827722,1,6
1495828321,4,7
1495828922,2,2
1495829521,3,4
1495829942,7,2
1495830121,1,0
1495830722,8,2
1495830963,51,49
1495831321,4,8
1495831921,1,0
1495832618,2,13
1495833121,1,0
1495833721,1,1
1495834321,2,4
1495834804,48,11
1495835522,2,4
1495836219,1,1
1495836725,2,137
1495837143,4,4
1495838643,46,4
1495839121,0,3
1495840322,1,1
1495840565,132,33
1495840743,6,2
1495840921,1,4
1495841522,22,23
1495842121,0,12
1495842482,0,161
1495842721,3,0
1495843418,3,30
1495843922,7,2
1495844343,0,2
1495844522,2,5
1495845721,3,2
1495846323,40,5
1495846960,0,2
1495847522,5,5
1495848002,1,2
1495848244,1,58
1495848721,0,13
1495849322,0,3
1495850165,72,0
1495850522,1,13
1495850559,0,4
1495851121,1,1
1495851783,3,2
1495852084,0,61
1495852321,0,2
1495852921,0,5
1495853521,6,13
1495854159,4,2
1495855683,3,27
1495855924,170,83
1495856521,1,15
1495857122,0,2
1495857722,1,0
1495857759,0,1
1495858322,4,4
1495858922,0,15
1495859522,4,8
1495859764,60,96
1495860121,1,2
1495860722,2,4
1495861322,0,11
1495861359,0,2
1495862523,1,10
1495863063,1,2
1495863607,84,72
1495863722,8,2
1495864321,9,25
1495864921,0,5
1495864959,0,1
1495865523,0,60
1495866122,0,3
1495866722,1,7
1495867443,47,17
1495868522,2,8
1495868559,0,2
1495869122,0,5
1495869364,0,48
1495869722,1,0
1495870321,2,6
1495870562,3,10
1495870922,1,0
1495871284,47,0
1495871521,0,47
1495872722,1,10
1495873321,1,2
1495873921,0,42
1495874403,4,5
1495874522,1,4
1495875124,57,71
1495875633,1,0
1495875759,1,11
1495876921,0,16
1495877521,0,3
1495878183,4,6
1495878965,44,0
1495879322,5,20
1495879359,0,1
1495879922,1,20
1495880522,0,7
1495881121,3,6
1495881843,4,47
1495882322,1,21
1495882833,41,89
1495883020,36,8
1495883521,15,0
1495884122,3,4
1495884722,47,1
1495885683,4,3
1495886522,1,14
1495887121,3,4
1495887722,32,13
1495888321,3,0
1495888805,46,26
1495888922,6,5
1495889523,11,5
1495890122,47,2
1495890222,1,0
1495890721,0,12
