DateTime,Entries,UniqueIPs
1496138566,28584,35845
1496139722,28583,35844
1496140321,28580,35841
1496140921,28574,35835
1496141523,28560,35820
1496142166,28555,35815
1496143322,28555,35815
1496143922,28554,35814
1496144523,28588,35848
1496145122,28586,35846
1496145363,28632,35893
1496145766,28641,35902
1496146322,28642,35903
1496146922,28638,35896
1496147283,28597,35855
1496147521,28582,35840
1496148122,28582,35840
1496149236,28629,35887
1496149366,28625,35883
1496149922,28626,35884
1496150521,28604,35862
1496151122,28608,35865
1496152321,28606,35863
1496153283,28531,35788
1496153522,28532,35789
1496154122,28518,35775
1496155322,28513,35770
1496155921,28500,35757
1496156522,28496,35753
1496156566,28500,35757
1496157364,28534,35791
1496158322,28529,35786
1496158922,28527,35784
1496159283,28521,35780
1496159522,28510,35769
1496160166,28505,35764
1496160722,28505,35764
1496161321,28491,35750
1496162522,28482,35740
1496163122,28542,35800
1496163768,28540,35798
1496165044,28482,35740
1496166121,28482,35740
1496166722,28481,35739
1496166963,28539,35797
1496167321,28541,35799
1496167368,28540,35798
1496167922,28529,35787
1496168522,28531,35789
1496169122,28527,35785
1496170820,28470,35728
1496170966,28460,35718
1496172723,28507,35766
1496173321,28505,35764
1496173922,28505,35764
1496174522,28503,35762
1496175121,28502,35761
1496175722,28487,35746
1496176322,28491,35750
1496176563,28494,35753
1496176921,28492,35751
1496177521,28492,35751
1496178166,28481,35740
1496178722,28481,35740
1496179322,28477,35736
1496179921,28478,35737
1496180403,28400,35659
1496180522,28402,35661
1496181122,28403,35662
1496181722,28387,35645
1496182322,28379,35637
1496182922,28377,35635
1496184122,28375,35633
1496184724,28424,35682
1496185366,28428,35686
1496186644,28354,35612
1496187122,28369,35627
1496187721,28372,35630
1496188322,28374,35632
1496188563,28449,35707
1496188922,28449,35709
1496188966,28448,35708
1496189521,28445,35705
1496190122,28446,35706
1496190723,28446,35706
1496191322,28469,35729
1496192418,28377,35637
1496192627,28378,35638
1496193121,28377,35637
1496193722,28374,35634
1496194381,28374,35634
1496194921,28378,35638
1496195522,28374,35634
1496196166,28371,35631
1496197321,28361,35621
1496198405,28431,35692
1496198522,28431,35691
1496199122,28432,35692
1496199767,28433,35692
1496200921,28430,35689
1496202244,28461,35719
1496203367,28452,35709
1496203922,28452,35708
1496204404,28346,35602
1496204521,28348,35605
1496205122,28344,35599
1496205722,28336,35591
1496206322,28392,35647
1496206967,28391,35646
1496207521,28392,35647
1496208244,28594,35848
1496209322,28596,35850
1496209922,28594,35848
1496210165,28307,35560
1496210522,28304,35558
1496210568,28301,35555
1496211122,28304,35559
1496211721,28306,35561
1496212322,28302,35557
1496212922,28298,35553
1496214008,28352,35607
1496214121,28351,35606
1496214168,28348,35603
1496214722,28343,35598
1496215321,28339,35594
1496215924,28340,35595
1496216522,28346,35601
1496217121,28337,35591
1496217721,28331,35585
1496217827,28332,35586
1496218922,28328,35581
1496219764,28330,35583
1496220122,28311,35561
1496220721,28312,35562
1496221322,28311,35561
1496221921,28309,35559
1496223604,28348,35598
1496223721,28347,35597
1496224321,28348,35598
1496224967,28346,35596
1496225524,28309,35559
1496226121,28308,35558
1496226721,28309,35559
1496227444,28349,35599
1496228521,28352,35602
1496228567,28351,35601
1496229122,28352,35602
1496229363,28287,35537
1496229721,28286,35536
1496231283,28338,35588
1496232036,28329,35576
1496232167,28327,35561
1496232722,28326,35560
1496233321,28320,35554
1496233922,28321,35555
1496234521,28319,35553
1496235365,28323,35557
1496235767,28320,35554
1496236321,28319,35553
1496237288,28329,35563
1496238121,28328,35562
1496238722,28330,35564
1496239367,28328,35562
1496239922,28320,35553
1496241123,28319,35552
