DateTime,Entries,UniqueIPs
1495906848,91578,9587318
1495907405,91554,9587286
1495908005,91532,9587261
1495908741,91542,9587271
1495909203,91540,9587270
1495910208,91553,9587280
1495910691,91553,9587281
1495911003,91585,9587325
1495911605,91637,9587384
1495912203,91659,9587406
1495912605,91653,9587400
1495913405,91631,9587375
1495914003,91640,9587381
1495914522,91636,9587376
1495914603,91634,9587374
1495915204,91638,9587379
1495915803,91622,9587359
1495916448,91612,9587348
1495917003,91620,9587356
1495917605,91607,9587342
1495918367,91558,9587286
1495918806,91555,9587282
1495919402,91565,9587292
1495919704,91558,9587284
1495920278,91555,9587282
1495920303,91550,9587277
1495920903,91551,9587280
1495921503,91567,9587298
1495922204,91564,9587297
1495922500,91616,9587349
1495922704,91610,9587343
1495923303,91609,9587342
1495924102,91599,9587332
1495924206,91595,9587328
1495924835,91565,9587298
1495925404,91562,9587291
1495926158,91546,9587268
1495926603,91549,9587271
1495927203,91541,9587263
1495927963,91520,9587236
1495928104,91506,9587220
1495928703,91500,9587214
1495929128,91503,9587217
1495929305,91485,9587193
1495929883,91487,9587195
1495929904,91464,9587171
1495930505,91405,9587112
1495931103,91405,9587112
1495931803,91408,9587116
1495932304,91425,9587140
1495932903,91420,9587134
1495933729,91403,9587113
1495934105,91388,9587098
1495934706,91373,9587081
1495935643,91374,9587083
1495935904,91372,9587081
1495936501,91406,9587115
1495936803,91403,9587111
1495937571,91399,9587107
1495938003,91396,9587104
1495938603,91396,9587104
1495939203,91392,9587098
1495939475,91403,9587109
1495939505,91394,9587097
1495940103,91422,9587131
1495940705,91413,9587121
1495941387,91417,9587127
1495941606,91403,9587111
1495942361,91499,9587220
1495942804,91500,9587220
1495943296,91493,9587212
1495943704,91474,9587178
1495944303,91468,9587170
1495944604,91446,9587145
1495945242,91445,9587147
1495945804,91442,9587143
1495946404,91442,9587143
1495947162,91442,9587145
1495947605,91422,9587124
1495948203,91443,9587148
1495948804,91440,9587144
1495949075,91429,9587132
1495949705,91422,9587124
1495950304,91413,9587115
1495950980,91420,9587138
1495951505,91403,9587114
1495952105,91358,9587062
1495952921,91352,9587052
1495953004,91349,9587049
1495953603,91334,9587034
1495954139,91340,9587040
1495954503,91318,9587013
1495954914,91328,9587024
1495955104,91351,9587054
1495955705,91327,9587028
1495956304,91330,9587031
1495956742,91314,9587014
1495956903,91313,9587014
1495957504,91308,9587008
1495958102,91300,9586999
1495958404,91298,9586997
1495959005,91272,9586965
1495959603,91269,9586962
1495960204,91290,9586985
1495960845,91274,9586977
1495961106,91262,9586965
1495961703,91260,9586960
1495962005,91269,9586969
1495962761,91333,9587040
1495963204,91318,9587021
1495963804,91310,9587013
1495964403,91304,9587006
1495964671,91294,9586996
1495964706,91292,9586994
1495965303,91297,9587000
1495965903,91296,9586999
1495966358,91332,9587035
1495966855,91323,9587029
1495967105,91286,9586989
1495967705,91259,9586957
1495968305,91234,9586930
1495968754,91240,9586936
1495968905,91231,9586924
1495969504,91208,9586899
1495970105,91191,9586881
1495970685,91158,9586848
1495970703,91154,9586844
1495971304,91131,9586814
1495971904,91135,9586820
1495972600,91149,9586835
1495972827,91150,9586836
1495973103,91144,9586830
1495973406,91119,9586803
1495974004,91107,9586790
1495974524,91097,9586781
1495974604,91117,9586807
1495975204,91099,9586788
1495975804,91080,9586769
1495976405,91068,9586751
1495977003,91059,9586742
1495977604,91051,9586734
1495978367,91027,9586710
1495978502,91017,9586700
1495979104,91013,9586696
1495979704,91006,9586688
1495980303,91030,9586718
1495980606,91013,9586693
1495981204,91025,9586700
1495981803,91027,9586702
1495982198,91009,9586685
1495982402,91005,9586681
1495982707,90990,9586661
1495983376,90982,9586653
1495984100,90960,9586630
1495984503,91031,9586715
1495985104,91022,9586706
1495985409,90970,9586640
1495986027,90934,9586604
1495986605,90898,9586565
1495987206,90838,9586505
1495987944,90839,9586506
1495988403,90885,9586562
1495989003,90885,9586563
1495989604,90881,9586557
1495989871,90884,9586560
1495990203,90891,9586569
1495990505,90867,9586535
1495991105,90871,9586540
1495991800,90900,9586572
1495992303,90920,9586591
