DateTime,AddedIPs,RemovedIPs
1493759301,1,0
1493766497,1,0
1493770821,0,2
1493772742,3,0
1493773300,0,2
1493774183,0,2
1493774653,0,3
1493775139,1,0
1493775617,1,2
1493776099,0,2
1493777058,0,1
1493777534,0,1
1493778019,0,4
1493778494,1,0
1493779453,1,0
1493779941,0,1
1493780943,18,0
1493802254,1,0
1493802746,0,1
1493824870,33,0
1493835385,1,0
1493841138,2,1
1493859860,0,1
1493860337,1,1
1493860822,1,1
1493861296,0,1
1493862260,0,2
1493862737,2,0
1493864415,1,0
1493865379,0,1
1493865859,1,0
1493866334,1,0
1493868793,20,0
1493883071,1,0
1493885064,0,1
1493886979,2,0
1493887933,0,1
1493892497,0,1
1493892988,0,1
1493893457,2,0
1493893945,2,0
1493901134,1,0
1493912423,31,0
1493918414,0,1
1493919380,2,0
1493925617,1,0
1493926577,0,3
1493927534,1,4
1493928256,1,0
1493933538,1,0
1493943136,1,2
1493946258,0,3
1493946739,1,3
1493947217,0,1
1493947693,0,2
1493948181,2,1
1493948658,3,3
1493949136,1,0
1493949854,1,1
1493951773,0,1
1493953456,1,0
1493956120,27,0
1493961139,1,0
1493974343,1,0
1493977696,1,0
1493979616,2,0
1493985143,2,0
1493998333,1,0
1493999798,22,0
1494013939,3,1
1494023537,0,2
1494032656,1,0
1494033134,1,0
1494033623,0,5
1494034098,0,1
1494034579,0,2
1494035054,2,3
1494035541,2,2
1494036496,0,2
1494036976,0,2
1494037457,0,1
1494043471,16,0
1494052579,0,1
1494055694,0,1
1494058098,1,0
1494059061,0,1
1494060020,2,0
1494067932,1,0
1494068658,1,2
1494074662,1,0
1494075135,0,1
1494078500,1,0
1494078976,0,1
1494080420,1,2
1494080895,0,1
1494081373,1,0
1494081853,0,1
1494082337,1,0
1494083774,0,1
1494084742,1,0
1494085218,0,1
1494085700,1,0
1494086659,0,1
1494087159,25,0
1494087620,1,0
1494088576,0,1
1494090984,1,0
1494091457,0,1
1494092418,1,0
1494092895,0,1
1494094098,1,0
1494094574,0,1
1494097942,1,0
1494098418,0,1
1494099857,1,0
1494100333,0,5
1494101054,3,0
1494102495,0,1
1494103941,1,0
1494105373,0,1
1494107777,1,0
1494108255,0,1
1494109943,1,0
1494111133,0,1
1494112103,1,0
1494113295,0,1
1494114253,1,0
1494114733,0,1
1494115458,1,0
1494116657,0,1
1494118098,1,0
1494118575,0,1
1494119057,1,2
1494119535,1,3
1494120021,2,0
1494120493,0,4
1494120974,1,0
1494121453,1,1
1494122897,0,2
1494130848,18,0
1494133455,1,0
1494174506,25,0
1494175697,1,0
1494186982,4,1
1494200902,1,0
1494205232,0,1
1494205700,1,2
1494206174,1,0
1494206658,1,2
1494207617,1,2
1494208099,3,1
1494208579,0,1
1494209057,0,1
1494209535,3,2
1494218183,30,0
1494219380,0,1
1494229935,1,0
1494230485,1,0
1494256098,1,0
1494261877,36,0
1494273133,1,2
1494292112,0,1
1494292579,0,1
1494293056,1,2
1494293539,1,2
1494294018,2,2
1494294500,0,2
1494294975,0,1
1494295455,0,1
1494295941,2,3
1494298340,0,1
1494299055,1,0
1494305557,30,0
1494349294,28,0
1494359533,2,1
1494368176,2,2
1494378734,0,1
1494379698,0,1
1494380177,0,1
1494380654,1,2
1494381137,3,1
1494382099,1,0
1494383058,1,0
1494392926,23,0
1494397937,0,8
1494398418,0,1
1494399376,0,6
1494399857,0,6
1494400336,2,0
1494405617,2,0
1494416417,0,1
1494416900,2,0
1494421456,0,2
1494423376,0,3
1494436613,22,0
1494437539,1,0
1494445933,5,5
1494451853,1,0
1494459134,1,0
1494464655,0,1
1494465141,1,0
1494465615,0,1
1494466098,2,1
1494466573,0,1
1494468260,0,4
1494468734,1,1
1494469693,0,1
1494470178,0,1
1494470654,1,1
1494480262,14,0
1494522256,1,0
1494523955,22,0
1494527537,1,0
1494531854,3,5
1494535215,1,1
1494551059,0,3
1494551534,2,1
1494552016,1,0
1494552494,0,1
1494553933,0,1
1494554900,2,1
1494556334,0,1
1494567639,20,0
1494590659,0,1
1494611325,21,0
1494613851,1,0
1494616098,1,0
1494618496,6,4
1494621377,1,0
1494638658,0,1
1494639135,1,0
1494639618,1,1
1494640093,1,0
1494641054,1,0
1494641536,2,2
1494642016,0,1
1494642497,1,0
1494642973,2,3
1494646253,1,0
1494654982,20,0
1494658575,0,1
1494659063,0,2
1494660965,0,181
1494661455,181,0
1494678672,1,0
1494685463,2,9
1494693863,1,1
1494698684,31,0
1494702259,1,0
1494704179,0,1
1494704662,3,4
1494714259,1,0
1494724347,0,1
1494725785,0,1
1494726262,1,0
1494742366,26,0
1494747056,1,0
1494747862,0,1
1494757223,1,0
1494772585,1,0
1494773064,0,1
1494786059,50,0
1494791058,3,2
1494796823,1,0
1494806664,0,1
1494811939,0,2
1494812424,1,0
1494815309,1,0
