DateTime,Entries,UniqueIPs
1493708899,25856,25946
1493734576,25855,25945
1493736928,25874,25964
1493754974,25875,25965
1493759301,25876,25966
1493766497,25877,25967
1493770821,25875,25965
1493772742,25878,25968
1493773300,25876,25966
1493774183,25874,25964
1493774653,25871,25961
1493775139,25872,25962
1493775617,25871,25961
1493776099,25869,25959
1493777058,25868,25958
1493777534,25867,25957
1493778019,25863,25953
1493778494,25864,25954
1493779453,25865,25955
1493779941,25864,25954
1493780943,25881,25972
1493802254,25882,25973
1493802746,25881,25972
1493824870,25914,26005
1493835385,25915,26006
1493841138,25916,26007
1493859860,25915,26006
1493860337,25915,26006
1493860822,25915,26006
1493861296,25914,26005
1493862260,25912,26003
1493862737,25914,26005
1493864415,25915,26006
1493865379,25914,26005
1493865859,25915,26006
1493866334,25916,26007
1493868793,25936,26027
1493883071,25937,26028
1493885064,25936,26027
1493886979,25938,26029
1493887933,25937,26028
1493892497,25936,26027
1493892988,25935,26026
1493893457,25937,26028
1493893945,25939,26030
1493901134,25940,26031
1493912423,25971,26062
1493918414,25970,26061
1493919380,25972,26063
1493925617,25973,26064
1493926577,25970,26061
1493927534,25967,26058
1493928256,25968,26059
1493933538,25969,26060
1493943136,25968,26059
1493946258,25965,26056
1493946739,25964,26054
1493947217,25963,26053
1493947693,25961,26051
1493948181,25962,26052
1493948658,25961,26052
1493949136,25962,26053
1493949854,25962,26053
1493951773,25961,26052
1493953456,25962,26053
1493956120,25989,26080
1493961139,25990,26081
1493974343,25991,26082
1493977696,25992,26083
1493979616,25994,26085
1493985143,25996,26087
1493998333,25997,26088
1493999798,26019,26110
1494013939,26021,26112
1494023537,26019,26110
1494032656,26020,26111
1494033134,26021,26112
1494033623,26016,26107
1494034098,26015,26106
1494034579,26013,26104
1494035054,26012,26103
1494035541,26012,26103
1494036496,26010,26101
1494036976,26008,26099
1494037457,26007,26098
1494043471,26023,26114
1494052579,26022,26113
1494055694,26021,26112
1494058098,26022,26113
1494059061,26021,26112
1494060020,26023,26114
1494067932,26024,26115
1494068658,26023,26114
1494074662,26024,26115
1494075135,26023,26114
1494078500,26024,26115
1494078976,26023,26114
1494080420,26022,26113
1494080895,26021,26112
1494081373,26022,26113
1494081853,26021,26112
1494082337,26022,26113
1494083774,26021,26112
1494084742,26022,26113
1494085218,26021,26112
1494085700,26022,26113
1494086659,26021,26112
1494087159,26046,26137
1494087620,26047,26138
1494088576,26046,26137
1494090984,26047,26138
1494091457,26046,26137
1494092418,26047,26138
1494092895,26046,26137
1494094098,26047,26138
1494094574,26046,26137
1494097942,26047,26138
1494098418,26046,26137
1494099857,26047,26138
1494100333,26042,26133
1494101054,26045,26136
1494102495,26044,26135
1494103941,26045,26136
1494105373,26044,26135
1494107777,26045,26136
1494108255,26044,26135
1494109943,26045,26136
1494111133,26044,26135
1494112103,26045,26136
1494113295,26044,26135
1494114253,26045,26136
1494114733,26044,26135
1494115458,26045,26136
1494116657,26044,26135
1494118098,26045,26136
1494118575,26044,26135
1494119057,26043,26134
1494119535,26041,26132
1494120021,26043,26134
1494120493,26039,26130
1494120974,26040,26131
1494121453,26040,26131
1494122897,26038,26129
1494130848,26056,26147
1494133455,26057,26148
1494174506,26082,26173
1494175697,26083,26174
1494186982,26086,26177
1494200902,26087,26178
1494205232,26086,26177
1494205700,26086,26176
1494206174,26087,26177
1494206658,26086,26176
1494207617,26085,26175
1494208099,26086,26177
1494208579,26085,26176
1494209057,26084,26175
1494209535,26085,26176
1494218183,26115,26206
1494219380,26114,26205
1494229935,26115,26206
1494230485,26116,26207
1494256098,26117,26208
1494261877,26153,26244
1494273133,26152,26243
1494292112,26151,26242
1494292579,26150,26241
1494293056,26149,26240
1494293539,26148,26239
1494294018,26148,26239
1494294500,26146,26237
1494294975,26145,26236
1494295455,26144,26235
1494295941,26143,26234
1494298340,26142,26233
1494299055,26143,26234
1494305557,26173,26264
1494349294,26201,26292
1494359533,26202,26293
1494368176,26202,26293
1494378734,26201,26292
1494379698,26200,26291
1494380177,26199,26290
1494380654,26198,26289
1494381137,26200,26291
1494382099,26201,26292
1494383058,26202,26293
1494392926,26225,26316
1494397937,26217,26308
1494398418,26216,26307
1494399376,26210,26301
1494399857,26204,26295
1494400336,26206,26297
1494405617,26208,26299
1494416417,26207,26298
1494416900,26209,26300
1494421456,26207,26298
1494423376,26204,26295
1494436613,26225,26317
1494437539,26226,26318
1494445933,26225,26318
1494451853,26226,26319
1494459134,26227,26320
1494464655,26226,26319
1494465141,26227,26320
1494465615,26226,26319
1494466098,26227,26320
1494466573,26226,26319
1494468260,26222,26315
1494468734,26222,26315
1494469693,26221,26314
1494470178,26220,26313
1494470654,26220,26313
1494480262,26234,26327
1494522256,26235,26328
1494523955,26257,26350
1494527537,26258,26351
1494531854,26257,26349
1494535215,26257,26349
1494551059,26254,26346
1494551534,26255,26347
1494552016,26256,26348
1494552494,26255,26347
1494553933,26254,26346
1494554900,26255,26347
1494556334,26254,26346
1494567639,26274,26366
1494590659,26273,26365
1494611325,26294,26386
1494613851,26295,26387
1494616098,26296,26388
1494618496,26297,26390
1494621377,26298,26391
1494638658,26297,26390
1494639135,26298,26391
1494639618,26298,26391
1494640093,26299,26392
1494641054,26300,26393
1494641536,26300,26393
1494642016,26299,26392
1494642497,26300,26393
1494642973,26299,26392
1494646253,26300,26393
1494654982,26320,26413
1494658575,26319,26412
1494659063,26317,26410
1494660965,26139,26229
1494661455,26317,26410
1494678672,26318,26411
1494685463,26313,26404
1494693863,26313,26404
1494698684,26344,26435
1494702259,26345,26436
1494704179,26344,26435
1494704662,26343,26434
1494714259,26344,26435
1494724347,26343,26434
1494725785,26342,26433
1494726262,26343,26434
1494742366,26369,26460
1494747056,26370,26461
1494747862,26369,26460
1494757223,26370,26461
1494772585,26371,26462
1494773064,26370,26461
1494786059,26420,26511
1494791058,26421,26512
1494796823,26422,26513
1494806664,26421,26512
1494811939,26419,26510
1494812424,26420,26511
1494815309,26421,26512
1494829729,26437,26528
1494830182,26436,26527
1494839305,26437,26528
1494839779,26437,26528
1494852264,26437,26528
