DateTime,AddedIPs,RemovedIPs
1482380655,6144,0
1482409837,101,166
1482443436,802,530
1482483224,347,332
1482496248,104,129
1482511253,207,131
1482520911,265,243
1482527143,680,182
1482582641,145,115
1482597953,397,325
1482669043,101,108
1482755437,657,565
1482790045,459,592
1482838029,107,215
1482841838,105,126
1482875005,442,426
1482920741,418,487
1482928240,111,127
1482942081,309,129
1482961228,380,290
1483014637,473,291
1483014745,172,284
1483029156,524,138
1483040275,257,449
1483101038,498,360
1483116396,558,361
1483187437,86,136
1483203297,220,190
1483252110,16382,0
1483273852,457,359
1483277791,182,196
1483360236,101,102
1483361667,188,280
1483369943,194,77
1483426376,1124,88
1483446637,95,152
1483524290,477,803
1483524345,518,234
1483533047,164,95
1483571130,160,104
1483619449,498,659
1483657046,485,451
1483705840,309,251
1483738622,552,329
1483743120,192,250
1483775058,1022,0
1483792278,335,394
1483878643,245,263
1483965038,112,76
1483980068,367,356
1484000756,385,281
1484051441,439,301
1484060822,213,269
1484062648,162,141
1484085921,212,171
1484137843,159,82
1484141077,320,188
1484172418,471,259
1484224237,146,92
1484238546,384,472
1484249528,237,125
1484304344,333,180
1484310654,136,87
1484332374,375,384
1484334050,189,378
1484350924,218,164
1484397039,86,158
1484483440,272,210
1484501492,442,295
1484506032,154,174
1484569846,280,242
1484582924,292,251
1484587269,330,262
1484656244,103,112
1484664889,162,114
1484670058,211,237
1484742639,397,248
1484754415,522,877
1484823168,537,223
1484829050,183,117
1484841541,439,246
1484909793,411,284
1484915441,100,115
1484923062,315,285
1484976300,179,232
1485001841,308,390
1485018892,252,284
1485088235,264,141
1485092179,277,287
1485092306,200,216
1485174634,121,124
1485176014,420,512
1485214687,373,225
1485261044,484,329
1485290591,417,487
1485291852,172,225
1485344386,228,147
1485347437,121,63
1485376551,316,272
1485425568,350,354
1485433839,116,110
1485448692,204,204
1485462657,375,272
1485484980,141,147
1485520242,135,121
1485525886,187,186
1485544530,267,286
1485546581,158,127
1485606640,94,130
1485693038,528,522
1485702435,332,281
1485739024,250,204
1485776081,91,99
1485779439,117,93
1485823702,317,383
1485862044,351,262
1485865839,188,109
1485903298,262,251
1485952241,411,590
1485953782,131057,0
1485987816,222,299
1486038646,130,134
1486048088,331,178
1486070765,447,521
1486125037,168,144
1486157293,715,590
1486162557,362,212
1486211437,147,117
1486219044,103,187
1486225496,265,489
1486226256,86,271
1486297841,119,111
1486305720,577,452
1486318680,264,92
1486384242,199,109
1486405634,282,275
1486464090,486,293
1486470646,316,243
1486480966,82,137
1486519717,748,505
1486557040,125,66
1486564127,65678,32904
1486564738,311,190
1486594864,5,7
1486595367,356,335
1486639064,162,129
1486643439,114,122
1486645708,188,241
1486673157,338,239
1486724092,166,115
1486729841,108,190
1486747587,512,457
1486759600,225,320
1486816248,104,96
1486830828,315,212
1486902639,111,138
1486910145,218,133
1486911442,181,259
1486989040,766,341
1487020172,730,634
1487068349,578,484
1487075436,129,152
1487087054,0,16777142
1487099795,228,160
1487115993,181,233
1487161835,440,480
1487184097,444,210
1487200225,595,391
1487248235,239,216
1487265896,269,226
1487266582,236,135
1487271071,149,215
1487334635,186,101
1487348429,65414,0
1487349231,766,474
1487421036,186,121
1487442441,319,386
1487507440,460,347
1487507851,70,48
1487515816,88,167
1487590400,254,270
1487593839,123,143
1487676580,605,473
1487676636,287,235
1487680237,140,97
1487720697,1055,702
1487766638,159,116
1487794976,199,230
1487853054,615,499
1487863934,210,121
1487868301,455,516
1487939444,166,115
1487940426,147,97
1488010711,419,334
1488025849,122,110
1488038803,415,355
1488112261,137,215
1488125149,196,197
1488125205,139,102
1488196888,218,279
1488198646,111,179
1488209400,541,406
1488219867,4091,0
1488235328,265,148
1488281444,105,163
1488289957,314,321
1488318432,93,160
1488367845,123,182
1488370603,261,278
1488395265,498,570
1488454260,212,327
1488455368,276,303
1488479223,497,289
1488489691,268,92
1488540644,92,134
1488554263,563,363
1488564465,177,104
1488627043,349,432
1488633032,123,213
1488713442,181,324
1488798961,742,523
1488799844,94,167
1488882321,604,654
1488886244,110,133
1488916753,120,229
1488972644,107,136
1488981559,324,250
1489059044,467,383
1489145444,114,123
1489145698,381,376
1489231845,509,835
1489245317,161,204
1489256282,212,172
1489318244,84,128
1489335217,206,196
1489336974,286,966
1489404644,88,98
1489416891,271,157
1489417839,241,242
1489445328,179,1092
1489491043,92,101
1489502441,135,182
1489503213,230,254
1489526950,256,0
1489527966,165,542
1489577444,92,105
1489587590,352,158
1489608653,433,654
1489624631,274,232
1489663851,160,106
