DateTime,Entries,UniqueIPs
1470819602,1261,1095120
1470841202,1262,1095121
1470884402,1263,1095122
1470949202,1264,1095123
1471014002,1265,1095124
1471057202,1268,1095127
1471078802,1269,1095128
1471100401,1270,1095129
1471122001,1271,1095130
1471208401,1272,1095131
1471230002,1274,1095133
1471316402,1279,1095138
1471338002,1282,1095141
1471359602,1284,1095143
1471381202,1288,1095147
1471402802,1289,1095148
1471446002,1290,1095149
1471467601,1291,1095150
1471489202,1292,1095151
1471597202,1293,1095152
1471618802,1295,1095154
1471683602,1296,1095155
1471726802,1297,1095156
1471748402,1298,1095157
1471791602,1299,1095158
1471813202,1300,1095159
1471834802,1300,1095161
1471856402,1301,1095162
1471878001,1302,1095163
1471964402,1303,1095164
1472051039,1304,1095165
1472072401,1305,1095166
1472094002,1306,1095167
1472158802,1307,1095168
1472266802,1308,1095169
1472310001,1310,1095171
1472331602,1312,1095173
1472396402,1313,1095174
1472418002,1314,1095175
1472439602,1314,1095176
1472526001,1315,1095177
1472698801,1316,1095178
1472720402,1317,1095180
1472763602,1319,1095182
1472785203,1319,1095184
1472871601,1321,1095186
1472914802,1322,1095187
1472936402,1324,1095189
1472958002,1325,1095190
1473044402,1326,1095191
1473087602,1327,1095192
1473130802,1330,1095195
1473174002,1333,1095198
1473195602,1334,1095199
1473217202,1335,1095200
1473238801,1336,1095201
1473282001,1337,1095202
1473368402,1339,1095204
1473390002,1340,1095205
1473433202,1341,1095206
1473454801,1342,1095207
1473476402,1345,1095210
1473541202,1346,1095211
1473584402,1347,1095212
1473670802,1348,1095213
1473865202,1349,1095214
1473930002,1350,1095215
1473951601,1351,1095216
1474081201,1353,1095218
1474167602,1354,1095219
1474232402,1355,1095220
1474275602,1356,1095221
1474297201,1357,1095222
1474318801,1358,1095223
1474491601,1359,1095224
1474513202,1360,1095225
1474578001,1362,1095227
1474707602,1363,1095228
1474815602,1364,1095229
1474923602,1365,1095230
1474988401,1367,1095232
1475031602,1368,1095233
1475053202,1369,1095234
1475247601,1371,1095237
1475269202,1372,1095239
1475312402,1373,1095240
1475334001,1374,1095241
1475355602,1375,1095242
1475377202,1376,1095243
1475398802,1377,1095244
1475420401,1379,1095247
1475442002,1380,1095248
1475463602,1382,1095250
1475528402,1383,1095251
1475550002,1384,1095252
1475593202,1386,1095254
1475614802,1390,1095258
1475744401,1391,1095259
1475766002,1393,1095261
1475809201,1395,1095263
1475874004,1396,1095264
1475895604,1397,1095265
1475917204,1398,1095266
1475982004,1399,1095267
1476068402,1400,1095268
1476090002,1401,1095269
1476111602,1402,1095270
1476133202,1403,1095271
1476154802,1404,1095272
1476176402,1405,1095273
1476219602,1406,1095274
1476284402,1408,1095276
1476327602,1409,1095277
1476349202,1410,1095278
1476414003,1411,1095280
1476478802,1414,1095283
1476522002,1415,1095284
1476543602,1416,1095286
1476630002,1417,1095287
1476673202,1418,1095288
1476867602,1419,1095289
1476889202,1419,1095290
1476997203,1421,1095292
1477018803,1422,1095293
1477062003,1423,1095294
1477105203,1424,1095295
1477126803,1425,1095296
1477386003,1427,1095298
1477429202,1428,1095299
1477450801,1430,1095301
1477494002,1432,1095303
1477537202,1434,1095305
1477580402,1436,1095307
1477731602,1437,1095308
1477753202,1440,1095311
1477800002,1441,1095313
1477886402,1442,1095314
1477929602,1443,1095315
1477951203,1444,1095316
1478037603,1445,1095317
1478145601,1447,1095319
1478210402,1449,1095321
1478275202,1450,1095322
1478383202,1451,1095323
1478534403,1452,1095324
1478556002,1453,1095325
1478707202,1454,1095326
1478793602,1455,1095327
1479052802,1456,1095328
1479074402,1459,1095331
1479160801,1460,1095332
1479247202,1460,1095333
1479290403,1461,1095334
1479312002,1462,1095335
1479333603,1463,1095337
1479355202,1464,1095338
1479398401,1466,1095340
1479463202,1467,1095341
1479484802,1468,1095342
1479506402,1470,1095344
1479571202,1473,1095347
1479592802,1474,1095348
1479852003,1475,1095349
1479873603,1476,1095350
1480046403,1477,1095351
1480111202,1478,1095352
1480197602,1479,1095353
1480219203,1480,1095354
1480240803,1480,1095355
1480284002,1482,1095357
1480305602,1486,1095361
1480327202,1487,1095362
1480413604,1488,1095363
1480435204,1489,1095364
1480456802,1490,1095365
1480478403,1492,1095367
1480564802,1494,1095369
1480586401,1495,1095370
1480608002,1496,1095371
1480694402,1497,1095372
1480737602,1498,1095373
1480759201,1499,1095374
1480780803,1500,1095375
1480802402,1501,1095376
1480845602,1503,1095378
1480888803,1504,1095379
1480910402,1506,1095381
1480953602,1507,1095382
1481018402,1508,1095383
1481061602,1509,1095384
1481083202,1510,1095385
1481104801,1511,1095386
1481148002,1512,1095387
1481299202,1513,1095388
1481364002,1514,1095389
1481407202,1515,1095390
1481428803,1516,1095391
1481450403,1517,1095392
1481472002,1518,1095393
1481493604,1519,1095394
1481515202,1521,1095396
1481558402,1522,1095397
1481580002,1523,1095398
1481644802,1525,1095400
1481731202,1527,1095402
1481752802,1529,1095404
1481860802,1531,1095406
1481904003,1532,1095407
1481990402,1534,1095409
1482012002,1535,1095410
1482033602,1537,1095412
1482055201,1538,1095413
1482076801,1539,1095414
1482228002,1540,1095415
1482292803,1541,1095416
1482379203,1543,1095418
1482444003,1544,1095419
1482530402,1546,1095421
1482573602,1547,1095422
1482595203,1550,1095425
1482638402,1551,1095426
1482681602,1552,1095427
1482724803,1553,1095428
1482768002,1556,1095431
1482789603,1557,1095432
1482876002,1559,1095434
1482897602,1560,1095435
1482940802,1561,1095436
1482984002,1562,1095437
1483027202,1564,1095439
1483048802,1565,1095440
1483070404,1566,1095441
1483156802,1567,1095442
1483243203,1568,1095443
1483264802,1569,1095444
1483286402,1572,1095447
1483394402,1573,1095448
1483480802,1574,1095449
1483502403,1575,1095450
1483567202,1578,1095453
1483696803,1579,1095454
1483718402,1580,1095455
1483740002,1581,1095456
1483761603,1582,1095457
1483783202,1583,1095458
1483826402,1584,1095459
1483891203,1585,1095460
1483977602,1586,1095461
1483999202,1587,1095462
1484064002,1588,1095463
1484085602,1590,1095465
1484193602,1591,1095466
1484236802,1593,1095468
1484280002,1595,1095470
1484431202,1596,1095471
1484625601,1598,1095473
1484755203,1599,1095474
1484776801,1600,1095475
1484906403,1602,1095477
1485057603,1603,1095478
1485122402,1604,1095479
1485144003,1606,1095481
1485208802,1607,1095482
1485468002,1608,1095483
1485489604,1609,1095484
1485554401,1610,1095485
1485576002,1614,1095489
1485748802,1616,1095491
1485770402,1618,1095493
1485835202,1621,1095497
1485856802,1622,1095498
1485964802,1623,1095499
1485986401,1624,1095500
1486094403,1625,1095501
1486159202,1626,1095502
1486245602,1627,1095503
1486288803,1628,1095504
1486332002,1629,1095505
1486353602,1630,1095506
1486396801,1631,1095507
1486418402,1632,1095508
1486440001,1636,1095512
1486483202,1638,1095514
1486612801,1639,1095515
1486634402,1640,1095516
1486720802,1640,1095517
1486742402,1641,1095518
1486785602,1643,1095520
1486807203,1644,1095521
1486828803,1646,1095523
1486850402,1648,1095525
1486872002,1650,1095527
1486893602,1651,1095528
1486958402,1652,1095529
1487001602,1654,1095531
1487044803,1655,1095532
1487066402,1656,1095533
1487088002,1657,1095534
1487109602,1658,1095535
1487131203,1660,1095537
1487152802,1661,1095538
1487174402,1663,1095540
1487217602,1663,1095541
1487260802,1664,1095542
1487304003,1665,1095543
1487390402,1666,1095544
1487412002,1668,1095546
1487541602,1670,1095548
1487563203,1671,1095549
1487649603,1672,1095550
1487757602,1673,1095551
1487822403,1674,1095553
1487887202,1674,1095554
1487952002,1675,1095555
1487973602,1676,1095556
1487995202,1676,1095557
1488081602,1677,1095558
1488124802,1679,1095560
1488232802,1680,1095561
1488254402,1683,1095564
1488276001,1684,1095565
1488297602,1684,1095566
1488319202,1685,1095567
1488340802,1686,1095568
1488384002,1687,1095569
1488405602,1689,1095571
1488470402,1690,1095572
1488686402,1690,1095573
1488729602,1691,1095574
1488751202,1692,1095575
1488772803,1693,1095576
1488794402,1694,1095577
1488837601,1695,1095578
1488880801,1697,1095580
1488945602,1698,1095581
1489075202,1699,1095582
1489140002,1700,1095583
1489161602,1701,1095584
1489204803,1702,1095585
1489269602,1702,1095586
1489334402,1703,1095587
1489356002,1704,1095588
1489377603,1705,1095589
1489420802,1707,1095591
1489464002,1708,1095592
1489485602,1711,1095595
1489507203,1712,1095596
1489528802,1715,1095599
1489572003,1717,1095601
1489615202,1718,1095602
1489658402,1719,1095603
1489680002,1720,1095604
1489701602,1721,1095605
1489809603,1728,1095612
1489831202,1729,1095613
1489874402,1731,1095616
1489896002,1732,1095617
1489917602,1734,1095619
1489960802,1735,1095620
1489982403,1736,1095621
1490025602,1737,1095622
