DateTime,Entries,UniqueIPs
1488847450,25059,25059
1488862112,25064,25064
1488876750,25073,25073
1488891388,25080,25080
1488906521,25086,25086
1488921159,25094,25094
1488935779,25100,25100
1488950424,25105,25105
1488965058,25110,25110
1488979709,25120,25120
1488994380,25130,25130
1489008995,25137,25137
1489023611,25147,25147
1489038251,25159,25159
1489052898,25163,25163
1489067561,25171,25171
1489082200,25181,25181
1489097073,25193,25193
1489111692,25199,25199
1489126344,25204,25204
1489140983,25215,25215
1489155636,25225,25225
1489170260,25236,25236
1489184915,25243,25243
1489199535,25248,25248
1489214439,25259,25259
1489229057,25265,25265
1489243703,25268,25268
1489258353,25275,25275
1489272970,25279,25279
1489287707,25290,25290
1489302264,25293,25293
1489316894,25300,25300
1489331558,25304,25304
1489346455,25312,25312
1489361051,25317,25317
1489375715,25328,25328
1489390331,25336,25336
1489404985,25342,25342
1489419618,25357,25357
1489434257,25383,25383
1489448890,25399,25399
1489463544,25414,25414
1489478169,25422,25422
1489492913,25429,25429
1489507708,25443,25443
1489522355,25459,25459
1489536992,25467,25467
1489551633,25474,25474
1489566248,25480,25480
1489581155,25491,25491
1489595782,25504,25504
1489610445,25509,25509
1489625062,25519,25519
1489639704,25526,25526
1489654351,25529,25529
1489668978,25534,25534
1489683686,25536,25536
1489698266,25545,25545
1489712929,25549,25549
1489727562,25554,25554
1489742433,25564,25564
1489757062,25572,25572
1489771982,25576,25576
1489786585,25581,25581
1489801240,25587,25587
1489815849,25599,25599
1489830493,25605,25605
1489845144,25614,25614
1489859776,25626,25626
1489874522,25633,25633
1489889069,25644,25644
1489903691,25654,25654
1489918350,25659,25659
1489933243,25672,25672
1489947861,25686,25686
1489962497,25693,25693
1489977148,25707,25707
1489991782,25720,25720
1490006412,25731,25731
1490021053,25738,25738
1490035712,25744,25744
1490050332,25754,25754
1490064980,25761,25761
1490079717,25768,25768
1490094276,25771,25771
1490108902,25786,25786
1490123543,25792,25792
1490138183,25803,25803
1490152824,25810,25810
1490167450,25816,25816
1490182096,25829,25829
1490196751,25833,25833
1490211640,25841,25841
1490226261,25848,25848
1490241173,25850,25850
1490255776,25857,25857
1490270512,25861,25861
1490285318,25870,25870
1490299931,25881,25881
1490314596,25893,25893
1490329224,25898,25898
1490343865,25903,25903
1490358508,25913,25913
1490373154,25921,25921
1490387787,25928,25928
1490402417,25937,25937
1490417049,25939,25939
1490431697,25948,25948
1490446353,25954,25954
1490461006,25961,25961
1490475726,25969,25969
1490490264,25976,25976
1490504919,25984,25984
1490519550,25996,25996
1490534200,26003,26003
1490548815,26013,26013
1490563447,26020,26020
1490578109,26028,26028
1490592758,26036,26036
1490607399,26042,26042
1490622013,26051,26051
1490636662,26058,26058
1490651292,26069,26069
1490665983,26074,26074
1490680589,26078,26078
1490695284,26089,26089
1490709868,26103,26103
1490724504,26112,26112
1490739142,26122,26122
1490753783,26128,26128
1490768433,26130,26130
1490783064,26139,26139
1490797704,26147,26147
1490812361,26153,26153
1490826972,26162,26162
1490841630,26169,26169
1490856250,26177,26177
1490870912,26182,26182
1490885556,26188,26188
1490900188,26195,26195
1490914926,26199,26199
1490929467,26208,26208
1490944129,26217,26217
