DateTime,AddedIPs,RemovedIPs
1458206899,30,29
1458221546,11,27
1458236180,8,12
1458250817,13,14
1458265457,1,0
1458280094,3,1
1458309369,15,24
1458324022,8,14
1458338701,21,7
1458382579,28,23
1458397222,13,19
1458411866,20,10
1458426488,9,0
1458441145,5,6
1458470416,27,27
1458485058,22,0
1458514367,19,12
1458543683,9,4
1458558275,28,21
1458587556,22,0
1458617077,7,0
1458646363,30,31
1458661014,20,15
1458690284,9,18
1458719811,28,25
1458734433,21,27
1458749422,25,0
1458763953,0,4
1458778792,16,0
1458808115,29,27
1458822748,0,19
1458837679,30,11
1458866902,0,7
1458881558,0,20
1458910842,30,30
1458925451,10,0
1458955022,16,5
1458984505,2,20
1459013793,30,17
1459028438,7,9
1459043064,2,0
1459057707,3,0
1459087039,25,25
1459101628,10,3
1459116279,4,17
1459130922,6,2
1459145541,2,18
1459174846,23,16
1459189714,13,5
1459218984,4,26
1459248262,27,39
1459262904,13,0
1459277564,12,5
1459306865,9,27
1459351002,17,21
1459394830,11,2
1459424210,28,55
1459453459,25,22
1459468120,3,7
1459497427,3,26
1459512043,18,0
1459526688,2,7
1459541349,6,8
1459555954,4,0
1459585457,33,29
1459614769,29,31
1459666615,16,3
1459703619,0,63
1459807253,26,82
1459837023,16,28
1459939449,29,70
1459983396,28,11
1459998103,21,1
1460027579,24,24
1460042131,15,18
1460056838,14,15
1460071453,4,0
1460086119,1,4
1460101281,30,0
1460115847,0,26
1460130508,8,7
1460159793,6,34
1460174418,1,0
1460203716,17,31
1460218363,0,21
1460247621,17,2
1460745151,31,434
1460804474,15,48
1460819102,16,13
1460848610,33,13
1460877865,34,30
1460893023,22,0
1460922253,0,27
1460936952,21,24
1460980845,0,20
1460995451,29,19
1461010393,0,8
1461039649,0,28
1461068910,32,26
1461083559,0,19
1461142097,0,40
1461162535,30,21
1461191782,0,14
1461221061,0,23
1461235701,23,0
1461265586,0,35
1461294912,0,25
1461324278,0,26
1461338897,0,26
1461368176,0,19
1461397479,0,29
1461426750,0,28
1461485304,0,35
1461514590,0,12
1461529234,0,16
1461558511,0,4
1461588100,35,24
1461617549,0,7
1461632192,0,3
1461646821,0,4
1461661483,0,27
1461690773,0,11
1461720031,0,12
1461749311,0,2
1461763972,0,26
1461778587,0,15
1461793227,0,7
1461822503,0,27
1461837155,35,0
1461851781,0,16
1461866435,0,12
1461881067,0,13
1461924985,0,28
1461939630,31,0
1461969145,0,13
1461998432,0,28
1462027699,0,31
1462056977,0,8
1462086248,0,4
1462100918,32,30
1462115580,0,2
1462130192,0,6
1462144838,0,3
1462174094,0,34
1462188751,0,31
1462220928,0,12
1462301571,0,27
1462404028,0,9
1462433299,0,12
