DateTime,Entries,UniqueIPs
1496021403,28767,28767
1496022303,28986,28986
1496023203,29565,29565
1496024104,29916,29916
1496025003,30226,30226
1496025903,30514,30514
1496026803,30806,30806
1496027704,31041,31041
1496028603,31230,31230
1496029503,28807,28807
1496030404,28444,28444
1496031303,28939,28939
1496032203,28524,28524
1496033103,27760,27760
1496034003,27118,27118
1496034904,26692,26692
1496035803,25873,25873
1496036703,25701,25701
1496037603,25465,25465
1496038503,25832,25832
1496039403,26024,26024
1496040304,26045,26045
1496041203,26372,26372
1496042104,26296,26296
1496043003,26107,26107
1496043903,25733,25733
1496044803,26077,26077
1496045703,26238,26238
1496046603,26196,26196
1496047503,26043,26043
1496048403,25855,25855
1496049303,25891,25891
1496050203,26406,26406
1496051104,26965,26965
1496052004,27704,27704
1496052904,27932,27932
1496053803,28065,28065
1496054703,28322,28322
1496055603,28643,28643
1496056502,28943,28943
1496057403,29468,29468
1496058304,30093,30093
1496059203,30360,30360
1496060104,30748,30748
1496061003,30723,30723
1496061903,31050,31050
1496062803,31172,31172
1496063703,31135,31135
1496064603,31676,31676
1496065504,31847,31847
1496066403,31744,31744
1496067303,31608,31608
1496068203,31497,31497
1496069104,31358,31358
1496070004,31192,31192
1496070904,31072,31072
1496071804,30961,30961
1496072703,30738,30738
1496073603,30499,30499
1496074504,30344,30344
1496075404,30173,30173
1496076304,29933,29933
1496077203,29788,29788
1496078104,29666,29666
1496079004,29461,29461
1496079904,29269,29269
1496080804,29100,29100
1496081703,28958,28958
1496082604,28857,28857
1496083504,28718,28718
1496084404,28562,28562
1496085303,28467,28467
1496086203,28396,28396
1496087104,28272,28272
1496088003,28121,28121
1496088903,28102,28102
1496089803,28073,28073
1496090703,28018,28018
1496091603,28005,28005
1496092504,28027,28027
1496093403,28006,28006
1496094304,27955,27955
1496095203,27931,27931
1496096104,27868,27868
1496097004,27828,27828
1496097904,27851,27851
1496098803,27821,27821
1496099704,27773,27773
1496100603,27839,27839
1496101504,27938,27938
1496102404,28127,28127
1496103304,28236,28236
1496104204,28317,28317
1496105104,28337,28337
1496106004,28388,28388
1496106904,28425,28425
1496107804,28409,28409
1496108704,28488,28488
1496109604,28559,28559
1496110504,28711,28711
1496111404,28959,28959
1496112305,29240,29240
1496113204,29386,29386
1496114103,29403,29403
1496115003,29047,29047
1496115904,28470,28470
1496116803,28273,28273
1496117704,28599,28599
1496118603,29030,29030
1496119503,29004,29004
1496120403,29034,29034
1496121304,28727,28727
1496122204,28500,28500
1496123104,28266,28266
1496124004,28216,28216
1496124904,28216,28216
1496125803,28679,28679
1496126704,28887,28887
1496127603,28940,28940
1496128504,28795,28795
1496129403,28733,28733
1496130304,28751,28751
1496131203,28726,28726
1496132103,29360,29360
1496133003,29628,29628
1496133903,29755,29755
