DateTime,AddedIPs,RemovedIPs
1480748709,0,6
1480892707,1,0
1480921507,0,1
1480935906,1,0
1480964710,1,0
1480979106,2,0
1481007907,0,7
1481036707,2,0
1481051112,2,0
1481065509,3,0
1481094306,0,7
1481108706,1,0
1481137509,2,0
1481151908,3,0
1481180709,0,5
1481195113,2,0
1481223909,4,0
1481238312,4,0
1481310312,5,0
1481353510,0,3
1481526308,0,1
1481540710,1,0
1481555109,1,0
1481583908,5,0
1481598310,1,0
1481612707,1,7
1481641507,3,0
1481655918,2,0
1481684708,1,0
1481713509,3,5
1481727910,1,0
1481799915,1,4
1481828709,2,0
1481843112,1,0
1481871954,1,4
1481900739,4,0
1481915110,1,0
1481929517,1,0
1481972726,0,9
1482044708,0,1
1482073509,1,0
1482174308,1,0
1482188708,2,0
1482203115,1,0
1482217507,1,6
1482231911,3,0
1482246309,2,0
1482260712,3,0
1482275110,12,0
1482289507,1,0
1482318311,1,9
1482332713,2,0
1482361512,2,0
1482375907,1,0
1482404708,0,8
1482447926,5,0
1482462311,1,0
1482476710,0,8
1482519908,1,0
1482548711,2,0
1482563108,0,8
1482663907,1,3
1482735907,0,1
1482822307,0,7
1482865507,2,0
1482923116,0,3
1482951908,1,0
1482966317,3,0
1482995116,0,6
1483038318,1,0
1483052707,2,0
1483067108,1,0
1483081508,0,3
1483124714,1,0
1483139108,15,0
1483167907,0,13
1483211113,1,0
1483254308,0,2
1483427113,0,6
1483484721,3,0
1483499117,1,0
1483513510,0,6
1483527909,2,0
1483542315,1,0
1483556715,3,0
1483599917,0,6
1483614308,1,0
1483628724,1,0
1483643239,2,0
1483657508,13,0
1483700713,0,3
1483715113,3,0
1483729511,2,0
1483743908,1,0
1483801507,1,0
1483945507,0,1
1483959907,1,0
1483988710,1,0
1484017510,1,0
1484046308,2,0
1484060709,1,0
1484075111,1,0
1484089511,1,0
1484118308,1,1
1484147113,1,0
1484161531,1,0
1484175907,1,0
1484204711,1,5
1484219107,1,0
1484233514,1,0
1484247911,1,0
1484262373,4,0
1484276746,4,0
1484291108,1,55
1484305705,0,3
1484320026,7,12
1484334422,0,6
1484348741,2,1
1484838314,1,6
1485500105,1,1
1485586505,68,0
