DateTime,AddedIPs,RemovedIPs
1493635229,6,16
1493641228,3,0
1493646628,1,10
1493652030,1,0
1493656828,3,7
1493662229,0,3
1493667628,1,3
1493671225,0,4
1493674228,4,0
1493678428,4,17
1493684430,4,0
1493690428,0,4
1493695829,3,10
1493700628,1,9
1493706028,1,6
1493711428,3,6
1493716828,4,4
1493722228,4,10
1493727628,1,3
1493733030,2,1
1493738428,2,6
1493743228,2,10
1493748629,7,6
1493752225,3,0
1493755828,1,1
1493759425,2,0
1493764828,5,20
1493770236,1,4
1493775628,0,4
1493781628,1,12
1493786432,62,9
1493791828,0,7
1493797228,3,0
1493803228,5,3
1493808628,5,9
1493814028,3,0
1493819429,3,12
1493824228,6,9
1493829628,5,13
1493835628,3,13
1493841029,5,8
1493845828,2,3
1493850028,3,13
1493854827,2,11
1493860829,1,7
1493866228,2,3
1493871027,0,13
1493877028,1,12
1493881829,3,7
1493887229,1,3
1493892628,0,11
1493897428,3,7
1493902228,3,11
1493907628,1,9
1493913028,7,12
1493917828,254,6
1493923829,0,9
1493929829,23,0
1493934028,22,1
1493939429,86,8
1493946029,11,4
1493952028,17,2
1493959228,55,3
1493966429,5,12
1493973028,15,7
1493978428,18,4
1493983828,5,6
1493989228,9,7
1493994628,20,8
1494000028,3,14
1494004828,5,0
1494010228,7,6
1494015029,9,4
1494021029,8,0
1494026428,9,15
1494033029,21,9
1494041428,1,9
1494048028,6,6
1494054028,6,5
1494059429,1,23
1494064228,1,17
1494069628,7,18
1494075029,1,10
1494081028,1,5
1494085828,5,7
1494090628,2,3
1494096028,3,7
1494101429,4,6
1494106831,7,8
1494112228,2,4
1494116428,0,4
1494121829,1,0
1494127828,1,3
1494133229,4,9
1494138629,7,6
1494142829,6,5
1494148828,7,0
1494154230,0,16
1494160228,2,0
1494165028,0,5
1494170429,3,5
1494175829,2,2
1494181228,6,0
1494186629,6,11
1494192029,0,3
1494196829,2,6
1494201028,0,7
1494206428,1,3
1494212429,2,3
1494217829,5,4
1494223829,5,1
1494229829,1,4
1494235229,0,3
1494240629,2,6
1494246629,3,6
1494250829,2,4
1494256829,7,3
1494262229,3,1
1494267035,3,4
1494272435,1,2
1494277835,0,4
1494283235,4,1
1494288634,2,3
1494294635,5,0
1494300634,1,7
1494305434,4,4
1494310235,1,0
1494316235,1,4
1494321035,0,10
1494326435,2,0
1494331835,3,4
1494337835,5,4
1494343234,2,11
1494347435,0,1
1494357035,2,3
1494363035,2,4
1494367835,2,6
1494371432,4,0
