DateTime,Entries,UniqueIPs
1493700628,4256,4336
1493706028,4260,4340
1493711428,4259,4338
1493716828,4261,4341
1493722228,4262,4342
1493727628,4257,4337
1493733030,4255,4336
1493738428,4250,4330
1493743228,4248,4330
1493748629,4250,4332
1493752225,4256,4338
1493755828,4258,4341
1493759425,4256,4339
1493764828,4255,4339
1493770236,4254,4338
1493775628,4238,4322
1493781628,4237,4321
1493786432,4295,4379
1493791828,4293,4377
1493797228,4292,4376
1493803228,4305,4391
1493808628,4303,4389
1493814028,4301,4386
1493819429,4293,4379
1493824228,4294,4378
1493829628,4292,4376
1493835628,4292,4377
1493841029,4299,4384
1493845828,4299,4384
1493850028,4287,4370
1493854827,4290,4373
1493860829,4284,4366
1493866228,4279,4361
1493871027,4273,4355
1493877028,4271,4354
1493881829,4268,4351
1493887229,4267,4350
1493892628,4255,4338
1493897428,4258,4341
1493902228,4256,4338
1493907628,4251,4333
1493913028,4264,4346
1493917828,4515,4599
1493923829,4513,4597
1493929829,4530,4614
1493934028,4548,4632
1493939429,4623,4709
1493946029,4637,4723
1493952028,4648,4737
1493959228,4700,4792
1493966429,4699,4790
1493973028,4708,4802
1493978428,4719,4814
1493983828,4720,4815
1493989228,4724,4818
1493994628,4735,4831
1494000028,4730,4826
1494004828,4728,4824
1494010228,4738,4832
1494015029,4746,4839
1494021029,4743,4836
1494026428,4749,4842
1494033029,4774,4868
1494041428,4773,4866
1494048028,4773,4866
1494054028,4769,4861
1494059429,4768,4860
1494064228,4767,4860
1494069628,4777,4870
1494075029,4778,4871
1494081028,4774,4865
1494085828,4777,4869
1494090628,4778,4870
1494096028,4779,4871
1494101429,4783,4875
1494106831,4790,4882
1494112228,4789,4881
1494116428,4783,4874
1494121829,4777,4868
1494127828,4773,4862
1494133229,4771,4860
1494138629,4779,4868
1494142829,4781,4871
1494148828,4794,4885
1494154230,4783,4872
1494160228,4787,4876
1494165028,4778,4867
1494170429,4772,4861
1494175829,4771,4860
1494181228,4778,4869
1494186629,4780,4871
1494192029,4773,4863
1494196829,4772,4862
1494201028,4774,4864
1494206428,4776,4865
1494212429,4773,4861
1494217829,4776,4865
1494223829,4775,4864
1494229829,4770,4859
1494235229,4768,4855
1494240629,4774,4861
1494246629,4757,4844
1494250829,4757,4844
1494256829,4766,4854
1494262229,4766,4854
1494267035,4764,4853
1494272435,4768,4857
